dataset,sf,method,selectivity,median_qe,mean_qe,n_valid,paired_pct_vs_bern,ci_lo,ci_hi,ci_excludes_0,cohens_d
DEEP,1,halton,0.01,1.5649280677543151,3.3271586876667802,487,145.43509175708118,77.50957498634318,242.8602211704122,True,0.15698094989203779
DEEP,1,halton,0.05,1.218285811956826,1.2948360202968419,500,9.114563304901571,6.77257239384389,11.758764484879189,True,0.3261469494387964
DEEP,1,halton,0.1,1.1515981783148388,1.1886867345759264,500,5.146765955932919,3.7088917098536727,6.722566345247956,True,0.2902675717641894
DEEP,1,halton,0.3,1.0751905852481163,1.0904829126988584,500,2.2642829973826157,1.5486236708764851,3.079055173932921,True,0.2619286114350976
DEEP,1,halton,0.5,1.0515870021080804,1.0602293026340102,500,1.4997155144440089,1.0206730270580775,2.000784575928568,True,0.26096953834562825
DEEP,1,hammersley,0.01,1.5763880748642207,3.3923394467732604,473,144.31902864089588,81.88842288888567,236.02869360757884,True,0.16730950102126382
DEEP,1,hammersley,0.05,1.192824708881887,1.2884041756250553,500,8.343529550043346,5.6650169325701185,10.97791875065799,True,0.27238106359470876
DEEP,1,hammersley,0.1,1.1447041941647196,1.1721635604369927,500,3.678979127755677,2.2331078270382343,5.160721762076826,True,0.22237421665328078
DEEP,1,hammersley,0.3,1.0701694404659006,1.0829072910000017,500,1.5690338488810374,0.874167217330229,2.325144540345401,True,0.19468282613566124
DEEP,1,hammersley,0.5,1.0474608236456913,1.056706771491397,500,1.168557846926377,0.6728256344128155,1.6909420592204416,True,0.20817764902976246
DEEP,1,reservoir,0.01,1.3165794811572544,1.627795699163764,485,13.083202370654258,7.921514096975861,18.65598922115302,True,0.2157277100458897
DEEP,1,reservoir,0.05,1.1580252589139062,1.216768446172489,500,2.6098379560477696,0.5043868933019581,4.969742918765846,True,0.10261652774855387
DEEP,1,reservoir,0.1,1.1064147218132727,1.137334559233673,500,0.587224757403994,-0.5644615074240122,1.8489757939090414,False,0.041901056089559435
DEEP,1,reservoir,0.3,1.055325607340594,1.066604665673639,500,0.027337216330488495,-0.6367566708951032,0.6372792001793774,False,0.003852595643223928
DEEP,1,reservoir,0.5,1.03465469460316,1.0423002210479755,500,-0.2307162198772559,-0.6601322318895764,0.1645917265353689,False,-0.05163349315683209
