dataset,sf,method,selectivity,median_qe,mean_qe,n_valid,paired_pct_vs_bern,ci_lo,ci_hi,ci_excludes_0,cohens_d
WIKI,1,halton,0.01,1.6404832876781978,4.324409556495806,89,167.8054009650997,27.810832347298923,386.63874408969343,True,0.19243548883104294
WIKI,1,halton,0.05,1.1840666004266605,1.3173619976300424,100,3.794201255775204,-3.5969857349881202,11.114757562989116,False,0.10023245209780451
WIKI,1,halton,0.1,1.1318515389546024,1.2034002683086313,100,-2.7933793363130928,-7.3195732411449725,1.9457709502440577,False,-0.1181286827991831
WIKI,1,halton,0.3,1.074757279539847,1.0979934157499869,100,-5.995641544832719,-8.194165040672996,-3.6872164381859895,True,-0.5191404693731632
WIKI,1,halton,0.5,1.0580437584479139,1.0750185386994824,100,-3.689674374839662,-5.446476466447145,-1.9749426856672607,True,-0.4229474100117096
WIKI,1,hammersley,0.01,1.6154347928432533,3.8408208273604996,86,158.64394819967197,48.40359551948139,309.250214671601,True,0.2488668033768506
WIKI,1,hammersley,0.05,1.1972188725421407,1.3211803978313694,100,4.2363319582328955,-2.1907257138885607,11.041773579308641,False,0.12041209438714247
WIKI,1,hammersley,0.1,1.1425359990789479,1.1925565136609388,100,-3.5712694715154476,-8.026476110931752,1.0132979188929,False,-0.15785500921242349
WIKI,1,hammersley,0.3,1.0639180457415103,1.0914992577648963,100,-6.6104859076341675,-8.716842896045728,-4.538015986819041,True,-0.6017963119532185
WIKI,1,hammersley,0.5,1.0415307298866647,1.058302825200121,100,-5.225432591080417,-6.685830034840253,-3.6505081470844276,True,-0.6666849185093919
WIKI,1,reservoir,0.01,1.5372703590220946,1.8384494122721486,93,19.133306234436986,4.629395079528285,34.64448383717272,True,0.26026747777239034
WIKI,1,reservoir,0.05,1.1578319536593367,1.2113103492977952,100,-5.631252948127325,-10.182322724804639,-0.9881702129821038,True,-0.24217405147099869
WIKI,1,reservoir,0.1,1.0959582612593668,1.141094168744023,100,-8.300535420349945,-11.685327051024816,-4.624297205448881,True,-0.4552074359710983
WIKI,1,reservoir,0.3,1.0526467875705723,1.0683190884049658,100,-8.636975335735254,-10.482811694509511,-6.882728772970412,True,-0.946341243404523
WIKI,1,reservoir,0.5,1.0367790443670977,1.0423456339866788,100,-6.638193851985319,-7.981839459507066,-5.3945618972831815,True,-0.9904670580376962
YFCC,1,halton,0.01,1.724457564497838,3.833885266338251,90,145.72697808557336,69.31979989173232,244.7396890284155,True,0.34127059234079044
YFCC,1,halton,0.05,1.2403084300664282,1.309320134643416,100,4.544519658638054,-1.8893123148790232,11.31462294411679,False,0.14127739110854828
YFCC,1,halton,0.1,1.1479580179292497,1.1928384799118792,100,1.5557117173383346,-1.9781628717985704,5.323114749510847,False,0.08226229024173298
YFCC,1,halton,0.3,1.0770298396974174,1.0890530202242716,100,-2.488893750995571,-4.415636399794101,-0.5286870171514028,True,-0.2361133551464855
YFCC,1,halton,0.5,1.0426251248154692,1.051909287106338,100,-3.380114267314403,-4.765871350221398,-2.025682767439518,True,-0.4767707614134579
YFCC,1,hammersley,0.01,1.7757251639737643,12.172733588967244,93,717.9405895050467,51.058689854160626,1940.1741605991224,True,0.13084268633198765
YFCC,1,hammersley,0.05,1.1889544230729459,1.2982949652475335,100,2.3252868755111504,-3.0736371385556125,7.943310589880233,False,0.0839408084897768
YFCC,1,hammersley,0.1,1.1746439687844963,1.2239430195720231,100,4.001851540063733,0.0126307799463202,8.292848247638851,True,0.18806594982931962
YFCC,1,hammersley,0.3,1.059078156879497,1.071581039746067,100,-4.152077426526928,-5.839541163441468,-2.385190741009527,True,-0.4882896947280545
YFCC,1,hammersley,0.5,1.0253119292186823,1.037176426036342,100,-4.758810963104251,-5.951500662528947,-3.5453981770225753,True,-0.757286053677098
YFCC,1,reservoir,0.01,1.3011039790484884,1.5669933503191154,94,3.245155648246439,-5.892160848672341,12.442707479004142,False,0.07225751131068062
YFCC,1,reservoir,0.05,1.1960026517631226,1.2425473119753152,100,-1.528805421002402,-6.200490499801974,3.3263316228804496,False,-0.06283800122844813
YFCC,1,reservoir,0.1,1.1161064652067125,1.1429759103633168,100,-2.708102449980248,-5.92425977082309,0.3493063491232874,False,-0.17071785014713695
YFCC,1,reservoir,0.3,1.0538876700808462,1.0631289794885348,100,-4.849243730114918,-6.460151781947796,-3.210067316925343,True,-0.5638619876476723
YFCC,1,reservoir,0.5,1.0375749339556646,1.041182838005878,100,-4.444833724378231,-5.393670356029038,-3.4374721272685558,True,-0.8500310396197751
