cell,base,selectivity,n_paired,mean_delta_pct,median_delta_pct,std_delta_pct,n_better,p_better,wilcoxon_stat,wilcoxon_p,significant_05,ensemble_better,bonferroni_p,bh_fdr_q,sig_bonf_05,sig_bh_05
DEEP_sf1,hdbscan,0.01,491,14.143674537089744,0.20324260951641487,66.89736846630274,245,0.4989816700610998,58969.0,0.6507609691961433,False,False,1.0,0.802807924615803,False,False
DEEP_sf1,hdbscan,0.05,500,-0.23569953148665787,-1.2749602650354,17.58691817961575,267,0.534,56822.0,0.07260574607779847,False,True,1.0,0.2168316398703484,False,False
DEEP_sf1,hdbscan,0.1,500,0.9912517467125154,0.12443140439327678,11.731844458924593,248,0.496,59500.0,0.3336461426929682,False,False,1.0,0.5613615180400595,False,False
DEEP_sf1,hdbscan,0.3,500,-0.21994434784168568,-0.3061805555113362,5.471654398265052,267,0.534,58443.0,0.19573286719232386,False,True,1.0,0.4194275725549797,False,False
DEEP_sf1,hdbscan,0.5,500,-0.2894713814186233,-0.26091516435983253,3.9545938864193695,261,0.522,57205.0,0.09357952969106569,False,True,1.0,0.2617054643902684,False,False
DEEP_sf1,hdbscan,all,2491,2.837259109070188,-0.2855397888568027,31.821223496556886,1288,0.5170614211160177,1497425.0,0.12921805737269887,False,True,1.0,0.3194154227190309,False,False
DEEP_sf1,minibatch,0.01,479,11.06112552034325,-0.3163979639248855,59.82606512978128,243,0.5073068893528184,55612.0,0.5377034169121393,False,True,1.0,0.731720113736107,False,False
DEEP_sf1,minibatch,0.05,500,0.3826125806642708,-0.6426601079797291,19.043709679476173,261,0.522,58750.0,0.23059532005924777,False,True,1.0,0.46828588073570315,False,False
DEEP_sf1,minibatch,0.1,500,-0.0581025666468756,-0.40250004605499,12.866156090350723,253,0.506,59545.0,0.3406539632774953,False,True,1.0,0.5640065480056553,False,False
DEEP_sf1,minibatch,0.3,500,-0.7871591791098427,-0.7239044040629583,5.648862346867272,275,0.55,51190.0,0.00040362981239019474,True,True,0.2663956761775285,0.002399961046644401,False,True
DEEP_sf1,minibatch,0.5,500,-0.15311332425179364,-0.1818849696913878,3.8006635106487177,260,0.52,58114.0,0.1628382905865401,False,True,1.0,0.37059748892109123,False,False
DEEP_sf1,minibatch,all,2479,2.0130689308480414,-0.4280967027009174,28.76123220063796,1292,0.5211778943122227,1445930.0,0.010630718387907908,True,True,1.0,0.04646539162926635,False,True
DEEP_sf1,gmm,0.01,483,9.413328164160138,-0.6838574667931329,61.17168868306346,244,0.505175983436853,53675.0,0.12028567723293139,False,True,1.0,0.3053405652835951,False,False
DEEP_sf1,gmm,0.05,500,0.2808036307292601,-0.50211173906317,19.510492176529425,256,0.512,57991.0,0.1516744223777299,False,True,1.0,0.35498269067128274,False,False
DEEP_sf1,gmm,0.1,500,-1.0672058427758087,-1.004923943328796,11.577656585622332,278,0.556,53088.0,0.00317253899814743,True,True,1.0,0.01610673645213311,False,True
DEEP_sf1,gmm,0.3,500,-1.0640485988110808,-0.786702088033081,5.798602469457577,286,0.572,49151.0,3.0659198912905704e-05,True,True,0.020235071282517766,0.00022483412536130853,True,True
DEEP_sf1,gmm,0.5,500,-0.7945112023526216,-0.5529247266977435,4.053603950506473,285,0.57,48620.0,1.4723026690167464e-05,True,True,0.009717197615510527,0.00011431997194718266,True,True
DEEP_sf1,gmm,all,2483,1.2984923466307776,-0.7558553896827386,29.287798620522036,1349,0.5432944019331454,1368486.0,1.204072414463217e-06,True,True,0.0007946877935457232,1.0320620695399003e-05,True,True
