base,n_cell,win_vs_base,sig_vs_base,median_delta_pct_vs_base,win_vs_adaptive,sig_vs_adaptive,median_delta_pct_vs_adaptive,in_4kang,rank
minibatch,10,9/10,5/10,-0.2962921143096432,10/10,9/10,-0.6538893598652445,False,1
hdbscan,10,8/10,3/10,-0.2015267859537943,10/10,9/10,-0.6104662215282065,True,2
gmm,10,10/10,6/10,-0.4159521529665847,10/10,8/10,-0.6100979259918422,False,3
faiss_ivf,10,7/10,5/10,-0.2024921282572251,10/10,8/10,-0.5755402145931982,False,4
minibatch_partial,10,8/10,6/10,-0.29288527196738384,10/10,8/10,-0.5724005499911851,True,5
sobol,10,10/10,10/10,-3.410012919156312,10/10,8/10,-0.4731021739124837,False,6
hilbert,10,6/10,0/10,-0.03498822232089316,9/10,8/10,-0.4198754845890993,True,7
pca1d,10,3/10,0/10,0.003175333962606104,9/10,8/10,-0.2822241282758344,False,8
reservoir,10,9/10,6/10,-0.40915962024564256,10/10,7/10,-0.37158244392396256,False,9
sparse_rp,10,5/10,0/10,-0.0017196786837230485,6/10,2/10,-5.867936036587917e-05,True,10
lsh,10,10/10,8/10,-4.329623312898704,5/10,1/10,-0.0035810403980828603,False,11
