method,paradigm,n_obs,intercept,slope_log_dim,slope_se,slope_p,r2
Reservoir,P3_Streaming,39760,0.03894374626239705,0.025612791999930964,0.0016783538923105432,1.96959948624439e-52,0.005823521984606228
Sobol,P5_Quasi-random,39749,0.1218526725373903,0.011254928302282202,0.002043331622590288,3.6491566800604564e-08,0.0007627320951802963
MiniBatch,P1_Cluster,39839,0.10144991480775332,0.010051421700079723,0.0013687820912936235,2.123161435346839e-13,0.0013517994242631115
MB_partial,P3_Streaming,39829,0.1111429761109851,0.008577006614656792,0.0013779506687690787,4.880061704904043e-10,0.000971861273690422
HDBSCAN,P1_Cluster,39856,0.1169118463598624,0.007235724629718019,0.001368458269769255,1.2465088080037717e-07,0.0007010104241370607
faiss_ivf,P2_Spatial,39845,0.12045201822564611,0.007050747384742223,0.0013778110937848768,3.112877461709654e-07,0.0006568308950190005
GMM,P1_Cluster,39871,0.12778037679606244,0.005985432314393761,0.0014071929452120406,2.1097624746014353e-05,0.00045357736744455757
LSH,P5_Quasi-random,39835,0.14145591701952742,0.005532368189308001,0.001470981959068719,0.00016947512759761296,0.00035498519973786724
Hilbert,P2_Spatial,39844,0.14856176929065934,0.0018230080788097737,0.0013669247584585458,0.18232408363410824,4.4640335344126036e-05
sparse_rp,P4_DimReduction,39847,0.1560263483013841,0.0017615868810872968,0.0013717527544417425,0.19908404367116225,4.1387066719522636e-05
PCA1D,P4_DimReduction,39849,0.1525575235154517,0.0015824691120057193,0.0013704494860148427,0.24821690912336627,3.346064106113378e-05
