cell,method,paradigm,dim,is_multi,n,ess,ess_ratio
SIFT_sf10,Sobol,P5_Quasi-random,128,0,2493,1.0756527084409242,0.000431469197128329
SIFT_sf1,Sobol,P5_Quasi-random,128,0,2493,1.9039722554434324,0.0007637273387258052
SSN_sf1,Sobol,P5_Quasi-random,256,0,2494,39.813891040651896,0.015963869703549276
SSN_sf10,Sobol,P5_Quasi-random,256,0,2486,2145.402886790983,0.8629939206721572
WIKI_sf1,sparse_rp,P4_DimReduction,768,0,2487,2188.991821861954,0.8801736316292538
SSN_sf1,Hilbert,P2_Spatial,256,0,2491,2195.220132483379,0.8812605911213887
SSN_sf10,LSH,P5_Quasi-random,256,0,2493,2199.4159508717935,0.8822366429489745
SIFT_sf1,Reservoir,P3_Streaming,128,0,2483,2191.844354203071,0.8827403762396581
YFCC_sf1,MiniBatch,P1_Cluster,192,0,2494,2205.614477533605,0.8843682748731376
SSN_sf10,Hilbert,P2_Spatial,256,0,2484,2199.251776643337,0.8853670598403128
WIKI_sf10,Hilbert,P2_Spatial,768,0,2498,2215.265104393529,0.8868154941527338
SSN_sf1,HDBSCAN,P1_Cluster,256,0,2496,2213.6545589026573,0.8868808328936928
YFCC_sf1,Sobol,P5_Quasi-random,192,0,2485,2206.259671374179,0.8878308536717019
DEEP_sf10,sparse_rp,P4_DimReduction,96,0,2493,2213.8891479316558,0.8880421772690156
SSN_sf10,PCA1D,P4_DimReduction,256,0,2494,2214.8183869759973,0.8880586956599829
WIKI_sf1,Hilbert,P2_Spatial,768,0,2493,2214.232834414041,0.888180037871657
SIFT_sf10,LSH,P5_Quasi-random,128,0,2489,2210.8849727197917,0.8882623433988717
WIKI_sf1,faiss_ivf,P2_Spatial,768,0,2495,2217.23231499395,0.8886702665306412
DEEP_sf1,LSH,P5_Quasi-random,96,0,2484,2208.4044648819395,0.8890517169411994
YFCC_sf10,Reservoir,P3_Streaming,192,0,2489,2213.444442321122,0.8892906558140306
WIKI_sf10,Sobol,P5_Quasi-random,768,0,2488,2212.9846849458863,0.8894632978078322
DEEP_sf10,Reservoir,P3_Streaming,96,0,2493,2217.779594479068,0.8896027254228109
WIKI_sf10,PCA1D,P4_DimReduction,768,0,2487,2212.9578779516487,0.8898101640336343
SIFT_sf10,MB_partial,P3_Streaming,128,0,2489,2214.9580190624574,0.8898987621785687
YFCC_sf1,PCA1D,P4_DimReduction,192,0,2486,2214.0406925635225,0.8906036575074507
SIFT_sf10,faiss_ivf,P2_Spatial,128,0,2488,2215.8846461002286,0.8906288770499311
WIKI_sf1,LSH,P5_Quasi-random,768,0,2491,2220.0281169712857,0.8912196374834547
YFCC_sf1,Reservoir,P3_Streaming,192,0,2485,2215.5137928812746,0.8915548462298892
SSN_sf1,LSH,P5_Quasi-random,256,0,2491,2222.0959044686647,0.8920497408545423
WIKI_sf10,MiniBatch,P1_Cluster,768,0,2489,2220.993598008116,0.8923236633218625
YFCC_sf10,Sobol,P5_Quasi-random,192,0,2480,2213.2729438917477,0.8924487676982854
YFCC_sf1,HDBSCAN,P1_Cluster,192,0,2491,2223.1493740804754,0.8924726511764253
SIFT_sf1,HDBSCAN,P1_Cluster,128,0,2485,2218.1709100325866,0.8926241086650247
SSN_sf1,PCA1D,P4_DimReduction,256,0,2493,2226.2956983495587,0.8930187317888322
DEEP_sf10,Sobol,P5_Quasi-random,96,0,2488,2222.1573034261255,0.8931500415699861
DEEP_sf10,Hilbert,P2_Spatial,96,0,2495,2228.546927895504,0.8932051815212441
SIFT_sf1,PCA1D,P4_DimReduction,128,0,2487,2221.5605348417857,0.8932692138487277
DEEP_sf1,Hilbert,P2_Spatial,96,0,2493,2227.101382711641,0.8933419104338711
SIFT_sf1,LSH,P5_Quasi-random,128,0,2494,2229.5546257027054,0.8939673719738194
SSN_sf1,sparse_rp,P4_DimReduction,256,0,2494,2230.7931087615825,0.8944639570014364
DEEP_sf1,sparse_rp,P4_DimReduction,96,0,2494,2231.0970753198408,0.8945858361346595
WIKI_sf10,sparse_rp,P4_DimReduction,768,0,2490,2228.107170650196,0.894822156887629
YFCC_sf1,sparse_rp,P4_DimReduction,192,0,2489,2227.7431401049193,0.8950354118541259
DEEP_sf10,LSH,P5_Quasi-random,96,0,2493,2231.628388117453,0.8951577970788019
SSN_sf1,Reservoir,P3_Streaming,256,0,2493,2232.595459249392,0.8955457116924959
YFCC_sf1,Hilbert,P2_Spatial,192,0,2493,2233.951273678943,0.8960895602402499
YFCC_sf10,faiss_ivf,P2_Spatial,192,0,2492,2233.73663627749,0.8963630161627167
SSN_sf10,faiss_ivf,P2_Spatial,256,0,2487,2230.271866514829,0.8967719608021025
DEEP_sf10,PCA1D,P4_DimReduction,96,0,2488,2231.3284207436395,0.8968361819709162
WIKI_sf10,MB_partial,P3_Streaming,768,0,2487,2231.706342394384,0.8973487504601464
YFCC_sf10,HDBSCAN,P1_Cluster,192,0,2490,2234.624079304927,0.8974393892790871
SSN_sf10,GMM,P1_Cluster,256,0,2487,2232.9703338438326,0.8978569898849347
SSN_sf10,Reservoir,P3_Streaming,256,0,2490,2235.808618528436,0.8979151078427454
SIFT_sf10,Hilbert,P2_Spatial,128,0,2484,2232.391939749718,0.898708510366231
YFCC_sf10,sparse_rp,P4_DimReduction,192,0,2492,2240.0677901500194,0.8989036076043416
DEEP_sf1,PCA1D,P4_DimReduction,96,0,2497,2246.038682219411,0.8994948667278377
YFCC_sf10,LSH,P5_Quasi-random,192,0,2490,2239.923368737275,0.8995676179667771
YFCC_sf10,MiniBatch,P1_Cluster,192,0,2488,2238.1469120618694,0.8995767331438382
SSN_sf1,MiniBatch,P1_Cluster,256,0,2493,2242.6630152311236,0.899584041408393
SIFT_sf1,Hilbert,P2_Spatial,128,0,2490,2240.194531196713,0.8996765185528968
SSN_sf10,MB_partial,P3_Streaming,256,0,2488,2239.7441266382175,0.90021870041729
SIFT_sf10,GMM,P1_Cluster,128,0,2488,2240.22878776983,0.900413499907488
SSN_sf1,faiss_ivf,P2_Spatial,256,0,2489,2241.452548782624,0.9005434105193347
YFCC_sf10,GMM,P1_Cluster,192,0,2493,2246.3994555971003,0.9010828141183715
SIFT_sf1,faiss_ivf,P2_Spatial,128,0,2490,2244.1780443281464,0.9012763230233519
WIKI_sf10,HDBSCAN,P1_Cluster,768,0,2495,2248.844229283411,0.901340372458281
WIKI_sf1,PCA1D,P4_DimReduction,768,0,2492,2246.7876162239936,0.9016001670240745
DEEP_sf10,GMM,P1_Cluster,96,0,2496,2250.9099326466735,0.9018068640411352
YFCC_sf10,MB_partial,P3_Streaming,192,0,2488,2243.7022613740423,0.9018095905844221
DEEP_sf1,HDBSCAN,P1_Cluster,96,0,2498,2252.7867217199696,0.9018361576140791
SIFT_sf1,MiniBatch,P1_Cluster,128,0,2490,2245.8016391470073,0.9019283691353444
SIFT_sf10,Reservoir,P3_Streaming,128,0,2493,2249.6015583032595,0.9023672516258562
SIFT_sf10,PCA1D,P4_DimReduction,128,0,2495,2251.444179807706,0.9023824367966757
SIFT_sf1,GMM,P1_Cluster,128,0,2491,2249.207530765936,0.9029335731697856
SIFT_sf10,MiniBatch,P1_Cluster,128,0,2492,2251.167104295574,0.9033575859934085
DEEP_sf10,faiss_ivf,P2_Spatial,96,0,2495,2254.0453549607587,0.90342499196824
DEEP_sf1,Sobol,P5_Quasi-random,96,0,2495,2254.068553152613,0.9034342898407266
SIFT_sf1,MB_partial,P3_Streaming,128,0,2489,2248.6959767424228,0.90345358647747
DEEP_sf10,HDBSCAN,P1_Cluster,96,0,2487,2247.058344902713,0.9035216505439135
SSN_sf10,MiniBatch,P1_Cluster,256,0,2487,2247.450192515908,0.9036792088926047
YFCC_sf10,PCA1D,P4_DimReduction,192,0,2494,2253.894016335636,0.903726550254866
WIKI_sf1,Sobol,P5_Quasi-random,768,0,2486,2251.448676534208,0.9056511168681448
DEEP_sf1,Reservoir,P3_Streaming,96,0,2491,2256.408453320353,0.9058243489844854
WIKI_sf10,Reservoir,P3_Streaming,768,0,2495,2260.8047544762776,0.9061341701307726
SIFT_sf10,HDBSCAN,P1_Cluster,128,0,2490,2256.622976503362,0.9062742877523543
SIFT_sf1,sparse_rp,P4_DimReduction,128,0,2492,2258.812833360235,0.9064256955699177
SSN_sf1,MB_partial,P3_Streaming,256,0,2494,2262.0850190483216,0.9070108336200167
DEEP_sf1,MiniBatch,P1_Cluster,96,0,2491,2260.3382575028136,0.9074019500212017
WIKI_sf1,MB_partial,P3_Streaming,768,0,2487,2258.3855279033605,0.9080762074400324
WIKI_sf1,Reservoir,P3_Streaming,768,0,2494,2267.058579806905,0.9090050440284303
DEEP_sf10,MiniBatch,P1_Cluster,96,0,2485,2258.940567614899,0.9090304095029774
SIFT_sf10,sparse_rp,P4_DimReduction,128,0,2491,2266.2092567278673,0.9097588344953301
SSN_sf10,HDBSCAN,P1_Cluster,256,0,2495,2270.5139453413376,0.9100256293953257
DEEP_sf1,faiss_ivf,P2_Spatial,96,0,2488,2266.050097934767,0.9107918400059354
WIKI_sf1,HDBSCAN,P1_Cluster,768,0,2492,2269.725763833937,0.9108048811532652
DEEP_sf1,GMM,P1_Cluster,96,0,2492,2273.550582064686,0.9123397199296492
SSN_sf1,GMM,P1_Cluster,256,0,2488,2270.1356171940415,0.9124339297403704
YFCC_sf1,GMM,P1_Cluster,192,0,2495,2277.1151697374253,0.9126714107164029
YFCC_sf1,LSH,P5_Quasi-random,192,0,2488,2270.8991038453887,0.91274079736551
WIKI_sf1,GMM,P1_Cluster,768,0,2495,2279.1944061786994,0.9135047720155108
WIKI_sf10,LSH,P5_Quasi-random,768,0,2487,2272.459876088166,0.913735374382053
WIKI_sf10,GMM,P1_Cluster,768,0,2494,2279.3559742944763,0.913935835723527
DEEP_sf1,MB_partial,P3_Streaming,96,0,2491,2279.7626339226217,0.9151997727509521
DEEP_sf10,MB_partial,P3_Streaming,96,0,2494,2282.8210323216103,0.9153251933927868
YFCC_sf1,faiss_ivf,P2_Spatial,192,0,2492,2282.3466541894613,0.9158694438962526
WIKI_sf10,faiss_ivf,P2_Spatial,768,0,2491,2281.741850991165,0.9159943199482797
YFCC_sf10,Hilbert,P2_Spatial,192,0,2491,2281.9358254744534,0.9160721900740479
SSN_sf10,sparse_rp,P4_DimReduction,256,0,2488,2279.191393124752,0.9160737110630032
YFCC_sf1,MB_partial,P3_Streaming,192,0,2492,2283.2049949835177,0.916213882417142
WIKI_sf1,MiniBatch,P1_Cluster,768,0,2492,2297.778670481271,0.9220620668062885
partsupp_deep_sift_10,Sobol,P5_Quasi-random,224,1,2449,2.1464991376768645,0.0008764798438860206
partsupp_deep_sift_1,Sobol,P5_Quasi-random,224,1,2455,9.225654827709215,0.003757904206806198
multi_join_deep_wiki_1,Reservoir,P3_Streaming,864,1,2472,1103.8790004988305,0.44655299372930035
partsupp_deep_wiki_1,Reservoir,P3_Streaming,864,1,2472,1103.8790004988305,0.44655299372930035
partsupp_deep_sift_1,Reservoir,P3_Streaming,224,1,2477,1124.3803453007172,0.45392827828046717
partsupp_deep_wiki_10,Sobol,P5_Quasi-random,864,1,2480,1128.7878206257928,0.4551563792845939
multi_join_deep_wiki,Sobol,P5_Quasi-random,864,1,2489,1195.3383375157305,0.4802484280898877
partsupp_deep_sift_10,LSH,P5_Quasi-random,224,1,2486,1479.6553005766723,0.5951952134258537
partsupp_deep_sift_1,LSH,P5_Quasi-random,224,1,2488,1510.1676755386973,0.606980576985007
multi_join_deep_wiki_1,Sobol,P5_Quasi-random,864,1,2494,1546.941202835111,0.6202651174158424
partsupp_deep_wiki_1,Sobol,P5_Quasi-random,864,1,2494,1546.941202835111,0.6202651174158424
multi_join_deep_wiki_1,GMM,P1_Cluster,864,1,2492,1560.0964430384818,0.626041911331654
partsupp_deep_wiki_1,GMM,P1_Cluster,864,1,2492,1560.0964430384818,0.626041911331654
partsupp_deep_wiki_10,Reservoir,P3_Streaming,864,1,2474,1556.881179049888,0.6292971621058561
multi_join_deep_wiki,Reservoir,P3_Streaming,864,1,2480,1564.6926282933389,0.6309244468924754
