method,mean_q_error_single,mean_q_error_multi,paradigm,degradation_ratio,abs_degradation
Hilbert,1.2128012907822676,1.2088124840292451,P2_Spatial,0.9967110797264656,-0.003988806753022489
sparse_rp,1.2194303327822118,1.2207968434714964,P4_DimReduction,1.0011206139888016,0.0013665106892846168
PCA1D,1.2136190022517725,1.2163477453643976,P4_DimReduction,1.0022484347291547,0.002728743112625054
HDBSCAN,1.2021966113638483,1.2262445597945497,P1_Cluster,1.0200033407209657,0.02404794843070146
faiss_ivf,1.203252762550689,1.2339020200213144,P2_Spatial,1.0254720025787885,0.030649257470625413
MiniBatch,1.2005508647782785,1.2313154758145886,P1_Cluster,1.0256254124159843,0.030764611036310008
MB_partial,1.2008608151474878,1.2371445592821184,P3_Streaming,1.0302147789959941,0.03628374413463065
LSH,1.2204739815064536,1.2716835047196586,P5_Quasi-random,1.041958717669668,0.051209523213205044
GMM,1.2003599269451275,1.2581342958388466,P1_Cluster,1.0481308710802708,0.05777436889371912
Reservoir,1.212735186612161,1.3904429020813083,P3_Streaming,1.1465346412233515,0.17770771546914732
Sobol,4.752426473817832,16.496500125241145,P5_Quasi-random,3.4711741919888737,11.744073651423314
