cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
partsupp_deep_sift_10,HDBSCAN,all,2493,10.561301757537201,1.6993288118427257,1033,0.41436020858403527,5.418837760848066e-41,True,False
partsupp_deep_sift_10,HDBSCAN,0.01,493,41.37037575897303,20.268270775031603,136,0.27586206896551724,3.984581857256671e-40,True,False
partsupp_deep_sift_10,HDBSCAN,0.05,500,7.915262956056313,4.672173569039406,183,0.366,3.928534909421426e-15,True,False
partsupp_deep_sift_10,HDBSCAN,0.1,500,3.4766028005878997,1.3554344527077054,219,0.438,2.9268378847504156e-06,True,False
partsupp_deep_sift_10,HDBSCAN,0.3,500,0.3424697154976565,0.14699155025481075,246,0.492,0.5415994024617576,False,False
partsupp_deep_sift_10,HDBSCAN,0.5,500,0.1331245925912109,0.0046408083051449585,249,0.498,0.5907889216457047,False,False
partsupp_deep_sift_10,MB_partial,all,2491,11.370173918778294,2.1872546706870413,966,0.38779606583701326,1.6824144100767746e-53,True,False
partsupp_deep_sift_10,MB_partial,0.01,491,43.771745347711985,23.746476863802812,113,0.23014256619144602,1.4115296557684914e-46,True,False
partsupp_deep_sift_10,MB_partial,0.05,500,9.479707573043495,5.593711316360382,165,0.33,9.94379467153492e-19,True,False
partsupp_deep_sift_10,MB_partial,0.1,500,3.2431753100608383,1.3829226794161635,212,0.424,1.4456301074386518e-05,True,False
partsupp_deep_sift_10,MB_partial,0.3,500,0.6322871543359665,0.26251811574956807,238,0.476,0.11915739041020179,False,False
partsupp_deep_sift_10,MB_partial,0.5,500,0.30718249445999285,0.17987362728179113,238,0.476,0.1440519250523016,False,False
partsupp_deep_sift_10,Hilbert,all,2489,9.321319893847127,1.7255281452580218,1011,0.4061872237846525,4.7178868254965e-46,True,False
partsupp_deep_sift_10,Hilbert,0.01,489,34.354882605768644,20.2550176779178,129,0.26380368098159507,1.790135197574143e-38,True,False
partsupp_deep_sift_10,Hilbert,0.05,500,8.40910455909058,5.370077045911389,184,0.368,2.248682188052543e-16,True,False
partsupp_deep_sift_10,Hilbert,0.1,500,4.002949417955608,2.930569408961711,195,0.39,2.444884639627682e-10,True,False
partsupp_deep_sift_10,Hilbert,0.3,500,0.4140394986657824,0.27171142496799316,239,0.478,0.29228998935232053,False,False
partsupp_deep_sift_10,Hilbert,0.5,500,-0.023638232582691942,-0.16657320153449423,264,0.528,0.42440329850508973,False,True
partsupp_deep_sift_10,sparse_rp,all,2493,10.773102052169722,2.570841160058651,928,0.3722422783794625,2.043789108349708e-66,True,False
partsupp_deep_sift_10,sparse_rp,0.01,493,36.86652011884068,18.967129507939372,128,0.25963488843813387,6.638465867506346e-39,True,False
partsupp_deep_sift_10,sparse_rp,0.05,500,10.219428064058683,6.7086488410873,158,0.316,1.1251811162322394e-22,True,False
partsupp_deep_sift_10,sparse_rp,0.1,500,5.459385348982749,3.550337948462404,188,0.376,3.598786405861049e-14,True,False
partsupp_deep_sift_10,sparse_rp,0.3,500,1.0140210730077532,0.3652848649553475,236,0.472,0.009139519280202988,True,False
partsupp_deep_sift_10,sparse_rp,0.5,500,0.6714635088921339,0.5373374238180771,218,0.436,0.0027859837039307224,True,False
partsupp_deep_wiki_10,HDBSCAN,all,2486,11.48483882259119,2.66617054684085,909,0.3656476267095736,7.418121341312075e-68,True,False
partsupp_deep_wiki_10,HDBSCAN,0.01,486,41.752076057945416,20.002581931747958,130,0.2674897119341564,7.595512011010969e-37,True,False
partsupp_deep_wiki_10,HDBSCAN,0.05,500,8.964361797466923,5.826761288357604,164,0.328,1.526454996783019e-20,True,False
partsupp_deep_wiki_10,HDBSCAN,0.1,500,5.5863545555036245,3.8699296773683103,179,0.358,3.5634895891780986e-17,True,False
partsupp_deep_wiki_10,HDBSCAN,0.3,500,1.3248736116838076,1.0036739698937769,222,0.444,0.00017666579605509525,True,False
partsupp_deep_wiki_10,HDBSCAN,0.5,500,0.6440107329460943,0.6089562844346783,214,0.428,0.0008056777696825144,True,False
partsupp_deep_wiki_10,MB_partial,all,2488,13.026173806114125,2.656704288795236,923,0.3709807073954984,2.9036507614886614e-70,True,False
partsupp_deep_wiki_10,MB_partial,0.01,488,49.40794374834443,21.239060616511757,114,0.2336065573770492,1.8956094760605364e-43,True,False
partsupp_deep_wiki_10,MB_partial,0.05,500,9.724243152226322,6.157225381012958,161,0.322,5.267920937888944e-22,True,False
partsupp_deep_wiki_10,MB_partial,0.1,500,5.010805898291072,3.426745746244138,184,0.368,4.971929343729914e-14,True,False
partsupp_deep_wiki_10,MB_partial,0.3,500,1.239297830021716,0.4662696477970546,228,0.456,0.0009454125778585443,True,False
