cell,cell_kind,ensemble_method,paradigm,n_paired,mean_delta_pct_accuracy,ci_lo,ci_hi,wilcoxon_p_accuracy,rare_query_delta_pct,wall_clock_ms_delta,convergence_t_star_delta,win_accuracy,win_convergence,win_resource,win_rare_query,axis_wins_count,any_axis_win
DEEP_sf1,single,HDBSCAN,P1_Cluster,10,1.2129964106006608,-27.12630214913531,37.19755094976103,0.556640625,,-0.606368810258858,-5.0,False,True,True,False,2,True
DEEP_sf1,single,MiniBatch,P1_Cluster,20,3.2397611906132893,-20.829915206459148,35.9020993179557,0.13272666931152344,19.01733834596856,-0.41349168507211775,-4.0,False,True,True,False,2,True
DEEP_sf1,single,faiss_ivf,P2_Spatial,10,-4.702731938065935,-32.16831661188346,26.766891159970292,0.193359375,,-0.019856758462506008,-5.0,False,True,True,False,2,True
DEEP_sf10,single,HDBSCAN,P1_Cluster,10,-6.842293288102207,-37.66147211329494,31.914165259073734,0.232421875,,-0.2013595547405549,-7.0,False,True,True,False,2,True
DEEP_sf10,single,Hilbert,P2_Spatial,10,28.985632136511647,-12.278780998137595,79.1789075324137,0.76953125,28.98563213651164,-1.757777506308038,-7.0,False,True,True,False,2,True
DEEP_sf10,single,MiniBatch,P1_Cluster,20,9.172758410633572,-11.8660016618632,31.223989024775737,0.7561664581298828,31.594151372684117,-0.9730737413574246,-8.0,False,True,True,False,2,True
DEEP_sf10,single,faiss_ivf,P2_Spatial,10,4.747688945219487,-32.19501282216025,43.60699749394579,0.16015625,,-1.2606268388831783,-11.0,False,True,True,False,2,True
partsupp_deep_wiki_1,multi_4way,Hilbert,P2_Spatial,10,-19.553663963691918,-42.33413008434782,4.231993132288045,0.10546875,-19.553663963691914,-0.13250289001693982,1.0,False,False,True,True,2,True
partsupp_deep_wiki_1,multi_4way,faiss_ivf,P2_Spatial,10,-8.429810037836457,-35.22276916909753,15.131574665814087,0.556640625,,-0.7538439981172713,-1.0,False,True,True,False,2,True
DEEP_sf1,single,GMM,P1_Cluster,10,17.399423794534677,-27.304592219253113,79.8479089853188,0.625,,1.3821553155270774,-8.0,False,True,False,False,1,True
DEEP_sf1,single,Hilbert,P2_Spatial,10,7.071595589543787,-27.97935723138328,58.70375947081213,0.375,7.071595589543788,0.9857281116163099,-8.0,False,True,False,False,1,True
DEEP_sf10,single,GMM,P1_Cluster,10,22.712255535103473,-26.304165849649912,89.95959241840211,0.76953125,,0.2803757268855822,-13.0,False,True,False,False,1,True
partsupp_deep_wiki_1,multi_4way,GMM,P1_Cluster,10,0.24662456970616517,-29.70558907533443,31.11509176053391,0.375,,1.4357747766207334,3.0,False,False,False,False,0,False
partsupp_deep_wiki_1,multi_4way,HDBSCAN,P1_Cluster,10,48.3898468300631,-27.412041730015627,132.14557945360926,0.845703125,,0.3736546213097194,2.0,False,False,False,False,0,False
partsupp_deep_wiki_1,multi_4way,MiniBatch,P1_Cluster,20,20.98288236480405,-6.289816629275662,51.28924677084382,0.7011814117431641,22.75579734506649,0.09949298945426399,0.5,False,False,False,False,0,False
