cell,cell_kind,method,paradigm,tier,t_star_method,t_star_b1,t_star_b4,t_star_delta_method_b1,t_star_delta_b4_b1
DEEP_sf1,single,GMM,P1_Cluster,L,7.0,8.0,0.0,-1.0,-8.0
DEEP_sf1,single,HDBSCAN,P1_Cluster,L,8.0,8.0,3.0,0.0,-5.0
DEEP_sf1,single,Hilbert,P2_Spatial,L,3.0,8.0,0.0,-5.0,-8.0
DEEP_sf1,single,MiniBatch,P1_Cluster,L,10.5,8.0,4.0,2.5,-4.0
DEEP_sf1,single,faiss_ivf,P2_Spatial,L,12.0,8.0,3.0,4.0,-5.0
DEEP_sf10,single,GMM,P1_Cluster,L,6.5,13.0,0.0,-6.5,-13.0
DEEP_sf10,single,HDBSCAN,P1_Cluster,L,1.5,13.0,6.0,-11.5,-7.0
DEEP_sf10,single,Hilbert,P2_Spatial,L,17.0,13.0,6.0,4.0,-7.0
DEEP_sf10,single,MiniBatch,P1_Cluster,L,8.0,13.0,5.0,-5.0,-8.0
DEEP_sf10,single,faiss_ivf,P2_Spatial,L,8.0,13.0,2.0,-5.0,-11.0
partsupp_deep_wiki_1,multi_4way,GMM,P1_Cluster,L,0.5,4.0,7.0,-3.5,3.0
partsupp_deep_wiki_1,multi_4way,HDBSCAN,P1_Cluster,L,15.5,4.0,6.0,11.5,2.0
partsupp_deep_wiki_1,multi_4way,Hilbert,P2_Spatial,L,21.5,4.0,5.0,17.5,1.0
partsupp_deep_wiki_1,multi_4way,MiniBatch,P1_Cluster,L,4.0,4.0,4.5,0.0,0.5
partsupp_deep_wiki_1,multi_4way,faiss_ivf,P2_Spatial,L,6.5,4.0,3.0,2.5,-1.0
