json_id,cell,dataset,sf,dim,type_label,single_multi,method,paradigm,K,sel,n_queries,trials,fit_time_sec,cache_time_sec,kst,json_path,mode,qe_trim,qe_mean,qe_median,qe_std,final_size,final_size_std,size_median,n_inf_total,n_finite_total,trial_qe_list,trial_size_list,eta_final
A1-DEEP|0.001|20|chao_weighted,A1-DEEP,DEEP,100,96,Type 3,single,chao_weighted,P3,20,0.001,1000,10,11.736859798431396,13.438535928726196,18:02:23,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_chao_weighted.json,B1,1.6251315902903247,1.6218536673097759,1.6071420889485686,0.13077816836266568,7669.0,3133.1417139989057,7317.5,1239,8761,"[1.4767646548618378, 1.4088763791927243, 1.5647195390513902, 1.7083936796229735, 1.640278978165477, 1.7876271573881437, 1.5740051997316602, 1.7013144160921179, 1.8086075715824372, 1.5479490974089962]","[12929.0, 12994.0, 8816.0, 5993.0, 4783.0, 4649.0, 8644.0, 4818.0, 4422.0, 8642.0]",0.08179069375972306
A1-DEEP|0.001|20|chao_weighted,A1-DEEP,DEEP,100,96,Type 3,single,chao_weighted,P3,20,0.001,1000,10,11.736859798431396,13.438535928726196,18:02:23,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_chao_weighted.json,CaseA,1.515371958510937,1.5227476745948318,1.5204923782974604,0.0835851199678704,9865.6,3412.1058951914138,8871.0,886,9114,"[1.5371564833947169, 1.4355871356378254, 1.528787084079029, 1.4292263230495943, 1.52009515100031, 1.6752747548112281, 1.4765716997581897, 1.6498698889755274, 1.4540186196472875, 1.5208896055946108]","[8893.0, 12638.0, 8795.0, 12879.0, 15682.0, 4638.0, 8849.0, 4852.0, 12812.0, 8618.0]",0.08179069375972306
A1-DEEP|0.001|20|chao_weighted,A1-DEEP,DEEP,100,96,Type 3,single,chao_weighted,P3,20,0.001,1000,10,11.736859798431396,13.438535928726196,18:02:23,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_chao_weighted.json,CaseB,1.4349634473177661,1.4384812926670798,1.4404773485450346,0.0789472809385675,6591.7,2023.6732962610345,6371.5,632,9368,"[1.3292023353731086, 1.4331325437417672, 1.447822153348302, 1.368656740492576, 1.4870307477537794, 1.3920218564745106, 1.5061172822368911, 1.5759030127555596, 1.495513763236262, 1.3494124912580416]","[8842.0, 7992.0, 4751.0, 8747.0, 4479.0, 8609.0, 4692.0, 4382.0, 4609.0, 8814.0]",0.08179069375972306
A1-DEEP|0.001|20|cum_sqrtf,A1-DEEP,DEEP,100,96,Type 3,single,cum_sqrtf,P5,20,0.001,1000,10,22.536073684692383,14.504027128219604,18:02:40,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_cum_sqrtf.json,B1,1.5511683214119476,1.5569317982539017,1.5339962256949424,0.08788452798297179,9445.7,2845.8335878965236,8944.5,996,9004,"[1.5617299354517913, 1.4620563076139101, 1.703521039790827, 1.6942289370159485, 1.5164595046598854, 1.495330406499153, 1.516885652124144, 1.551106799265741, 1.611549028665006, 1.4564503714526105]","[8991.0, 12920.0, 4792.0, 4875.0, 8898.0, 12062.0, 11997.0, 8447.0, 8716.0, 12759.0]",0.08179069375972306
A1-DEEP|0.001|20|cum_sqrtf,A1-DEEP,DEEP,100,96,Type 3,single,cum_sqrtf,P5,20,0.001,1000,10,22.536073684692383,14.504027128219604,18:02:40,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_cum_sqrtf.json,CaseA,1.6116869099200413,1.62032526968965,1.6523666641771086,0.10074578394517068,6298.5,2010.2359687360088,4843.5,1016,8984,"[1.6902920842838214, 1.5038133308910657, 1.6477313417182728, 1.6570019866359444, 1.5230945168937915, 1.6706642710494215, 1.8059440866451038, 1.671767733212964, 1.5086899737984623, 1.5242533717676507]","[4683.0, 8612.0, 4878.0, 4809.0, 8822.0, 4654.0, 4229.0, 4725.0, 8771.0, 8802.0]",0.08179069375972306
A1-DEEP|0.001|20|cum_sqrtf,A1-DEEP,DEEP,100,96,Type 3,single,cum_sqrtf,P5,20,0.001,1000,10,22.536073684692383,14.504027128219604,18:02:40,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_cum_sqrtf.json,CaseB,1.5361875988198863,1.5275273589130678,1.520618263832358,0.06856446760749192,4907.9,1336.559572185243,4588.0,820,9180,"[1.5137655854500662, 1.5780855229726012, 1.517234041003981, 1.5177476854381227, 1.6218670571047975, 1.586841880322919, 1.5348990351382925, 1.5234888422265935, 1.363905741466789, 1.5174381980065144]","[4610.0, 4395.0, 4589.0, 4742.0, 3788.0, 4356.0, 4488.0, 4680.0, 8844.0, 4587.0]",0.08179069375972306
A1-DEEP|0.001|20|faiss_ivf,A1-DEEP,DEEP,100,96,Type 3,single,faiss_ivf,P2,20,0.001,1000,10,22.42218041419983,14.091603755950928,18:02:46,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_faiss_ivf.json,B1,1.5759275651675628,1.5768018739831193,1.5612780590372783,0.08313188722757207,8403.2,2826.76602498332,8720.5,941,9059,"[1.4539877285030722, 1.4719412520959425, 1.5622876749404855, 1.5779499185748391, 1.548768954178848, 1.5602684431340714, 1.6837547230973573, 1.549428022769105, 1.7066104899876204, 1.6530215325498534]","[13022.0, 12707.0, 8686.0, 8904.0, 8914.0, 8680.0, 4951.0, 8755.0, 4639.0, 4774.0]",0.08179069375972306
A1-DEEP|0.001|20|faiss_ivf,A1-DEEP,DEEP,100,96,Type 3,single,faiss_ivf,P2,20,0.001,1000,10,22.42218041419983,14.091603755950928,18:02:46,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_faiss_ivf.json,CaseA,1.6240306685011272,1.6238096028883742,1.6141553351987443,0.043918561072816054,20728.5,3944.598895958878,20714.0,921,9079,"[1.619135732039, 1.682517798639812, 1.5614542202451203, 1.6843964606296058, 1.5985897837331797, 1.5887508988308805, 1.651102129569441, 1.5796713331207648, 1.66330273371745, 1.6091749383584886]","[20556.0, 16687.0, 24283.0, 16445.0, 20714.0, 20714.0, 13222.0, 24888.0, 24888.0, 24888.0]",0.08179069375972306
A1-DEEP|0.001|20|faiss_ivf,A1-DEEP,DEEP,100,96,Type 3,single,faiss_ivf,P2,20,0.001,1000,10,22.42218041419983,14.091603755950928,18:02:46,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_faiss_ivf.json,CaseB,1.5265897832472102,1.5279437036854329,1.5173315328064851,0.11320056927139047,8548.8,2528.5882147949674,8582.0,598,9402,"[1.4285770718444022, 1.5187095309904872, 1.5159535346224828, 1.3838497870131452, 1.5249903795708668, 1.6659623503700527, 1.6781420521355106, 1.481685097599162, 1.6828689838635038, 1.3986982488447175]","[9120.0, 8510.0, 8762.0, 12365.0, 8647.0, 6540.0, 5139.0, 8517.0, 4881.0, 13007.0]",0.08179069375972306
A1-DEEP|0.001|20|gmm,A1-DEEP,DEEP,100,96,Type 3,single,gmm,P1,20,0.001,1000,10,31.340384483337402,13.366388082504272,18:02:48,_internal/cache/rq3/results_3way_5_17/A1-DEEP_sel0.001_K20/A1-DEEP_3way_gmm.json,B1,1.5581633869252116,1.5653485622487866,1.5468898632263253,0.05337641536934631,8731.0,1735.3148993770553,8819.5,944,9056,"[1.5228844873457996, 1.535630940560024, 1.6369999536375321, 1.5351690304103383, 1.5105375192967816, 1.5543357568813418, 1.5553770074927642, 1.5854659495025842, 1.539443969571309, 1.6776410077893904]","[8922.0, 9059.0, 8022.0, 9027.0, 8898.0, 8532.0, 8741.0, 8624.0, 12570.0, 4915.0]",0.08179069375972306
