cell,dataset,sf,dim,type_label,single_multi,mode,method,sample_selection_method_raw,paradigm,K,alpha,sel,ensemble_strategy,n_queries,trials,qe_trim,qe_mean,qe_median,final_size,size_median,size_min,size_max,trial_qe_list,trial_size_list,eta_final,content_hash,stage_source,file_path
A1-DEEP,DEEP,100,96,Type 3,single,B1,_baseline_b1,_baseline_b1,Pother,,,0.001,,1000,10,1.6487147549368442,1.6570623369941782,1.6373089755354993,9335.1,8784.0,4578.0,15743.0,"[1.8000763054173095, 1.6493692544481187, 1.633249502187686, 1.6413684488833125, 1.6128286151195728, 1.5808290250297186, 1.631964579080125, 1.7493329833006381, 1.6078626773974507, 1.6637419790778498]","[4578, 8744, 8718, 8651, 12299, 15743, 12089, 4773, 8824, 8932]",0.08179069375972306,64d593cb55f2db962a20a5025ac6fdda,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_B1.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,chao_weighted,chao_weighted,P3,,,0.001,simple_average,1000,10,1.523278749956111,1.5131081724377817,1.543393662368586,5503.7,4686.0,4502.0,8953.0,"[1.3750221026551632, 1.5460978316072755, 1.5555786822318078, 1.5390824089442037, 1.5406894931298964, 1.5629203495847992, 1.5698296220737655, 1.4981383215478408, 1.5496973238045073, 1.3940255887985569]","[8824, 4628, 4583, 4639, 4658, 4714, 4502, 4793, 4743, 8953]",0.08179069375972306,2aa2f2aefb6ad40058ea1dc06f02e2a7,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_chao_weighted.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,cum_sqrtf,cum_sqrtf,P5,,,0.001,simple_average,1000,10,1.5314448176381408,1.5246904512956576,1.5341017470262226,5052.3,4620.0,4270.0,8766.0,"[1.3761799749468215, 1.6191659969046273, 1.5659051163890614, 1.49052073846472, 1.5089338869713744, 1.5031510456231858, 1.5729641163755514, 1.5288433861855053, 1.541880143228788, 1.5393601078669399]","[8766, 4270, 4462, 4882, 4598, 4529, 4894, 4892, 4588, 4642]",0.08179069375972306,0f88a01a05aaf51982b41fd2e5424414,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_cum_sqrtf.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,faiss_ivf,faiss_ivf,P2,,,0.001,simple_average,1000,10,1.5460527538969466,1.5541996520116295,1.5391893143938629,9605.6,8913.5,4888.0,13576.0,"[1.66682968192004, 1.5475083007958632, 1.5308703279918627, 1.5033705048527115, 1.5243911303282018, 1.5767808278543356, 1.457462140357953, 1.7415050150308888, 1.5612091170746059, 1.4320694739098307]","[4888, 8939, 8740, 12637, 11944, 8888, 12641, 4959, 8844, 13576]",0.08179069375972306,7dac92edc969a4519adf10fb7dc724fc,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_faiss_ivf.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,gmm,gmm,P1,,,0.001,simple_average,1000,10,1.5911892616477574,1.5971637457503909,1.5898692985206322,9595.9,8795.0,5055.0,12969.0,"[1.5673181115315258, 1.5870793349089367, 1.6203548627439002, 1.5292576775832596, 1.733742778592009, 1.5926592621323277, 1.5439706085817582, 1.659100342595924, 1.629773893104427, 1.508380585729841]","[9108, 8773, 8817, 12558, 5055, 8766, 12624, 8530, 8759, 12969]",0.08179069375972306,6ed5eb9810baf3f6bbfffb8e5df59b2a,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_gmm.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,hilbert_real,hilbert_real,P2,,,0.001,simple_average,1000,10,1.5174172608415804,1.5125993871826835,1.5211773025683453,5475.9,4721.5,4501.0,8928.0,"[1.4945196589879186, 1.5166133689709866, 1.5916764896683107, 1.5257412361657037, 1.491087596852026, 1.4428290418184646, 1.5623258169512366, 1.5555349076855274, 1.5506864593007796, 1.39497929542588]","[4732, 4879, 4564, 4694, 4757, 8455, 4501, 4711, 4538, 8928]",0.08179069375972306,315db6e1e3d832fcd2a4189a21b33bbf,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_hilbert_real.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,hyperloglog,hyperloglog,P9,,,0.001,simple_average,1000,10,1.558518187028049,1.5560331560545053,1.5781537218377466,6286.3,5005.0,4394.0,8653.0,"[1.4715731638842515, 1.6243192097665171, 1.4678668545541473, 1.601615698752738, 1.5748358617694174, 1.6242299032683445, 1.5240815858960866, 1.5814715819060758, 1.476432091672479, 1.613905609074997]","[8653, 4970, 8574, 5040, 4880, 4394, 8488, 4626, 8427, 4811]",0.08179069375972306,f49da971dcf0acb610512cdaab8ef4e6,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_hyperloglog.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,ica_fastica,ica_fastica,P4,,,0.001,simple_average,1000,10,1.4731302513419255,1.47666472191279,1.4505804403362195,7344.6,8437.0,4557.0,11606.0,"[1.3962105005577057, 1.4340974677897285, 1.4258607754025003, 1.5599207773395811, 1.5853947078347859, 1.4588297034217763, 1.4311311296559015, 1.5208789719430085, 1.4423311772506626, 1.5119920079322458]","[8967, 8383, 8530, 4557, 4685, 11606, 8491, 4763, 8679, 4785]",0.08179069375972306,df04db6871104f5678b5d058161488b6,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_ica_fastica.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,lavallee_hidiroglou,lavallee_hidiroglou,P5,,,0.001,simple_average,1000,10,1.5280219207444377,1.5223815912898098,1.5467756614348778,5850.6,4754.0,4529.0,8633.0,"[1.5380219032727096, 1.4306352704435679, 1.5623229608612899, 1.549862455461302, 1.5550117855492878, 1.4816440690053052, 1.439733075711692, 1.5436888674084535, 1.569005276499028, 1.5538902486854618]","[4798, 8633, 4694, 4670, 4710, 8093, 8385, 4682, 4529, 5312]",0.08179069375972306,5b877e9c9420066e65125cc8b97247a4,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_lavallee_hidiroglou.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,mhist2,mhist2,P6,,,0.001,simple_average,1000,10,1.6005150172469214,1.5999252995358457,1.573394102719909,8054.5,8707.0,4652.0,12955.0,"[1.4931284548062334, 1.724189811717983, 1.7605169404765533, 1.4730307081007357, 1.7044089082192866, 1.607860802004627, 1.7337239160520668, 1.5288501336392464, 1.5389274034351907, 1.4346159169065333]","[9053, 5115, 4652, 12569, 5061, 8924, 4802, 8744, 8670, 12955]",0.08179069375972306,a4176dd346ffa9416840006eb2e9bcf4,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_mhist2.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,minibatch_partial,minibatch_partial,P1,,,0.001,simple_average,1000,10,1.5068413410614052,1.5058519142464202,1.5218469073254408,6885.4,7238.0,4651.0,8955.0,"[1.4172320944059678, 1.3975494373266528, 1.5944926088195477, 1.6020794643666167, 1.4137165179337492, 1.4431453738760482, 1.5061409090435747, 1.5403708544384307, 1.537552905607307, 1.6062389766463083]","[8955, 8753, 4760, 4651, 8581, 8792, 8330, 4929, 6146, 4957]",0.08179069375972306,f6bf637bf59c6d3317c9c4a0f8882291,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_minibatch_partial.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,pca1d,pca1d,P4,,,0.001,simple_average,1000,10,1.515601308174201,1.5093985613952412,1.5247959272803588,5488.5,4732.5,4462.0,8740.0,"[1.5708149100360649, 1.5173801189857743, 1.5290303842312063, 1.4898846141621283, 1.3983602385227407, 1.4139498991300958, 1.5403665275190077, 1.5205614703295112, 1.5699178271493734, 1.5437196238865105]","[4548, 4911, 4733, 4774, 8740, 8628, 4732, 4688, 4669, 4462]",0.08179069375972306,0f53f5754a28769e97caa52c7be2834d,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_pca1d.json
A1-DEEP,DEEP,100,96,Type 3,single,CaseB,rabitq_strat,rabitq_strat,P6,,,0.001,simple_average,1000,10,1.651686147669965,1.6487532393959872,1.6467625109579513,7204.7,6745.5,4713.0,12974.0,"[1.579434819345838, 1.5533026250789888, 1.7417506182466038, 1.7020475821667964, 1.5873142455226947, 1.5914774397491065, 1.7645303541399366, 1.7297305401937724, 1.728431311055917, 1.509512858460217]","[8549, 8901, 4713, 4942, 8747, 8778, 4922, 4795, 4726, 12974]",0.08179069375972306,d33ddccd8203a455a318a4490f729a7b,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A1-DEEP_sel0.001/A1-DEEP_CaseB_rabitq_strat.json
