cell,method,method_raw,B1_plan,CaseB_plan,plan_same,B1_ms,CaseB_ms,delta_pct,B1_recovers_oracle,CaseB_recovers_oracle,true_card,CaseB_injected_card,q_error,injection_fired,p_holm,hedges_g,cliffs_delta
tpc_h/q10 DEEP sf10 sel0.001 qid0,chao_weighted,chao_weighted,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,981.3,0.77,False,True,7603.0,7157.9,1.062,True,1.0,-0.0616062194074843,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid0,cum_sqrtf,cum_sqrtf,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,1047.3,7.54,False,True,7603.0,6226.2,1.221,True,1.0,-0.5063153460911727,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.001 qid0,ica_fastica,ica_fastica,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,1001.8,2.87,False,True,7603.0,1052.6,7.223,True,1.0,-0.2910219443032081,0.2
tpc_h/q10 DEEP sf10 sel0.001 qid0,md5_prefix_hash_bucket,hyperloglog,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,984.6,1.1,False,True,7603.0,3222.2,2.36,True,1.0,-0.0983321884345313,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca1d,pca1d,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,986.4,1.28,False,True,7603.0,3157.9,2.408,True,1.0,-0.0884690409096773,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca2d_equi_depth_grid,mhist2,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,989.9,1.65,False,True,7603.0,3456.8,2.199,True,1.0,-0.1088859545809883,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca2d_hilbert_xy2d,hilbert_real,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,995.5,2.22,False,True,7603.0,8546.2,1.124,True,1.0,-0.1737536868863131,-0.2
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca2d_zorder_morton,zorder_morton,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,994.1,2.08,False,True,7603.0,4211.0,1.805,True,1.0,-0.1200226692705441,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca4_skilling_hilbert_approx,skilling_hilbert,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,1000.2,2.71,False,True,7603.0,3052.6,2.491,True,1.0,-0.1388116638679237,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid0,rabitq_1bit_bucket,rabitq_strat,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,940.5,-3.43,False,True,7603.0,1329.8,5.718,True,1.0,0.2983713240615199,0.2
tpc_h/q10 DEEP sf10 sel0.001 qid0,rsvd,rsvd,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,diff,973.9,991.5,1.81,False,True,7603.0,3367.2,2.258,True,1.0,-0.1574699694282778,-0.0666666666666666
