cell,condition,raw_label,exec_ms_trimmed,exec_ms_median,plan_short,recovers_oracle,q_error,injected_card,true_card,injection_fired
tpc_h/q10 DEEP sf10 sel0.001 qid0,baseline,baseline,6303.010772224157,6629.114161944017,Gather > Sort > HJ > HJ > Seq > Hash > HJ > Seq > Hash > HJ > Seq > H…,False,,,7603.0,False
tpc_h/q10 DEEP sf10 sel0.001 qid0,B1,B1,973.8501815411908,1046.807202976197,Sort > NL > NL > Gather > NL > NL > Seq > IS > IS > IS > Seq,False,,0.0,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,oracle,oracle,959.9889850136466,1045.3217569738626,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.0,7603.0,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca2d_hilbert_xy2d,CaseB:hilbert_real,995.4889439082203,1039.1740310005844,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.1240614854247284,8546.23947368421,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca4_skilling_hilbert_approx,CaseB:skilling_hilbert,1000.2152326588447,1045.7958079641685,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,2.4906379310344824,3052.631578947369,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,chao_weighted,CaseB:chao_weighted,981.3499906225703,1043.890916975215,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.0621838235294114,7157.894736842107,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,ica_fastica,CaseB:ica_fastica,1001.7948369316471,1047.7818120270967,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,7.222849999999999,1052.6315789473686,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca1d,CaseB:pca1d,986.3634117735693,1050.5186839727685,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,2.4076166666666667,3157.8947368421054,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca2d_zorder_morton,CaseB:zorder_morton,994.1396621020081,1044.312330079265,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.80549584049914,4211.031578947369,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,md5_prefix_hash_bucket,CaseB:hyperloglog,984.5679159849309,1047.5559729384258,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,2.3595651064264205,3222.203947368421,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,cum_sqrtf,CaseB:cum_sqrtf,1047.3184968398598,1056.8064410472289,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.221121289211669,6226.244736842105,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,934.6298867603764,1031.0803590109572,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.4999683303446176,5068.773684210527,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,rsvd,CaseB:rsvd,991.4921913564635,1046.6102509526536,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,2.2579503118696467,3367.2131578947374,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,sparse_rp,CaseB:sparse_rp,1010.2067693817214,1041.5523309493437,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.4892481519514145,5105.260657894737,7603.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid0,pca2d_equi_depth_grid,CaseB:mhist2,989.8966862820089,1059.646576992236,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,2.1994480711036677,3456.7763157894733,7603.0,True
