cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,cliffs_delta
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:chao_weighted,15,164.13993400055915,1941.334891016595,1773.765032994561,41.0,0.30279541015625,1.0,46,-183.03717423890097,217.36092440434732,0.060092771410635556,0.6
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:cum_sqrtf,15,161.334082018584,1941.334891016595,1746.8641999876127,25.0,0.04791259765625,1.0,11,-73.54656380368397,164.71695126325355,0.23083886419449248,0.6
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:hilbert_real,15,11.079540941864252,1941.334891016595,1944.1563159925863,54.0,0.76153564453125,1.0,88,-82.39622922420192,208.59879848760707,0.16371582043398078,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:hyperloglog,15,-33.62564812414348,1941.334891016595,1951.996793039143,37.0,0.207763671875,1.0,35,-279.81190042589634,61.92829180489447,-0.2448688391709238,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:ica_fastica,15,7.166200899519026,1941.334891016595,1936.3790629431605,58.0,0.93408203125,1.0,102,-221.8095834820997,160.7645312075812,-0.0708419223851064,0.2
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:lavallee_hidiroglou,15,-33.65146811120212,1941.334891016595,1972.3692319821566,30.0,0.0946044921875,1.0,18,-246.4181159157306,52.199112805149625,-0.2842089605880387,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:mhist2,15,163.93156384583563,1941.334891016595,1760.5863279895857,36.0,0.1876220703125,1.0,32,-148.64440170951033,212.59762871719428,0.10820646298940487,0.6
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:pca1d,15,-9.375032037496567,1941.334891016595,1947.1602039411664,60.0,1.0,1.0,111,-109.9007928268596,288.18066842640593,0.1739231007554903,-0.2
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:rabitq_strat,15,200.15513605903834,1941.334891016595,1761.8534420616925,37.0,0.207763671875,1.0,36,-120.00812100634599,333.8657588197381,0.2373179355441787,0.6
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:rsvd,15,30.65564902499318,1941.334891016595,1929.191578994505,34.0,0.15142822265625,1.0,27,-212.6840013822463,191.3797608780441,-0.002445851086556422,0.6
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:skilling_hilbert,15,164.8835081141442,1941.334891016595,1773.1171490158886,43.0,0.359130859375,1.0,53,-237.20174972220167,206.47374002301723,-0.01224523899471212,0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:sparse_rp,15,20.814453018829226,1941.334891016595,1923.2404259964824,42.0,0.33026123046875,1.0,50,-82.47361834374412,210.6671432621078,0.17795467670455026,0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:zorder_morton,15,162.9200050374493,1941.334891016595,1773.725755047053,45.0,0.42120361328125,1.0,61,-215.88376355629103,206.8964985977315,0.011921241801590257,0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,oracle,15,-51.01211299188435,1941.334891016595,1967.1648429939523,33.0,0.1353759765625,1.0,24,-381.31215073284693,4.004597192785178,-0.42989561307642443,-0.2
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,B1,15,3061.4569040481,5008.02664400544,1941.334891016595,0.0,6.103515625e-05,0.00732421875,1,2811.023423957522,3397.053457234094,4.696256982421495,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:chao_weighted,15,3225.5968380486593,5008.02664400544,1773.765032994561,0.0,6.103515625e-05,0.00732421875,5,2736.3652390063116,3516.9737269215207,3.632613849106832,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:cum_sqrtf,15,3240.9124550176784,5008.02664400544,1746.8641999876127,0.0,6.103515625e-05,0.00732421875,10,2831.457347367735,3491.5281372346603,4.356188146037842,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:hilbert_real,15,3072.5364449899644,5008.02664400544,1944.1563159925863,0.0,6.103515625e-05,0.00732421875,3,2843.8345849242373,3467.738891688447,4.438993240352481,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:hyperloglog,15,3027.8312559239566,5008.02664400544,1951.996793039143,0.0,6.103515625e-05,0.00732421875,9,2666.0832609490417,3311.080328060003,4.113284315234414,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:ica_fastica,15,3041.0453740041703,5008.02664400544,1936.3790629431605,0.0,6.103515625e-05,0.00732421875,6,2709.7338446932067,3448.7847287054565,3.64086397251588,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:lavallee_hidiroglou,15,2998.1889110058546,5008.02664400544,1972.3692319821566,0.0,6.103515625e-05,0.00732421875,11,2706.0402941967673,3307.321264391455,4.536210540088794,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:mhist2,15,3224.327929900028,5008.02664400544,1760.5863279895857,0.0,6.103515625e-05,0.00732421875,14,2888.9366564884162,3358.7953011672166,6.107544178101935,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:pca1d,15,3032.169353100471,5008.02664400544,1947.1602039411664,0.0,6.103515625e-05,0.00732421875,7,2787.007187483056,3607.3908064910206,3.4154387173902903,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:rabitq_strat,15,3253.972355858423,5008.02664400544,1761.8534420616925,0.0,6.103515625e-05,0.00732421875,15,2836.2329651483255,3598.5143275836404,3.8317711548788735,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:rsvd,15,3078.835065010935,5008.02664400544,1929.191578994505,0.0,6.103515625e-05,0.00732421875,12,2704.8192642130502,3527.851672146547,3.331387777832293,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:skilling_hilbert,15,3263.68112990167,5008.02664400544,1773.1171490158886,0.0,6.103515625e-05,0.00732421875,4,2715.4257856024196,3458.4676616025777,3.7089548921697086,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:sparse_rp,15,3050.174993928522,5008.02664400544,1923.2404259964824,0.0,6.103515625e-05,0.00732421875,13,2814.356930894622,3537.564256330176,3.855773346406994,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:zorder_morton,15,3242.100042873062,5008.02664400544,1773.725755047053,0.0,6.103515625e-05,0.00732421875,8,2733.026479226343,3477.501029045476,3.748918205910964,1.0
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,oracle,15,3003.393299994059,5008.02664400544,1967.1648429939523,0.0,6.103515625e-05,0.00732421875,2,2643.410843333113,3185.0934661701704,4.885513798752831,1.0
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,-38.6204730020836,4763.207089039497,5418.50210505072,46.0,0.45428466796875,1.0,64,-700.9465055734229,131.86337158413755,-0.2587328249996372,-0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,48.948328010737896,4763.207089039497,5441.167942015454,57.0,0.890380859375,1.0,98,-603.6252231220715,386.3487423552806,-0.084678842969138,0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:hilbert_real,15,42.518280912190676,4763.207089039497,4818.149514030665,40.0,0.27685546875,1.0,42,-451.7249387978033,633.8127251190596,0.09517743458214106,0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:hyperloglog,15,84.94209009222686,4763.207089039497,4699.008280062117,28.0,0.072998046875,1.0,15,-94.71715654770378,313.14315365006513,0.24391483623230445,0.6
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:ica_fastica,15,20.963046932592988,4763.207089039497,5268.905323930085,48.0,0.52447509765625,1.0,70,-226.2099861097522,22.393518948422983,-0.32509888411254345,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:lavallee_hidiroglou,15,26.938224909827113,4763.207089039497,5263.918559998274,59.0,0.97796630859375,1.0,107,-438.96072137945646,135.23306891923605,-0.20581901241585315,0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:mhist2,15,-16.842921962961555,4763.207089039497,5519.209092948586,48.0,0.52447509765625,1.0,71,-293.04255564988125,75.92130337473144,-0.24879267752953732,-0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:pca1d,15,12.332350015640259,4763.207089039497,5473.911148030311,57.0,0.890380859375,1.0,97,-356.44336222341127,9.67808987402046,-0.39423132254746546,0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,99.95737904682755,4763.207089039497,5377.511834027246,33.0,0.1353759765625,1.0,25,-161.41527135177358,308.0521645709326,0.15485833701220772,0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:rsvd,15,39.05795607715845,4763.207089039497,5466.3567680399865,44.0,0.389404296875,1.0,56,-279.41200860523776,304.7888822391784,0.015140761023388538,0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,65.81991608254611,4763.207089039497,5485.316375037655,48.0,0.52447509765625,1.0,69,-629.1399932161828,63.14470412655888,-0.3522118971144046,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,-27.694739983417094,4763.207089039497,5487.006820971146,29.0,0.083251953125,1.0,17,-446.9761737928881,-47.348610536428225,-0.5356861662101744,-0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:zorder_morton,15,39.91147503256798,4763.207089039497,4794.525231001899,45.0,0.42120361328125,1.0,62,-180.01643521070946,527.5933378977543,0.19229090618269135,0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,oracle,15,25.73868492618203,4763.207089039497,4788.311169017106,57.0,0.890380859375,1.0,96,-284.3058085309652,636.4899760973639,0.13074206160194748,0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,B1,15,-49.94790209457278,5460.762689937837,4763.207089039497,49.0,0.5614013671875,1.0,89,-55.42596108163707,606.8550490617043,0.29919023770391734,-0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:chao_weighted,15,-66.64206204004586,5460.762689937837,5418.50210505072,47.0,0.48870849609375,1.0,85,-249.21723446963975,227.6559687691042,-0.02088976319665048,-0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:cum_sqrtf,15,23.060398059897125,5460.762689937837,5441.167942015454,51.0,0.638671875,1.0,93,-157.00716328574345,464.91682964396506,0.19582571258769033,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:hilbert_real,15,9.595585870556533,5460.762689937837,4818.149514030665,48.0,0.52447509765625,1.0,88,-205.07934984091358,893.2719901857974,0.2862120797268281,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:hyperloglog,15,59.44318708498031,5460.762689937837,4699.008280062117,18.0,0.01507568359375,0.904541015625,61,92.54434943858845,627.4425152211913,0.565721578300865,0.6
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:ica_fastica,15,-10.613463004119694,5460.762689937837,5268.905323930085,54.0,0.76153564453125,1.0,100,-83.65560730472983,451.5524488311105,0.22487134768168252,-0.2
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:lavallee_hidiroglou,15,-16.55873900745064,5460.762689937837,5263.918559998274,60.0,1.0,1.0,120,-116.84309107561906,338.8202986699373,0.20303615643987952,-0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:mhist2,15,-26.81699104141444,5460.762689937837,5519.209092948586,58.0,0.93408203125,1.0,114,-152.29809510832033,448.5112889819233,0.1995113181538735,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:pca1d,15,-28.41476397588849,5460.762689937837,5473.911148030311,51.0,0.638671875,1.0,92,-221.20225244162916,476.7109936504854,0.09275813877751711,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:rabitq_strat,15,54.94432209525257,5460.762689937837,5377.511834027246,21.0,0.02557373046875,1.0,62,74.91098030741948,590.4564608953659,0.5474559612903729,0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:rsvd,15,6.872662925161421,5460.762689937837,5466.3567680399865,43.0,0.359130859375,1.0,80,12.239806972793305,506.77271782633983,0.4294727815834116,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:skilling_hilbert,15,24.48459796141833,5460.762689937837,5485.316375037655,55.0,0.803955078125,1.0,104,-425.47626733294845,352.4897674312037,-0.04644545305834657,0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:sparse_rp,15,-84.17875808663666,5460.762689937837,5487.006820971146,25.0,0.04791259765625,1.0,63,-212.18141408326724,274.1707005668041,-0.00392770746213926,-0.7333333333333333
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:zorder_morton,15,22.189694922417402,5460.762689937837,4794.525231001899,40.0,0.27685546875,1.0,71,60.077052639098845,774.2354242037981,0.488912929412241,0.06666666666666667
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,oracle,15,-2.735993009991944,5460.762689937837,4788.311169017106,55.0,0.803955078125,1.0,103,-146.73752120094528,935.2251116776212,0.30894167003508005,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:chao_weighted,15,-12.596462154760957,1353.688421077095,1369.06696902588,28.0,0.072998046875,1.0,16,-231.60915988555644,-4.551067662153714,-0.3969618478279247,-0.6
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:cum_sqrtf,15,-16.726258909329772,1353.688421077095,1369.9479650240391,40.0,0.27685546875,1.0,43,-235.63245330238715,87.52474387603183,-0.21730725851454596,-0.2
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:hilbert_real,15,4.623944056220353,1353.688421077095,1363.1680880207568,56.0,0.846923828125,1.0,94,-29.639767899449605,133.30235337295255,0.1620302157017109,0.2
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:hyperloglog,15,-10.911883902736008,1353.688421077095,1376.8472319934517,35.0,0.1688232421875,1.0,29,-231.7663767367291,-3.1522809710198603,-0.39697196293855125,-0.2
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:ica_fastica,15,-9.142043069005013,1353.688421077095,1363.7679719831795,46.0,0.45428466796875,1.0,65,-162.28805724104555,108.08181429378803,-0.09601336233899099,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:lavallee_hidiroglou,15,-4.578183055855334,1353.688421077095,1371.6424530139193,42.0,0.33026123046875,1.0,51,-251.96169383086573,27.350930343964137,-0.3095535897067123,-0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:mhist2,15,-3.7348991027101874,1353.688421077095,1364.7820201003924,39.0,0.25238037109375,1.0,41,-302.8494166592524,80.87750899547238,-0.2634861497885473,-0.2
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:pca1d,15,4.492650041356683,1353.688421077095,1357.1255619172007,54.0,0.76153564453125,1.0,89,-230.6258670950774,96.6806173955168,-0.1436506052787248,0.2
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:rabitq_strat,15,-2.8322500875219703,1353.688421077095,1365.4161469312385,41.0,0.30279541015625,1.0,49,-178.09126691310667,-2.5390732053589717,-0.3163314556141574,-0.2
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:rsvd,15,-3.267947002314031,1353.688421077095,1352.0311679458246,56.0,0.846923828125,1.0,95,-152.79361176867195,28.899039407066677,-0.20256073055311602,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:skilling_hilbert,15,-15.154190012253821,1353.688421077095,1390.34918602556,30.0,0.0946044921875,1.0,19,-262.9101325470644,79.69749147421679,-0.24399795216960876,-0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:sparse_rp,15,2.4232249706983566,1353.688421077095,1363.052995991893,52.0,0.67877197265625,1.0,80,-301.8665481122055,-6.212099485371073,-0.43254788255578364,0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:zorder_morton,15,-5.4341190261766315,1353.688421077095,1405.215649981983,41.0,0.30279541015625,1.0,48,-323.7242551019881,44.16458627073243,-0.3682516676521249,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,oracle,15,-31.323338043875992,1353.688421077095,1386.46162499208,41.0,0.30279541015625,1.0,47,-295.5174198234454,83.41878596363428,-0.25773846713917115,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,B1,15,3159.287274000235,4516.848713043146,1353.688421077095,0.0,6.103515625e-05,0.00732421875,16,3137.4984218894197,3753.883097115322,5.127022547461456,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:chao_weighted,15,3149.3304290343076,4516.848713043146,1369.06696902588,0.0,6.103515625e-05,0.00732421875,20,3045.7781449579247,3626.904604737259,5.265595896607578,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:cum_sqrtf,15,3150.1409229822457,4516.848713043146,1369.9479650240391,0.0,6.103515625e-05,0.00732421875,25,3073.5593394828416,3647.763727320513,5.2543839141029,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:hilbert_real,15,3160.6557350605726,4516.848713043146,1363.1680880207568,0.0,6.103515625e-05,0.00732421875,18,3173.0026260130885,3778.935030085461,5.242968459033416,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:hyperloglog,15,3150.254790089093,4516.848713043146,1376.8472319934517,0.0,6.103515625e-05,0.00732421875,24,2990.771712568433,3682.4309195723617,4.3568365737558485,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:ica_fastica,15,3151.724776835181,4516.848713043146,1363.7679719831795,0.0,6.103515625e-05,0.00732421875,21,3134.700409674163,3681.6861427843105,5.727229058819769,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:lavallee_hidiroglou,15,3148.9935719873756,4516.848713043146,1371.6424530139193,0.0,6.103515625e-05,0.00732421875,26,3048.973648175015,3638.1160120774675,5.276220669094955,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:mhist2,15,3145.3325690235943,4516.848713043146,1364.7820201003924,0.0,6.103515625e-05,0.00732421875,29,3011.4163452384914,3641.6959019437977,4.907400430239965,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:pca1d,15,3165.9916039789096,4516.848713043146,1357.1255619172007,0.0,6.103515625e-05,0.00732421875,22,3087.656088474517,3669.00745809214,5.401145307560581,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:rabitq_strat,15,3153.4956210525706,4516.848713043146,1365.4161469312385,0.0,6.103515625e-05,0.00732421875,30,3098.534874760662,3645.282738804623,5.675569427982927,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:rsvd,15,3160.0522599183023,4516.848713043146,1352.0311679458246,0.0,6.103515625e-05,0.00732421875,27,3131.085143695042,3670.3925246815197,5.79107638455192,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:skilling_hilbert,15,3136.897742981091,4516.848713043146,1390.34918602556,0.0,6.103515625e-05,0.00732421875,19,3049.7459149952433,3638.985490979782,5.177841865140423,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:sparse_rp,15,3142.1592630213127,4516.848713043146,1363.052995991893,0.0,6.103515625e-05,0.00732421875,28,2977.646013565245,3615.604906295581,4.713522227807816,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:zorder_morton,15,3161.520806956105,4516.848713043146,1405.215649981983,0.0,6.103515625e-05,0.00732421875,23,2967.456807314302,3595.0582729464313,4.758085332975274,1.0
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,oracle,15,3153.4853511257097,4516.848713043146,1386.46162499208,0.0,6.103515625e-05,0.00732421875,17,3016.9415555758555,3636.8618337451085,4.9746886868178155,1.0
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,-9.296873002313077,3841.689909924753,3869.496388011612,45.0,0.42120361328125,1.0,63,-144.45682467640532,7.491086111597998,-0.2715596470762737,-0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,2.615660079754889,3841.689909924753,3837.4894079752266,52.0,0.67877197265625,1.0,82,-13.346903997201784,13.80879946732117,0.013879615528397504,0.2
