cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:chao_weighted,15,164.13993400055915,1941.334891016595,1773.765032994561,41.0,0.30279541015625,1.0,46
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:cum_sqrtf,15,161.334082018584,1941.334891016595,1746.8641999876127,25.0,0.04791259765625,1.0,11
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:hilbert_real,15,11.079540941864252,1941.334891016595,1944.1563159925863,54.0,0.76153564453125,1.0,88
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:hyperloglog,15,-33.62564812414348,1941.334891016595,1951.996793039143,37.0,0.207763671875,1.0,35
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:ica_fastica,15,7.166200899519026,1941.334891016595,1936.3790629431605,58.0,0.93408203125,1.0,102
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:lavallee_hidiroglou,15,-33.65146811120212,1941.334891016595,1972.3692319821566,30.0,0.0946044921875,1.0,18
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:mhist2,15,163.93156384583563,1941.334891016595,1760.5863279895857,36.0,0.1876220703125,1.0,32
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:pca1d,15,-9.375032037496567,1941.334891016595,1947.1602039411664,60.0,1.0,1.0,111
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:rabitq_strat,15,200.15513605903834,1941.334891016595,1761.8534420616925,37.0,0.207763671875,1.0,36
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:rsvd,15,30.65564902499318,1941.334891016595,1929.191578994505,34.0,0.15142822265625,1.0,27
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:skilling_hilbert,15,164.8835081141442,1941.334891016595,1773.1171490158886,43.0,0.359130859375,1.0,53
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:sparse_rp,15,20.814453018829226,1941.334891016595,1923.2404259964824,42.0,0.33026123046875,1.0,50
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,CaseB:zorder_morton,15,162.9200050374493,1941.334891016595,1773.725755047053,45.0,0.42120361328125,1.0,61
tpc_h/q10 DEEP sf10 sel0.01 qid0,B1,oracle,15,-51.01211299188435,1941.334891016595,1967.1648429939523,33.0,0.1353759765625,1.0,24
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,B1,15,3061.4569040481,5008.02664400544,1941.334891016595,0.0,6.103515625e-05,0.00732421875,1
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:chao_weighted,15,3225.5968380486593,5008.02664400544,1773.765032994561,0.0,6.103515625e-05,0.00732421875,5
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:cum_sqrtf,15,3240.9124550176784,5008.02664400544,1746.8641999876127,0.0,6.103515625e-05,0.00732421875,10
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:hilbert_real,15,3072.5364449899644,5008.02664400544,1944.1563159925863,0.0,6.103515625e-05,0.00732421875,3
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:hyperloglog,15,3027.8312559239566,5008.02664400544,1951.996793039143,0.0,6.103515625e-05,0.00732421875,9
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:ica_fastica,15,3041.0453740041703,5008.02664400544,1936.3790629431605,0.0,6.103515625e-05,0.00732421875,6
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:lavallee_hidiroglou,15,2998.1889110058546,5008.02664400544,1972.3692319821566,0.0,6.103515625e-05,0.00732421875,11
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:mhist2,15,3224.327929900028,5008.02664400544,1760.5863279895857,0.0,6.103515625e-05,0.00732421875,14
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:pca1d,15,3032.169353100471,5008.02664400544,1947.1602039411664,0.0,6.103515625e-05,0.00732421875,7
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:rabitq_strat,15,3253.972355858423,5008.02664400544,1761.8534420616925,0.0,6.103515625e-05,0.00732421875,15
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:rsvd,15,3078.835065010935,5008.02664400544,1929.191578994505,0.0,6.103515625e-05,0.00732421875,12
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:skilling_hilbert,15,3263.68112990167,5008.02664400544,1773.1171490158886,0.0,6.103515625e-05,0.00732421875,4
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:sparse_rp,15,3050.174993928522,5008.02664400544,1923.2404259964824,0.0,6.103515625e-05,0.00732421875,13
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,CaseB:zorder_morton,15,3242.100042873062,5008.02664400544,1773.725755047053,0.0,6.103515625e-05,0.00732421875,8
tpc_h/q10 DEEP sf10 sel0.01 qid0,baseline,oracle,15,3003.393299994059,5008.02664400544,1967.1648429939523,0.0,6.103515625e-05,0.00732421875,2
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,-38.6204730020836,4763.207089039497,5418.50210505072,46.0,0.45428466796875,1.0,64
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,48.948328010737896,4763.207089039497,5441.167942015454,57.0,0.890380859375,1.0,98
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:hilbert_real,15,42.518280912190676,4763.207089039497,4818.149514030665,40.0,0.27685546875,1.0,42
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:hyperloglog,15,84.94209009222686,4763.207089039497,4699.008280062117,28.0,0.072998046875,1.0,15
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:ica_fastica,15,20.963046932592988,4763.207089039497,5268.905323930085,48.0,0.52447509765625,1.0,70
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:lavallee_hidiroglou,15,26.938224909827113,4763.207089039497,5263.918559998274,59.0,0.97796630859375,1.0,107
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:mhist2,15,-16.842921962961555,4763.207089039497,5519.209092948586,48.0,0.52447509765625,1.0,71
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:pca1d,15,12.332350015640259,4763.207089039497,5473.911148030311,57.0,0.890380859375,1.0,97
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,99.95737904682755,4763.207089039497,5377.511834027246,33.0,0.1353759765625,1.0,25
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:rsvd,15,39.05795607715845,4763.207089039497,5466.3567680399865,44.0,0.389404296875,1.0,56
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,65.81991608254611,4763.207089039497,5485.316375037655,48.0,0.52447509765625,1.0,69
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,-27.694739983417094,4763.207089039497,5487.006820971146,29.0,0.083251953125,1.0,17
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:zorder_morton,15,39.91147503256798,4763.207089039497,4794.525231001899,45.0,0.42120361328125,1.0,62
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,oracle,15,25.73868492618203,4763.207089039497,4788.311169017106,57.0,0.890380859375,1.0,96
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,B1,15,-49.94790209457278,5460.762689937837,4763.207089039497,49.0,0.5614013671875,1.0,89
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:chao_weighted,15,-66.64206204004586,5460.762689937837,5418.50210505072,47.0,0.48870849609375,1.0,85
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:cum_sqrtf,15,23.060398059897125,5460.762689937837,5441.167942015454,51.0,0.638671875,1.0,93
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:hilbert_real,15,9.595585870556533,5460.762689937837,4818.149514030665,48.0,0.52447509765625,1.0,88
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:hyperloglog,15,59.44318708498031,5460.762689937837,4699.008280062117,18.0,0.01507568359375,0.904541015625,61
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:ica_fastica,15,-10.613463004119694,5460.762689937837,5268.905323930085,54.0,0.76153564453125,1.0,100
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:lavallee_hidiroglou,15,-16.55873900745064,5460.762689937837,5263.918559998274,60.0,1.0,1.0,120
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:mhist2,15,-26.81699104141444,5460.762689937837,5519.209092948586,58.0,0.93408203125,1.0,114
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:pca1d,15,-28.41476397588849,5460.762689937837,5473.911148030311,51.0,0.638671875,1.0,92
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:rabitq_strat,15,54.94432209525257,5460.762689937837,5377.511834027246,21.0,0.02557373046875,1.0,62
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:rsvd,15,6.872662925161421,5460.762689937837,5466.3567680399865,43.0,0.359130859375,1.0,80
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:skilling_hilbert,15,24.48459796141833,5460.762689937837,5485.316375037655,55.0,0.803955078125,1.0,104
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:sparse_rp,15,-84.17875808663666,5460.762689937837,5487.006820971146,25.0,0.04791259765625,1.0,63
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:zorder_morton,15,22.189694922417402,5460.762689937837,4794.525231001899,40.0,0.27685546875,1.0,71
