dataset,sf,n,est_b1_old_mean,est_b1_new_mean,mean_diff_pct,median_diff_pct,max_abs_diff_pct
DEEP,1,3,31722.94372294372,30614.718614718615,11.280743789805657,5.793450881612089,50.000000000000014
DEEP,10,3,299913.41991341993,288831.16883116885,0.9269545896403324,0.9269545896403324,4.485488126649085
DEEP,100,3,2770562.7705627703,2922943.722943723,29.772400626380925,-4.878048780487812,100.0
SIFT,1,3,14961.038961038961,28398.268398268392,-61.45775397397603,-52.63157894736842,85.71428571428571
SIFT,10,3,233419.9134199134,297835.4978354979,-29.75633528265108,-19.999999999999996,51.111111111111114
SIFT,100,3,3324675.3246753253,2936796.5367965377,54.6598652355849,19.148936170212778,133.33333333333337
SSN,1,3,30129.870129870123,29437.22943722943,18.19503331314355,20.000000000000004,35.8974358974359
SSN,10,3,292987.01298701303,263203.46320346324,33.70315581854043,13.609467455621296,100.0
SSN,100,3,2784415.5844155843,3248484.8484848496,-30.850580973130004,-14.120370370370393,66.66666666666666
WIKI,1,3,21610.389610389608,30822.510822510816,-35.3816885066885,-32.18673218673217,83.33333333333333
WIKI,10,3,236190.4761904762,295757.5757575758,-27.49503968253968,-25.714285714285708,37.499999999999986
YFCC,1,3,34354.97835497835,31168.831168831166,150.66482631700023,45.71428571428572,400.0
YFCC,10,3,388571.42857142864,290216.4502164502,60.52843708016121,40.00000000000001,113.79310344827583
