cell,anchor,variant,n_pairs,pairing_valid,anchor_n_timeout,variant_n_timeout,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,rank_biserial
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:chao_weighted,15,True,0,0,-3.2057660864666104,1198.1133120134473,1240.0855160085484,43.0,0.359130859375,1.0,117,-981.087970980637,-6.5681515824205245,-0.4178298956203216,-0.2833333333333333
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:cum_sqrtf,15,True,0,0,16.066989861428738,1198.1133120134473,1202.9977580532432,59.0,0.97796630859375,1.0,353,-536.8868492074156,163.22989296439692,-0.19978199671594482,0.016666666666666666
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:hilbert_real,15,True,0,0,5.033689085394144,1198.1133120134473,1254.5570760266855,54.0,0.76153564453125,1.0,281,-435.55899707833305,238.63267094692364,-0.05753327885396091,0.1
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:hyperloglog,15,True,0,0,-59.23783406615257,1198.1133120134473,1415.054592071101,42.0,0.33026123046875,1.0,103,-711.7577114941862,123.07035867512832,-0.27697509271010357,-0.3
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:ica_fastica,15,True,0,0,-58.72959992848337,1198.1133120134473,1256.8429119419307,41.0,0.30279541015625,1.0,92,-845.9037880058168,24.664732103313405,-0.378093390940726,-0.31666666666666665
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:lavallee_hidiroglou,15,True,0,0,-101.64022690150887,1198.1133120134473,1289.664944051765,47.0,0.48870849609375,1.0,173,-240.31571219830462,203.6775247399539,-0.06466053334270677,-0.21666666666666667
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:mhist2,15,True,0,0,-64.70153306145221,1198.1133120134473,1239.5017290255055,53.0,0.7197265625,1.0,255,-563.2475591650776,220.25460069746848,-0.1568580695930909,-0.11666666666666667
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:pca1d,15,True,0,0,32.473368919454515,1198.1133120134473,1359.4146920368075,57.0,0.890380859375,1.0,328,-632.5010754792795,118.85085518200248,-0.27211855293995785,-0.05
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:rabitq_strat,15,True,0,0,-78.58153409324586,1198.1133120134473,1253.3817300572991,45.0,0.42120361328125,1.0,144,-623.1259050103836,152.9120208295838,-0.2589494212590015,-0.25
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:rsvd,15,True,0,0,-144.23626905772835,1198.1133120134473,1384.8997430177405,35.0,0.1688232421875,1.0,45,-877.1365586082296,15.31661591977649,-0.39099057477219895,-0.4166666666666667
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:skilling_hilbert,15,True,0,0,-24.521695915609598,1198.1133120134473,1292.337249033153,57.0,0.890380859375,1.0,327,-137.2048260420949,194.61586466175498,0.06921343085415325,0.05
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:sparse_rp,15,True,0,0,-77.64007500372827,1198.1133120134473,1217.7017210051417,46.0,0.45428466796875,1.0,155,-531.022741898972,145.5647092081684,-0.22023326517055344,-0.23333333333333334
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,CaseB:zorder_morton,15,True,0,0,1.5277451602742076,1198.1133120134473,1186.6516310255975,50.0,0.5994873046875,1.0,211,-579.4499699090375,27.701770268807493,-0.32256197634538103,-0.16666666666666666
tpc_h/q10 SIFT sf10 sel0.001 qid0,B1,oracle,15,True,0,0,-5.823859944939613,1198.1133120134473,1345.0916369911283,52.0,0.67877197265625,1.0,235,-640.9364344090378,81.98935371959408,-0.30338398495412794,-0.13333333333333333
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,B1,15,True,0,0,4979.881375096738,6272.844859980978,1198.1133120134473,0.0,6.103515625e-05,0.02471923828125,1,4801.73412705597,5898.960498542292,4.499806749091093,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:chao_weighted,15,True,0,0,4914.879557094537,6272.844859980978,1240.0855160085484,0.0,6.103515625e-05,0.02471923828125,5,4086.708698516013,5570.234784753411,3.0308953768930342,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:cum_sqrtf,15,True,0,0,4907.628530054353,6272.844859980978,1202.9977580532432,0.0,6.103515625e-05,0.02471923828125,10,4538.445123217341,5819.323071622833,3.6337679037133808,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:hilbert_real,15,True,0,0,4935.818120022304,6272.844859980978,1254.5570760266855,0.0,6.103515625e-05,0.02471923828125,3,4660.691456908632,5956.962678812366,3.790768248659442,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:hyperloglog,15,True,0,0,4799.095522961579,6272.844859980978,1415.054592071101,0.0,6.103515625e-05,0.02471923828125,9,4351.081188642032,5785.957983132878,3.2437569577053322,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:ica_fastica,15,True,0,0,4911.630402086303,6272.844859980978,1256.8429119419307,0.0,6.103515625e-05,0.02471923828125,6,4381.753480114276,5554.62721654699,3.904176669333886,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:lavallee_hidiroglou,15,True,0,0,5013.226841925643,6272.844859980978,1289.664944051765,0.0,6.103515625e-05,0.02471923828125,11,4759.742026866491,5908.614511494136,4.303942693137091,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:mhist2,15,True,0,0,4915.179842035286,6272.844859980978,1239.5017290255055,0.0,6.103515625e-05,0.02471923828125,14,4518.698512811873,5811.705596099103,3.6864405009671857,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:pca1d,15,True,0,0,4855.487118009478,6272.844859980978,1359.4146920368075,0.0,6.103515625e-05,0.02471923828125,7,4505.550164461213,5725.270368695685,3.8341347458795076,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:rabitq_strat,15,True,0,0,4974.926124094054,6272.844859980978,1253.3817300572991,0.0,6.103515625e-05,0.02471923828125,15,4433.524134213415,5807.506188531212,3.382565420625219,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:rsvd,15,True,0,0,4906.321270042099,6272.844859980978,1384.8997430177405,0.0,6.103515625e-05,0.02471923828125,12,4311.778820762217,5578.041930791028,3.5553766769744404,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:skilling_hilbert,15,True,0,0,4912.3981720767915,6272.844859980978,1292.337249033153,0.0,6.103515625e-05,0.02471923828125,4,4849.216339628329,5915.493295619768,4.626833876684455,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:sparse_rp,15,True,0,0,4891.5459549752995,6272.844859980978,1217.7017210051417,0.0,6.103515625e-05,0.02471923828125,13,4527.786929911042,5842.2043843817655,3.6130382443085014,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,CaseB:zorder_morton,15,True,0,0,4986.604915931821,6272.844859980978,1186.6516310255975,0.0,6.103515625e-05,0.02471923828125,8,4455.083485328748,5750.712563162475,3.557313938059455,1.0
tpc_h/q10 SIFT sf10 sel0.001 qid0,baseline,oracle,15,True,0,0,5024.299069889821,6272.844859980978,1345.0916369911283,0.0,6.103515625e-05,0.02471923828125,2,4399.389805690347,5775.051961791469,3.438897071651401,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:chao_weighted,15,True,0,0,-22.64743100386113,4469.74433097057,4376.492034993134,53.0,0.7197265625,1.0,257,-363.393336799151,801.0261810551546,0.16603123492228594,0.11666666666666667
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:cum_sqrtf,15,True,0,0,416.85290390159935,4469.74433097057,4260.68408600986,46.0,0.45428466796875,1.0,156,-285.7058882340789,732.2707087292405,0.20298987348879044,0.23333333333333334
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:hilbert_real,15,True,0,0,-55.388084962032735,4469.74433097057,4287.63220901601,52.0,0.67877197265625,1.0,236,-228.63534973274608,601.7218109299815,0.19840837478286702,0.13333333333333333
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:hyperloglog,15,True,0,0,288.37284503970295,4469.74433097057,4345.600008964539,37.0,0.207763671875,1.0,56,-148.95786668717238,833.2653715203438,0.3110829317624274,0.38333333333333336
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:ica_fastica,15,True,0,0,163.04233286064118,4469.74433097057,4125.846619019285,44.0,0.389404296875,1.0,130,-205.2798436570447,789.1516756978427,0.2604570396856543,0.26666666666666666
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:lavallee_hidiroglou,15,True,0,0,-103.56349998619407,4469.74433097057,4091.9582220958546,47.0,0.48870849609375,1.0,174,-211.08846024513088,738.7608614369913,0.23250042039598737,0.21666666666666667
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:mhist2,15,True,0,0,-168.8322579720989,4469.74433097057,4181.374880950898,57.0,0.890380859375,1.0,329,-435.07337848326034,622.1421520796132,0.06313538019719718,0.05
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:pca1d,15,True,0,0,80.9758830582723,4469.74433097057,4439.058360061608,54.0,0.76153564453125,1.0,282,-244.46300313148336,246.80754092909996,0.0034585050172539693,0.1
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:rabitq_strat,15,True,0,0,58.34353307727724,4469.74433097057,4158.233072957955,44.0,0.389404296875,1.0,131,-77.34937690062604,756.7482369975186,0.33477392741152245,0.26666666666666666
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:rsvd,15,True,0,0,143.93538399599493,4469.74433097057,4002.9949320014566,42.0,0.33026123046875,1.0,105,-111.50667981768493,842.3684815218436,0.32201385866391763,0.3
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:skilling_hilbert,15,True,0,0,286.8491620756686,4469.74433097057,4165.424966951832,42.0,0.33026123046875,1.0,104,-224.76352690389226,885.0080034057218,0.2539140674982468,0.3
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:sparse_rp,15,True,0,0,174.36378297861665,4469.74433097057,4120.609328034334,46.0,0.45428466796875,1.0,157,-157.07716092991177,549.5600914394405,0.2446611887257044,0.23333333333333334
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,CaseB:zorder_morton,15,True,0,0,-56.33038794621825,4469.74433097057,4414.122196030803,60.0,1.0,1.0,373,-442.27214711912285,568.4785520498793,0.055322717674624024,0.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,B1,oracle,15,True,0,0,-244.88595291040838,4469.74433097057,4695.3046979615465,53.0,0.7197265625,1.0,256,-451.15026392081444,378.15652809202714,-0.055234750540896146,-0.11666666666666667
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,B1,15,True,0,0,3170.622079167515,7793.330268934369,4469.74433097057,0.0,6.103515625e-05,0.02471923828125,16,2637.8901923641874,3669.061063515449,2.740964813956904,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:chao_weighted,15,True,0,0,3239.3954349681735,7793.330268934369,4376.492034993134,0.0,6.103515625e-05,0.02471923828125,20,2957.739838294607,3790.2966232881104,3.711964785200401,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:cum_sqrtf,15,True,0,0,3472.5634179776534,7793.330268934369,4260.68408600986,0.0,6.103515625e-05,0.02471923828125,25,2907.0087359686536,3791.610329733812,3.5392706871559585,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:hilbert_real,15,True,0,0,3220.1539300149307,7793.330268934369,4287.63220901601,0.0,6.103515625e-05,0.02471923828125,18,2822.248426920463,3800.3921665398716,3.041965852383516,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:hyperloglog,15,True,0,0,3569.216071162373,7793.330268934369,4345.600008964539,0.0,6.103515625e-05,0.02471923828125,24,3042.582323118501,3873.586529404468,3.9120716446457164,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:ica_fastica,15,True,0,0,3669.99682597816,7793.330268934369,4125.846619019285,0.0,6.103515625e-05,0.02471923828125,21,2796.5632512569814,3962.980411852671,2.7001575371956656,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:lavallee_hidiroglou,15,True,0,0,3446.787771070376,7793.330268934369,4091.9582220958546,0.0,6.103515625e-05,0.02471923828125,26,2897.075807717823,3838.7283995227576,3.2465617571154595,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:mhist2,15,True,0,0,3015.288026886992,7793.330268934369,4181.374880950898,0.0,6.103515625e-05,0.02471923828125,29,2681.7309372575255,3809.376366904083,2.5825624501220683,1.0
