dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,145860,8037,7426.54747849553,1.0821986964026162,385,385,partsupp_deep_wiki_1,1.3125383853912354,2.7791433334350586
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,359095,7881,8187.5527070332255,1.038897691540823,385,385,partsupp_deep_wiki_1,1.258963704109192,2.330082654953003
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,286093,7915,10686.456400742114,1.3501524195504881,385,385,partsupp_deep_wiki_1,1.1250864267349243,2.1552388668060303
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,781121,8014,7987.856299544612,1.003272930743243,385,385,partsupp_deep_wiki_1,1.178353190422058,2.2795467376708984
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,142780,7794,5591.499409681228,1.3939016047297297,385,385,partsupp_deep_wiki_1,1.2204875946044922,2.7598116397857666
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,428790,7940,7361.78107606679,1.0785433467741936,385,385,partsupp_deep_wiki_1,1.208726167678833,2.257038116455078
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,322723,8045,8840.613931523023,1.0988954545087661,385,385,partsupp_deep_wiki_1,1.201585054397583,2.8452041149139404
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,588557,7889,8074.211502782931,1.0234771837727128,385,385,partsupp_deep_wiki_1,1.3140754699707031,2.8811392784118652
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,263638,8219,7588.463484567382,1.083091460704125,385,385,partsupp_deep_wiki_1,1.2552679777145386,3.1491057872772217
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,693614,7966,7027.1546635182995,1.1336024865591399,385,385,partsupp_deep_wiki_1,1.2929290533065796,2.3145997524261475
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,546912,7969,7836.734693877551,1.0168776041666667,385,385,partsupp_deep_wiki_1,1.2068768739700317,3.094848394393921
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,444449,8089,6260.75223477821,1.2920172683189652,385,385,partsupp_deep_wiki_1,1.3171755075454712,2.622706890106201
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,663176,7724,9844.493169168494,1.2745330358840619,385,385,partsupp_deep_wiki_1,1.187335729598999,2.3369600772857666
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,763999,8003,6962.38826108956,1.149461894379845,385,385,partsupp_deep_wiki_1,1.129727840423584,2.7435648441314697
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,782168,7710,7124.30426716141,1.0822109375,385,385,partsupp_deep_wiki_1,1.2275972366333008,2.321883201599121
