table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1458649,1.1585617065429688,572.3234252929688,81998,73253.86842105264,1.119367506009203,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3590985,1.2515356540679932,578.5886840820312,78419,72876.31578947368,1.0760560430433683,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2861019,1.2202587127685547,531.1737060546875,79434,65164.10526315789,1.2189839740638615,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7811320,1.1162461042404175,496.4654235839844,82115,88993.2947368421,1.0837641689927797,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1427886,1.2062091827392578,590.193359375,77500,47117.52631578947,1.644823191280929,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,4288339,1.1372402906417847,552.8969116210938,78390,116774.47368421053,1.4896603353005553,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3227404,1.2433892488479614,569.2608642578125,79293,183465.1842105263,2.313762680318897,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5886013,1.243363618850708,532.3810424804688,80901,84968.68421052632,1.050279776647091,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2636413,1.0980408191680908,541.2767333984375,77978,88641.68421052632,1.1367524713448194,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6936640,1.329702615737915,472.79803466796875,82318,154295.9263157895,1.8743886673120034,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5469472,1.141785740852356,487.6527404785156,77702,147759.3157894737,1.901615348246811,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,4444886,1.1260658502578735,478.550537109375,80178,88993.2947368421,1.1099465531298125,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6631898,1.2197622060775757,434.9550476074219,83542,183524.9605263158,2.1967987422651576,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7640583,1.2964671850204468,513.2020874023438,79974,98831.8552631579,1.2357998257328369,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7822107,1.2597941160202026,474.6644287109375,80684,150576.03421052633,1.8662440410803423,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6733700,1.1525179147720337,595.0745239257812,81716,89553.75,1.095914508786529,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,839131,1.1870739459991455,454.89306640625,79645,35856.84210526316,2.221193929074683,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6952719,1.2008575201034546,458.9126281738281,78947,106438.76842105263,1.348230691743228,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3862714,1.1932599544525146,582.0686645507812,79134,44731.36842105263,1.7690941009252896,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,695062,1.1563990116119385,546.825927734375,81532,76170.52631578948,1.0703877725878221,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6815544,1.2705234289169312,542.8360595703125,78310,63232.92105263158,1.2384371731746995,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6963267,1.2207585573196411,487.38897705078125,78860,77422.52631578947,1.0185666078415911,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3402371,1.2719320058822632,482.260009765625,78971,107898.51315789473,1.3663055192145817,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6909999,1.2934293746948242,556.494140625,79060,25084.526315789473,3.1517437883702684,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6366790,1.275483250617981,505.9660949707031,82611,80407.13947368422,1.0274087666933738,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,481095,1.2758615016937256,509.6593933105469,79159,165043.92631578946,2.0849672976640616,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3528014,1.192535400390625,492.5322265625,77806,176966.17105263157,2.2744540402106725,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5369867,1.248127818107605,488.4177551269531,77241,108189.68947368421,1.4006769652604731,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7520880,1.2978402376174927,550.653076171875,80807,90679.68421052632,1.1221761012106168,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6025740,1.1894699335098267,454.29901123046875,80332,138566.15789473685,1.7249185616533493,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3454116,1.2314070463180542,528.7625122070312,76835,89655.18421052632,1.1668534419278496,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6288378,1.2452954053878784,492.21063232421875,79815,185592.05263157893,2.3252778629528152,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1370862,1.2117983102798462,497.7179870605469,79848,55169.21052631579,1.447329030780899,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2964065,1.2284141778945923,512.8976440429688,78857,44665.59210526316,1.7654976970675353,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7031696,1.2324044704437256,485.07708740234375,78774,57007.850000000006,1.3818096981380632,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,4389879,1.2300347089767456,601.8147583007812,80734,168866.10789473687,2.0916355921264507,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,332506,1.2145559787750244,513.7750854492188,79899,17910.75,4.460952221431263,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7799146,1.2312073707580566,519.1454467773438,79058,80269.63157894737,1.0153258566994785,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3041529,1.1483227014541626,488.72784423828125,79571,132030.12105263158,1.6592743719776248,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,737452,1.2798588275909424,434.2889404296875,80194,90674.47368421053,1.130689000227081,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5167757,1.252101182937622,513.8399658203125,81537,108161.04210526316,1.3265271239469585,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1813464,1.2436870336532593,476.1165771484375,78991,46878.0,1.6850334911898972,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6207689,1.1708049774169922,599.5791625976562,80740,118674.85789473684,1.4698397064000104,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7385883,1.1777342557907104,450.46942138671875,80429,68819.73684210527,1.168690897271667,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1110231,1.2301665544509888,546.38427734375,78307,91689.94736842105,1.1709035893141233,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,4260736,1.2347526550292969,567.0369262695312,79280,42995.27631578947,1.8439234909832507,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7241835,1.2067705392837524,531.5641479492188,79963,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5886526,1.0852018594741821,548.0302734375,80481,88132.0,1.095065916178974,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7903428,1.1325520277023315,483.0943908691406,80402,123988.84210526316,1.5421114164481375,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2010126,1.1659375429153442,469.8636779785156,78819,54102.347368421055,1.4568499119505078,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,64433,1.2458291053771973,515.2754516601562,80315,25084.526315789473,3.201774631456591,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6427842,1.127610683441162,518.9891967773438,80597,77869.36842105263,1.0350282997570832,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1934109,1.1786408424377441,476.6014099121094,80308,118244.63157894736,1.4723891963309679,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2037726,1.253166913986206,593.3135986328125,78032,72060.47368421053,1.082868263424945,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,944719,1.0694438219070435,531.5699462890625,78844,10772.315789473685,7.319131887782522,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5909334,1.2997132539749146,477.7635498046875,78622,107621.3447368421,1.3688451672158188,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7834709,1.269679069519043,541.9563598632812,80309,11588.5,6.930059973249342,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7376316,1.1346229314804077,478.3782043457031,80487,110497.68421052632,1.3728637445864091,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5165847,1.2349876165390015,512.4940795898438,79564,159044.13157894736,1.9989458998912493,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1376518,1.1538054943084717,573.1790161132812,80834,104459.73684210527,1.2922747462961781,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,378067,1.1999801397323608,473.1714172363281,81406,54957.45,1.4812550436746974,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2548244,1.2704721689224243,543.5182495117188,78194,156142.31578947368,1.9968580171045565,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,6059356,1.0709707736968994,486.2569274902344,79555,75079.67368421053,1.0596076953479174,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,2093515,1.2240983247756958,503.2249755859375,79778,64118.0,1.2442371876852054,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7666555,1.2897976636886597,471.37298583984375,82559,128961.5552631579,1.5620532620690404,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,4888112,1.1825072765350342,454.7341003417969,78772,54102.347368421055,1.4559811880912648,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,3745676,1.1852964162826538,509.7596740722656,76591,77748.65789473684,1.0151148032371538,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1117872,1.280386209487915,492.3041687011719,78707,107675.94736842104,1.368060621906832,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1782015,1.308508276939392,498.5712585449219,78758,112527.50263157896,1.4287755228875665,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,5399003,1.1544610261917114,484.9765930175781,81376,58716.37368421053,1.3859166514209118,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7813502,1.2021015882492065,481.955078125,79785,72118.45,1.1063049746632103,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,7712554,1.1845875978469849,521.2858276367188,76330,54349.94736842105,1.4044171833798318,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,1407909,1.2321441173553467,459.9862060546875,81029,148839.81578947368,1.8368709448404112,HDBSCAN,P1_Cluster
partsupp_deep_sift_10,partsupp_deep_sift_10,hdbscan,0.01,0.1,25058,1.2523014545440674,463.5052490234375,80164,41136.97631578948,1.9487090977377184,HDBSCAN,P1_Cluster
