cell,n,better%,mean,median
A5-scale-sf1-SIFT,48,100.0,-25.84501046943434,-25.945003925521604
A6-WIKI-sf1,48,100.0,-10.950959891092863,-11.26715306727947
A5-scale-sf10-SIFT,48,91.66666666666666,-9.117218190965813,-10.120468444124223
A7-YFCC-sf1,48,93.75,-8.47472426092716,-9.03563008413172
A1-SIFT,96,91.66666666666666,-7.666426324325999,-8.75832148800535
A11-DEEP+YFCC-concat-sf10,48,95.83333333333334,-7.419398807923373,-6.099958669452803
A10-DEEP+WIKI-concat-sf1,48,97.91666666666666,-7.364639049819361,-8.247737933081428
A1-DEEP,52,100.0,-7.013065066563192,-7.899947679671174
A5-scale-sf100,52,100.0,-6.997310833591229,-7.899947679671174
A11-DEEP+YFCC-concat-sf1,48,100.0,-6.642463648926668,-6.46765330336555
A2-Fig7,52,94.23076923076923,-6.608196003580831,-7.662395331173844
A5-scale-sf1,52,94.23076923076923,-6.590248004896443,-5.388461026174298
A5-scale-sf1-SSN,48,97.91666666666666,-6.287160566890762,-4.192953941897606
A9-DEEP+SIFT-concat-sf1,48,89.58333333333334,-6.050790401059801,-6.4385021373401425
A9-DEEP+SIFT-concat-sf100,48,95.83333333333334,-5.598844837352071,-4.630306922061557
A6-WIKI-sf10,48,87.5,-5.533572044594528,-7.8320649140569625
A9-DEEP+SIFT-concat-sf10,48,91.66666666666666,-5.039483239032372,-5.093326025591152
A1-SSN,96,93.75,-4.890979131857756,-4.551302326767384
A8-DEEP+SIFT-sf10,48,83.33333333333334,-3.5637269695689113,-4.570436176839424
A5-scale-sf10-SSN,48,91.66666666666666,-3.5350675109863663,-4.164189530808004
A5-scale-sf10,52,82.6923076923077,-3.518243601701234,-4.534551266351415
A2-Fig9,52,82.6923076923077,-3.451410246024307,-4.534551266351415
A4-sel,16,37.5,3.0210315881653576,4.25386300829194
A10-DEEP+WIKI-concat-sf10,48,81.25,11.22370183122071,-4.6317640603239845
