cell,method,n_paired_total,mean_delta_pct,median_delta_pct,std_delta_pct
DEEP_sf1,HDBSCAN,2500,1.447535002288192,-1.455039062499985,32.654923930166824
DEEP_sf1,MB_partial,2500,1.9259934853775826,-1.4232676225343754,34.45241327264439
DEEP_sf1,Hilbert,2500,1.8758084044261631,-0.8803296148529377,29.805170947619285
DEEP_sf1,sparse_rp,2500,2.51619761158739,-0.8065843492689252,31.73208523652786
DEEP_sf1,Adaptive,2500,2.5717108531482586,-0.2590673575129448,30.53792011286687
DEEP_sf10,HDBSCAN,2500,0.18053542562100916,-1.431727476242683,27.01108725943404
DEEP_sf10,MB_partial,2500,1.5258381919896296,-1.3866993743989176,31.659018154684286
DEEP_sf10,Hilbert,2500,1.9931630363078559,-1.2378453200522168,32.87894859424643
DEEP_sf10,sparse_rp,2500,1.8902177357457162,-0.6262218420091534,29.928397794649676
DEEP_sf10,Adaptive,2500,1.9159436729609132,-0.5194805194805091,30.277238531845814
SIFT_sf1,HDBSCAN,2500,-22.795823391185415,-27.752157906460813,34.09466464848057
SIFT_sf1,MB_partial,2500,-20.922853370648113,-27.461693238365314,38.57335635513546
SIFT_sf1,Hilbert,2500,-23.02948844407525,-27.669318866667865,31.18482079885589
SIFT_sf1,sparse_rp,2500,-21.20760078997923,-26.843846387820356,35.09088871805561
SIFT_sf1,Adaptive,2500,-20.87054617473181,-26.76589717324073,34.94035205208764
SIFT_sf10,HDBSCAN,2500,-5.168401686977091,-9.841651960256566,36.59291583968707
SIFT_sf10,MB_partial,2500,-4.726415527476659,-10.062704539955106,37.06021176053028
SIFT_sf10,Hilbert,2500,-6.1132651522575,-9.980598574259947,32.10059101580078
SIFT_sf10,sparse_rp,2500,-4.301316070878116,-8.509912647775318,31.68404381108957
SIFT_sf10,Adaptive,2500,-3.5717294304311484,-7.950210519644627,33.48041975949936
SSN_sf1,HDBSCAN,2500,4.114613370430198,0.049365229907598035,35.019200825826054
SSN_sf1,MB_partial,2500,4.747609045712906,-0.3167730561804697,39.575016168552786
SSN_sf1,Hilbert,2500,3.6005993750147542,-0.12349576082205846,32.25204227336529
SSN_sf1,sparse_rp,2500,3.8310367021648175,-0.04082894736842561,32.2823974699066
SSN_sf1,Adaptive,2500,2.980425296065997,0.0,29.86552850410289
SSN_sf10,HDBSCAN,2500,3.2475854136256177,0.11118079993004468,29.865028441564405
SSN_sf10,MB_partial,2500,3.4652716696536094,-0.16335416785960122,31.570392851686815
SSN_sf10,Hilbert,2500,4.120197388248392,0.21779046383189546,31.392675707898977
SSN_sf10,sparse_rp,2500,3.3619719861762403,0.0801530093855258,28.91240534763189
SSN_sf10,Adaptive,2500,4.893845783762539,0.0,34.63803692886878
WIKI_sf1,HDBSCAN,2500,-4.097637109292205,-7.131570311053669,33.01786339825378
WIKI_sf1,MB_partial,2500,-4.30183775163863,-6.735207378958008,35.95903847320301
WIKI_sf1,Hilbert,2500,-4.277376531530289,-7.074589335522928,33.14710475477423
WIKI_sf1,sparse_rp,2500,-2.8932326887273896,-6.213992075468928,34.545479306469254
WIKI_sf1,Adaptive,2500,-4.257785071542416,-6.49664094667269,31.938536557288504
WIKI_sf10,HDBSCAN,2500,1.42312641702387,-1.5477119404438713,36.30104962040887
WIKI_sf10,MB_partial,2500,314.6355361152931,-0.8385311600765836,15465.999958292636
WIKI_sf10,Hilbert,2500,0.46774367512525244,-1.5906671502613705,30.323772748988148
WIKI_sf10,sparse_rp,2500,1.6036446597882477,-1.2171981887335424,32.60121446395305
WIKI_sf10,Adaptive,2500,1.890651660608373,-0.7792207792207745,32.11486440871171
YFCC_sf1,HDBSCAN,2500,-2.9155304077696176,-5.257488025640925,31.887464077438004
YFCC_sf1,MB_partial,2500,-2.6664244232747802,-5.030845019413503,30.942752810889225
YFCC_sf1,Hilbert,2500,-3.576850460175278,-5.083439795778489,25.83704522049395
YFCC_sf1,sparse_rp,2500,-0.931463623441204,-3.607048739563795,31.478422192844366
YFCC_sf1,Adaptive,2500,-2.14629330646252,-4.264577893820698,29.057108302239254
YFCC_sf10,HDBSCAN,2500,-1.4056364840466637,-3.6566994969417586,32.741689944722836
YFCC_sf10,MB_partial,2500,-0.7378890796987618,-3.6276407696852244,37.327903295666054
YFCC_sf10,Hilbert,2500,-1.8338693096516157,-3.3635567594764813,29.157397688677285
YFCC_sf10,sparse_rp,2500,-0.796514601352253,-2.3613051887873744,32.12258243660753
YFCC_sf10,Adaptive,2500,-0.8069115735861219,-2.478051974520586,31.26034755807678
