cell,method,selectivity,n_paired,mean_delta_pct,wilcoxon_stat,wilcoxon_p,significant_05
DEEP_sf1,HDBSCAN,0.01,500,12.563246924448293,,,False
DEEP_sf1,HDBSCAN,0.05,500,-0.9057684913054238,51619.0,0.0006616954528034039,True
DEEP_sf1,HDBSCAN,0.1,500,-2.2305256607045685,44780.0,3.3747790003700824e-08,True
DEEP_sf1,HDBSCAN,0.3,500,-1.2938008971444073,47886.0,5.1184594750201355e-06,True
DEEP_sf1,HDBSCAN,0.5,500,-0.5175426584994884,52765.0,0.0022851090278394165,True
DEEP_sf1,MB_partial,0.01,500,16.24741605235663,,,False
DEEP_sf1,MB_partial,0.05,500,-1.2074941535285237,51158.0,0.0003887595478916969,True
DEEP_sf1,MB_partial,0.1,500,-1.7190443334648449,48463.0,1.1793880551888895e-05,True
DEEP_sf1,MB_partial,0.3,500,-2.041505372419426,38077.0,3.0891451605303624e-14,True
DEEP_sf1,MB_partial,0.5,500,-0.8760479474390538,48878.0,2.109507973538987e-05,True
DEEP_sf1,Hilbert,0.01,500,13.68761939205514,,,False
DEEP_sf1,Hilbert,0.05,500,-0.6108369203819686,54460.0,0.01153550422668628,True
DEEP_sf1,Hilbert,0.1,500,-0.76920697736495,54114.0,0.008461252156406454,True
DEEP_sf1,Hilbert,0.3,500,-1.753026135793039,41771.0,1.1060321232540226e-10,True
DEEP_sf1,Hilbert,0.5,500,-0.7739057628049804,49688.0,6.27085350111629e-05,True
DEEP_sf1,sparse_rp,0.01,500,15.602666517081332,,,False
DEEP_sf1,sparse_rp,0.05,500,-0.7617046685897918,52697.0,0.002130065197329839,True
DEEP_sf1,sparse_rp,0.1,500,-0.5566471928832363,53677.0,0.005635227109047558,True
DEEP_sf1,sparse_rp,0.3,500,-0.7796623617229311,51748.0,0.0007652479503983574,True
DEEP_sf1,sparse_rp,0.5,500,-0.45255135535064117,55066.0,0.01935806487412502,True
DEEP_sf1,Adaptive,0.01,500,14.32261146056129,,,False
DEEP_sf1,Adaptive,0.05,500,0.4429437903745734,52572.0,0.14140758579767326,False
DEEP_sf1,Adaptive,0.1,500,0.09822751390272444,56260.5,0.1889245355027478,False
DEEP_sf1,Adaptive,0.3,500,-1.1197977355618502,44581.0,6.909034148193413e-07,True
DEEP_sf1,Adaptive,0.5,500,-0.4153947392389229,52509.0,0.014859174883005612,True
DEEP_sf10,HDBSCAN,0.01,500,7.555190301592016,,,False
