method_canon,qerr_single_all,qerr_multi_all,n_multi_all,ratio,paradigm,rank_single,rank_multi,rank_ratio,top_single,robust,top_tier
Hilbert,1.2128012907822676,1.2088124840292451,14932,0.9967110797264656,P2_Spatial,7,1,1,False,True,False
sparse_rp,1.2194303327822118,1.2207968434714964,14937,1.0011206139888016,P4_Dim,9,3,2,False,True,False
PCA1D,1.2136190022517725,1.2163477453643976,14936,1.0022484347291547,P4_Dim,8,2,3,False,True,False
HDBSCAN,1.2021966113638485,1.2262445597945497,14937,1.0200033407209654,P1_Cluster,4,4,4,True,True,True
faiss_ivf,1.2032527625506892,1.2339020200213144,14938,1.0254720025787882,P2_Spatial,5,6,5,True,True,True
MiniBatch,1.2005508647782785,1.2313154758145886,14938,1.0256254124159843,P1_Cluster,2,5,6,True,True,True
MB_partial,1.2008608151474878,1.2371445592821184,14930,1.0302147789959941,P3_Stream,3,7,7,True,True,True
LSH,1.2204739815064536,1.2716835047196586,14935,1.041958717669668,P5_QR,10,9,8,False,True,False
GMM,1.2003599269451275,1.2581342958388466,14952,1.0481308710802708,P1_Cluster,1,8,9,True,True,True
Reservoir,1.212735186612161,1.3904429020813083,14854,1.1465346412233515,P3_Stream,6,10,10,False,True,False
Sobol,4.752426473817833,16.496500125241145,14861,3.4711741919888732,P5_QR,11,11,11,False,False,False
