method_canon,selectivity,qerr_single,n,qerr_multi,n_multi,ratio,paradigm
GMM,0.01,1.6068912001287197,4919.0,1.8195687440786643,2952,1.1323534187833677,P1_Cluster
GMM,0.05,1.1915814151286763,5000.0,1.2228524881875356,3000,1.0262433373513822,P1_Cluster
GMM,0.1,1.1210461521882271,5000.0,1.145509252472289,3000,1.021821670977873,P1_Cluster
GMM,0.3,1.0539686544937958,5000.0,1.0674701354786729,3000,1.0128101352230077,P1_Cluster
GMM,0.5,1.0348980194117927,5000.0,1.044253810148909,3000,1.0090403020989775,P1_Cluster
HDBSCAN,0.01,1.6273445522899193,4919.0,1.688256297518853,2937,1.0374301466417926,P1_Cluster
HDBSCAN,0.05,1.182633143468071,5000.0,1.2124427614238518,3000,1.025206141160871,P1_Cluster
HDBSCAN,0.1,1.1176068380329112,5000.0,1.1383962827635918,3000,1.0186017515491155,P1_Cluster
HDBSCAN,0.3,1.055071605604492,5000.0,1.0612211216415388,3000,1.0058285295560803,P1_Cluster
HDBSCAN,0.5,1.0352143140668508,5000.0,1.0406085821171231,3000,1.0052107742106857,P1_Cluster
Hilbert,0.01,1.6561116265058247,4912.0,1.629545941096548,2932,0.9839590007194583,P2_Spatial
Hilbert,0.05,1.1995310592667472,5000.0,1.201078183687069,3000,1.001289774373385,P2_Spatial
Hilbert,0.1,1.1240257489547705,5000.0,1.1249973662463566,3000,1.0008644083932148,P2_Spatial
Hilbert,0.3,1.0563954741398247,5000.0,1.0597867696628809,3000,1.003210251847981,P2_Spatial
Hilbert,0.5,1.0357448069529056,5000.0,1.0381907844802296,3000,1.002361563882246,P2_Spatial
LSH,0.01,1.662698255917233,4900.0,1.8496420895413814,2935,1.11243401077667,P5_QR
LSH,0.05,1.2068948598427107,5000.0,1.2477548124820028,3000,1.0338554367897608,P5_QR
LSH,0.1,1.133284826015572,5000.0,1.155775106987957,3000,1.01984521495047,P5_QR
LSH,0.3,1.0654596157523666,5000.0,1.071820568851194,3000,1.005970149412313,P5_QR
LSH,0.5,1.0428768354926015,5000.0,1.0459473817402283,3000,1.0029443038172159,P5_QR
MB_partial,0.01,1.6099669650113069,4899.0,1.7396291501672336,2930,1.0805371712425267,P3_Stream
MB_partial,0.05,1.191246361971285,5000.0,1.2180139857060395,3000,1.0224702669315684,P3_Stream
MB_partial,0.1,1.1193207057826664,5000.0,1.1351838731214499,3000,1.0141721378482778,P3_Stream
MB_partial,0.3,1.055554825453361,5000.0,1.062919941290135,3000,1.00697748298731,P3_Stream
MB_partial,0.5,1.0364791617460691,5000.0,1.0417004865797204,3000,1.0050375589074607,P3_Stream
MiniBatch,0.01,1.6178639512638027,4901.0,1.7011969141305305,2938,1.0515080163580084,P1_Cluster
MiniBatch,0.05,1.1886983106344369,5000.0,1.218463454013195,3000,1.0250401158245708,P1_Cluster
MiniBatch,0.1,1.1155031037067373,5000.0,1.1397795795886603,3000,1.0217628044254239,P1_Cluster
MiniBatch,0.3,1.0539095361590745,5000.0,1.0646031465168428,3000,1.0101466112516078,P1_Cluster
MiniBatch,0.5,1.0350422212397545,5000.0,1.0422451678822433,3000,1.0069590848514964,P1_Cluster
PCA1D,0.01,1.6474290748562048,4913.0,1.6474456991209387,2936,1.0000100910351697,P4_Dim
PCA1D,0.05,1.203029296186774,5000.0,1.207817158441475,3000,1.0039798384543728,P4_Dim
PCA1D,0.1,1.1280971307028473,5000.0,1.1317636676922094,3000,1.0032501961839737,P4_Dim
PCA1D,0.3,1.0591942255167948,5000.0,1.0634632851050223,3000,1.0040304785330043,P4_Dim
PCA1D,0.5,1.0378935792595592,5000.0,1.0404456728091487,3000,1.002458916405871,P4_Dim
Reservoir,0.01,1.6460270494995557,4906.0,2.3669523300853395,2854,1.437978999679846,P3_Stream
Reservoir,0.05,1.2038754972883663,5000.0,1.3051727164262426,3000,1.0841426039204554,P3_Stream
Reservoir,0.1,1.1269598091975668,5000.0,1.1844153244732833,3000,1.050982754492928,P3_Stream
Reservoir,0.3,1.0577755001823788,5000.0,1.0877465148863739,3000,1.028334003480727,P3_Stream
Reservoir,0.5,1.0371839639152205,5000.0,1.0554510833648318,3000,1.0176122270350725,P3_Stream
Sobol,0.01,19.68283429101593,4888.0,80.80819391530324,2861,4.105516142671966,P5_QR
Sobol,0.05,1.1971916344771905,5000.0,1.3172516924239834,3000,1.100284745139589,P5_QR
Sobol,0.1,1.1241428901098067,5000.0,1.1927057476750935,3000,1.0609912300015432,P5_QR
Sobol,0.3,1.0569280104742467,5000.0,1.0880671424445436,3000,1.0294619232925095,P5_QR
Sobol,0.5,1.0354766781172213,5000.0,1.0560572739650858,3000,1.0198754798469103,P5_QR
faiss_ivf,0.01,1.627242529635034,4907.0,1.717178938571642,2938,1.055269209904918,P2_Spatial
faiss_ivf,0.05,1.1881900273286479,5000.0,1.2176836888487812,3000,1.0248223439363842,P2_Spatial
faiss_ivf,0.1,1.1186215672700244,5000.0,1.1369017315226961,3000,1.0163416876516016,P2_Spatial
faiss_ivf,0.3,1.0549735309538442,5000.0,1.0652524459347532,3000,1.0097432918261138,P2_Spatial
faiss_ivf,0.5,1.035122367233664,5000.0,1.0424810182120732,3000,1.0071089672210205,P2_Spatial
sparse_rp,0.01,1.6516419334364953,4910.0,1.650716836509174,2937,0.9994398925647301,P4_Dim
sparse_rp,0.05,1.2095189283512755,5000.0,1.2177168440336175,3000,1.0067778316570182,P4_Dim
sparse_rp,0.1,1.1355137256289467,5000.0,1.1366128748736966,3000,1.0009679753048701,P4_Dim
sparse_rp,0.3,1.0661570412825354,5000.0,1.0654836628652768,3000,0.9993684059747441,P4_Dim
sparse_rp,0.5,1.0420998440235822,5000.0,1.042482318929509,3000,1.000367023282961,P4_Dim
