ps_partkey,stratum_id
1,8
2,5
3,3
4,3
5,8
6,9
7,5
8,14
9,1
10,4
11,1
12,12
13,15
14,5
15,7
16,16
17,16
18,8
19,6
20,10
21,10
22,4
23,18
24,16
25,14
26,3
27,10
28,5
29,3
30,0
31,4
32,17
33,8
34,3
35,1
36,7
37,1
38,5
39,15
40,7
41,15
42,14
43,16
44,16
45,18
46,15
47,1
48,1
49,2
50,16
51,12
52,16
53,3
54,15
55,19
56,5
57,6
58,13
59,4
60,1
61,7
62,9
63,5
64,16
65,3
66,12
67,3
68,3
69,14
70,9
71,14
72,9
73,19
74,17
75,1
76,11
77,11
78,12
79,14
80,15
81,18
82,15
83,18
84,1
85,1
86,15
87,8
88,7
89,19
90,18
91,8
92,7
93,9
94,9
95,17
96,4
97,4
98,7
99,8
100,5
101,3
102,5
103,8
104,6
105,6
106,15
107,2
108,0
109,16
110,11
111,11
112,5
113,7
114,15
115,17
116,3
117,14
118,7
119,12
120,16
121,3
122,6
123,4
124,10
125,15
126,0
127,19
128,6
129,9
130,14
131,15
132,19
133,2
134,8
135,17
136,2
137,18
138,17
139,11
140,5
141,6
142,13
143,1
144,15
145,17
146,16
147,7
148,10
149,9
150,3
151,16
152,7
153,0
154,13
155,13
156,14
157,5
158,7
159,4
160,16
161,7
162,7
163,15
164,16
165,1
166,9
167,16
168,3
169,18
170,10
171,16
172,5
173,4
174,0
175,15
176,3
177,2
178,6
179,4
180,14
181,10
182,3
183,4
184,8
185,2
186,2
187,8
188,6
189,15
190,19
191,14
192,14
193,3
194,18
195,8
196,17
197,8
198,18
199,0
200,14
201,14
202,14
203,16
204,7
205,2
206,4
207,18
208,15
209,7
210,19
211,9
212,3
213,16
214,15
215,8
216,15
217,19
218,5
219,5
220,16
221,1
222,3
223,2
224,5
225,2
226,7
227,11
228,4
229,0
230,5
231,12
232,11
233,17
234,11
235,14
236,12
237,16
238,15
239,16
240,6
241,0
242,6
243,8
244,17
245,11
246,3
247,8
248,11
249,3
250,9
251,14
252,7
253,6
254,14
255,3
256,15
257,6
258,14
259,4
260,10
261,3
262,17
263,11
264,4
265,15
266,18
267,12
268,2
269,13
270,0
271,14
272,0
273,15
274,10
275,0
276,7
277,15
278,5
279,9
280,9
281,5
282,3
283,7
284,10
285,10
286,17
287,7
288,14
289,13
290,9
291,14
292,15
293,18
294,19
295,13
296,1
297,12
298,14
299,10
300,19
301,9
302,5
303,3
304,8
305,2
306,5
307,8
308,6
309,18
310,15
311,14
312,4
313,6
314,4
315,4
316,19
317,3
318,6
319,13
320,1
321,19
322,15
323,17
324,8
325,8
326,5
327,15
328,16
329,2
330,3
331,6
332,9
333,16
334,5
335,3
336,8
337,7
338,8
339,7
340,6
341,4
342,5
343,15
344,5
345,15
346,11
347,7
348,7
349,16
350,9
351,0
352,8
353,3
354,2
355,18
356,3
357,0
358,9
359,7
360,14
361,0
362,15
363,2
364,14
365,2
366,11
367,1
368,16
369,14
370,5
371,18
372,10
373,7
374,1
375,6
376,15
377,5
378,16
379,5
380,10
381,11
382,2
383,14
384,3
385,2
386,7
387,8
388,4
389,0
390,7
391,17
392,16
393,8
394,2
395,7
396,9
397,1
398,3
399,19
400,6
401,19
402,18
403,9
404,18
405,7
406,4
407,13
408,18
409,17
410,16
411,2
412,6
413,7
414,6
415,19
416,8
417,3
418,10
419,7
420,14
421,8
422,11
423,10
424,19
425,0
426,13
427,13
428,6
429,13
430,14
431,6
432,18
433,15
434,1
435,5
436,11
437,5
438,14
439,18
440,16
441,11
442,6
443,12
444,0
445,3
446,4
447,8
448,10
449,9
450,11
451,18
452,10
453,14
454,8
455,9
456,7
457,4
458,17
459,1
460,0
461,11
462,2
463,18
464,6
465,8
466,5
467,6
468,3
469,16
470,1
471,3
472,7
473,3
474,3
475,10
476,17
477,15
478,5
479,18
480,5
481,10
482,6
483,13
484,5
485,8
486,17
487,15
488,11
489,16
490,16
491,6
492,16
493,15
494,13
495,1
496,15
497,16
498,18
499,14
500,7
501,11
502,2
503,0
504,6
505,16
506,10
507,11
508,16
509,19
510,0
511,12
512,17
513,7
514,1
515,0
516,10
517,4
518,10
519,7
520,18
521,0
522,12
523,11
524,16
525,13
526,5
527,14
528,0
529,17
530,19
531,6
532,16
533,0
534,15
535,14
536,6
537,3
538,15
539,3
540,8
541,0
542,13
543,2
544,13
545,11
546,5
547,15
548,16
549,13
550,14
551,11
552,19
553,9
554,12
555,0
556,14
557,7
558,16
559,0
560,2
561,5
562,2
563,3
564,15
565,14
566,18
567,10
568,14
569,1
570,15
571,5
572,6
573,8
574,15
575,9
576,10
577,16
578,13
579,5
580,14
581,11
582,4
583,1
584,6
