c_custkey,stratum_id
1,14
2,12
3,14
4,9
5,6
6,6
7,16
8,16
9,6
10,2
11,10
10001,14
10002,12
10003,3
10004,15
10005,15
10006,15
80001,1
10007,15
80002,5
20001,7
80003,0
10008,10
10009,1
10010,1
10011,15
10012,12
10013,18
10014,1
10015,18
10016,10
10017,3
10018,17
20002,16
20003,1
20004,19
20005,16
20006,7
20007,18
20008,16
20009,12
20010,18
20011,4
20012,4
80004,15
50001,3
40001,15
80005,17
90001,3
40002,6
60001,17
90002,18
60002,5
60003,9
60004,1
12,6
130001,14
13,3
14,3
15,10
130002,18
16,3
17,3
130003,3
18,3
130004,7
50002,3
50003,1
50004,10
50005,1
50006,7
50007,16
50008,5
50009,19
50010,18
50011,1
50012,19
90003,15
90004,11
90005,9
90006,4
90007,18
90008,18
90009,10
90010,3
90011,1
90012,18
90013,18
40003,15
40004,1
40005,1
40006,1
40007,17
40008,1
40009,15
40010,0
40011,3
40012,17
40013,1
80006,17
160001,16
160002,16
160003,0
80007,1
80008,18
80009,18
80010,18
160004,4
80011,4
80012,5
60005,10
110001,18
140001,19
110002,2
30001,3
100001,13
110003,8
30002,3
100002,13
60006,3
140002,15
120001,17
120002,13
120003,13
120004,1
120005,11
120006,19
120007,11
120008,14
120009,11
120010,12
120011,4
30003,1
30004,7
30005,15
30006,15
30007,3
30008,5
30009,17
30010,17
30011,18
30012,9
30013,10
60007,1
60008,3
60009,1
60010,3
60011,9
60012,9
60013,5
60014,8
60015,11
60016,18
60017,1
100003,0
100004,15
100005,16
100006,6
100007,2
100008,1
100009,3
100010,3
100011,15
100012,15
100013,3
140003,4
140004,9
140005,9
140006,9
140007,9
140008,15
140009,15
140010,3
140011,16
140012,19
140013,11
110004,2
170001,1
180001,5
150001,11
170002,17
70001,1
110005,6
180002,2
170003,2
150002,10
70002,4
130005,18
230001,19
230002,19
130006,1
230003,17
130007,19
230004,9
230005,3
130008,1
130009,18
130010,9
80013,15
80014,14
80015,13
80016,13
80017,11
80018,1
80019,1
80020,10
80021,7
80022,14
80023,7
20013,18
20014,3
20015,9
20016,18
20017,2
20018,8
20019,14
20020,16
20021,6
20022,2
20023,2
160005,0
160006,16
160007,4
160008,5
160009,15
