dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,1458649,81998,71243.04267161411,1.1509615104166666,385,385,partsupp_deep_sift_10,1.1585617065429688,572.3234252929688
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,3590985,78419,102115.02782931353,1.3021720224602906,385,385,partsupp_deep_sift_10,1.2515356540679932,578.5886840820312
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,2861019,79434,64226.68240850059,1.2367756985294118,385,385,partsupp_deep_sift_10,1.2202587127685547,531.1737060546875
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7811320,82115,58721.53820205769,1.3983795812270219,385,385,partsupp_deep_sift_10,1.1162461042404175,496.4654235839844
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,1427886,77500,71027.15466351829,1.091131981382979,385,385,partsupp_deep_sift_10,1.2062091827392578,590.193359375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,4288339,78390,77072.0188902007,1.017100643382353,385,385,partsupp_deep_sift_10,1.1372402906417847,552.8969116210938
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,3227404,79293,96393.99561477485,1.2156684148004848,385,385,partsupp_deep_sift_10,1.2433892488479614,569.2608642578125
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,5886013,80901,73024.11873840445,1.1078668445121953,385,385,partsupp_deep_sift_10,1.243363618850708,532.3810424804688
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,2636413,77978,64118.73840445269,1.2161499421296296,385,385,partsupp_deep_sift_10,1.0980408191680908,541.2767333984375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6936640,82318,62175.74633159049,1.323956765407986,385,385,partsupp_deep_sift_10,1.329702615737915,472.79803466796875
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,5469472,77702,132123.46095462976,1.7003868749147997,385,385,partsupp_deep_sift_10,1.141785740852356,487.6527404785156
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,4444886,80178,69893.74262101536,1.1471413175675673,385,385,partsupp_deep_sift_10,1.1260658502578735,478.550537109375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6631898,83542,116039.80435149265,1.3889995972264568,385,385,partsupp_deep_sift_10,1.2197622060775757,434.9550476074219
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7640583,79974,68868.2745825603,1.1612603987068963,385,385,partsupp_deep_sift_10,1.2964671850204468,513.2020874023438
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7822107,80684,111074.38016528924,1.3766593149235196,385,385,partsupp_deep_sift_10,1.2597941160202026,474.6644287109375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6733700,81716,97473.43565525384,1.1928317056054363,385,385,partsupp_deep_sift_10,1.1525179147720337,595.0745239257812
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,839131,79645,92292.12346095464,1.1587936902624727,385,385,partsupp_deep_sift_10,1.1870739459991455,454.89306640625
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6952719,78947,104435.82391634339,1.3228599429534167,385,385,partsupp_deep_sift_10,1.2008575201034546,458.9126281738281
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,3862714,79134,93263.61949738572,1.1785530808171674,385,385,partsupp_deep_sift_10,1.1932599544525146,582.0686645507812
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,695062,81532,69731.82661494351,1.1692222039473683,385,385,partsupp_deep_sift_10,1.1563990116119385,546.825927734375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6815544,78310,78367.3469387755,1.0007323067140277,385,385,partsupp_deep_sift_10,1.2705234289169312,542.8360595703125
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6963267,78860,81929.49907235622,1.0389233968089808,385,385,partsupp_deep_sift_10,1.2207585573196411,487.38897705078125
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,3402371,78971,97149.60364311014,1.2301934082525248,385,385,partsupp_deep_sift_10,1.2719320058822632,482.260009765625
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6909999,79060,61204.25029515938,1.2917403549382718,385,385,partsupp_deep_sift_10,1.2934293746948242,556.494140625
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6366790,82611,86894.92325855962,1.0518565718676642,385,385,partsupp_deep_sift_10,1.275483250617981,505.9660949707031
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,481095,79159,53432.28200371057,1.4814826736111113,385,385,partsupp_deep_sift_10,1.2758615016937256,509.6593933105469
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,3528014,77806,57911.95817169843,1.3435221749767008,385,385,partsupp_deep_sift_10,1.192535400390625,492.5322265625
