table_pair,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,145860,2406.5029296875,2.7791433334350586,8029,8352.531100478469,1.0402953170355547,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,359095,2409.85888671875,2.330082654953003,7691,6196.475972540045,1.2411893524776023,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,286093,2405.38134765625,2.1552388668060303,8250,6219.4702380952385,1.326479536708359,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,781121,2411.259765625,2.2795467376708984,8070,4167.87969924812,1.9362363077455946,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,142780,2410.8984375,2.7598116397857666,7932,6181.994047619048,1.2830811448378787,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,428790,2401.93359375,2.257038116455078,7824,10314.63015245624,1.3183320747004397,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,322723,2406.197509765625,2.8452041149139404,7874,10335.6691134952,1.3126326026790958,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,588557,2407.028076171875,2.8811392784118652,7919,4240.799342105263,1.8673366413202575,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,263638,2416.187744140625,3.1491057872772217,8018,8378.260869565218,1.0449315127918706,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,693614,2417.404296875,2.3145997524261475,7913,4167.87969924812,1.898567274249181,385,385
