table,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,145860,1.3125383853912354,2.7791433334350586,8037,10310.18981018981,1.2828405885516747,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,359095,1.258963704109192,2.330082654953003,7881,2043.25,3.857090419674538,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,286093,1.1250864267349243,2.1552388668060303,7915,4154.6,1.9051172194675778,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,781121,1.178353190422058,2.2795467376708984,8014,2092.608695652174,3.8296696447122374,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,142780,1.2204875946044922,2.7598116397857666,7794,8220.254562594268,1.054690090145531,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,428790,1.208726167678833,2.257038116455078,7940,6214.083216783217,1.2777427857025419,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,322723,1.201585054397583,2.8452041149139404,8045,10552.59946524064,1.3116966395575687,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,588557,1.3140754699707031,2.8811392784118652,7889,8207.600395927602,1.040385396872557,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,263638,1.2552679777145386,3.1491057872772217,8219,4123.465838509317,1.9932261650483973,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,693614,1.2929290533065796,2.3145997524261475,7966,12505.383485568142,1.5698447759939922,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,546912,1.2068768739700317,3.094848394393921,7969,10275.354166666666,1.289415756891287,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,444449,1.3171755075454712,2.622706890106201,8089,12409.946930946291,1.534175662127122,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,663176,1.187335729598999,2.3369600772857666,7724,6112.630952380952,1.263613010530498,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,763999,1.129727840423584,2.7435648441314697,8003,14416.407142857142,1.8013753770907337,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,782168,1.2275972366333008,2.321883201599121,7710,4143.40036231884,1.860790492301141,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,673362,1.3074264526367188,2.6439919471740723,8112,6229.391912435391,1.302213781702587,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,83904,1.286946177482605,2.928945541381836,8151,6304.94884910486,1.2927939932704184,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,695261,1.3076568841934204,2.5670652389526367,8055,2067.470588235294,3.8960650980169005,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,386245,1.115124225616455,2.7859504222869873,8410,6273.48,1.340563770028756,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,69504,1.3274890184402466,3.0938942432403564,8102,18771.35654061625,2.3168793557906997,385,385
partsupp_deep_wiki_1,partsupp_deep_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,681535,1.190702199935913,3.186352491378784,8021,12315.571428571428,1.5354159616720393,385,385
