table_pair,dataset,mode,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,1458649,1.1585617065429688,2.7521116733551025,81843,98910.15789473684,1.208535340771194,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,3590985,1.2515356540679932,2.681626081466675,79766,81935.31578947368,1.027195995655714,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,2861019,1.2202587127685547,2.5906567573547363,79955,36764.26315789473,2.174802189196889,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,7811320,1.1162461042404175,2.4001996517181396,78388,104537.33157894737,1.33358845204556,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,1427886,1.2062091827392578,3.04740571975708,78728,152927.22631578948,1.9424756924574418,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,4288339,1.1372402906417847,2.728555679321289,79196,39860.52631578947,1.986827754670892,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,3227404,1.2433892488479614,2.4409737586975098,79716,79763.8947368421,1.0006008171112712,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,5886013,1.243363618850708,2.386617422103882,81577,93572.42105263157,1.1470441552475767,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,2636413,1.0980408191680908,2.9915456771850586,76504,46008.45526315789,1.662824790843651,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,6936640,1.329702615737915,3.214108943939209,82752,100903.55263157895,1.2193488088696218,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,5469472,1.141785740852356,2.6846120357513428,80131,57708.19473684211,1.3885549594023725,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,4444886,1.1260658502578735,2.7931673526763916,79490,70139.47368421052,1.1333133230780776,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,6631898,1.2197622060775757,2.4933252334594727,79933,15634.947368421053,5.112457248269733,HDBSCAN,P1_Cluster
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,hdbscan,0.01,0.1,7640583,1.2964671850204468,2.686100482940674,78485,56151.368421052626,1.3977397560728708,HDBSCAN,P1_Cluster
