table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,145860,364.46563720703125,2.7791433334350586,8141,5004.215789473685,1.6268283268528323,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,359095,383.42626953125,2.330082654953003,8021,2328.0526315789475,3.4453688422670856,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,286093,385.6861267089844,2.1552388668060303,8295,16272.921052631578,1.96177468988928,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,781121,408.2724609375,2.2795467376708984,7996,4621.7947368421055,1.730063850793893,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,142780,357.7455749511719,2.7598116397857666,8214,7072.360526315791,1.1614226918206791,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,428790,373.8810119628906,2.257038116455078,8003,11823.48947368421,1.4773821658983144,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,322723,378.48870849609375,2.8452041149139404,8230,10997.465789473685,1.3362655880283942,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,588557,372.0467529296875,2.8811392784118652,8065,9161.647368421052,1.1359761151173033,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,263638,368.9966125488281,3.1491057872772217,8119,5351.105263157895,1.5172566415201973,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,693614,392.36932373046875,2.3145997524261475,7984,2579.9,3.0946935927749135,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,546912,361.6460876464844,3.094848394393921,8033,7429.597368421053,1.081216060798081,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,444449,391.6747131347656,2.622706890106201,8133,6070.684210526316,1.3397171913336743,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,663176,337.7731628417969,2.3369600772857666,8132,4069.210526315789,1.9984220397076895,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,763999,372.2793273925781,2.7435648441314697,8127,6132.465789473685,1.325241799791189,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,782168,349.2619323730469,2.321883201599121,7746,8014.752631578947,1.0346956663541114,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,673362,369.7781677246094,2.6439919471740723,8301,11459.63947368421,1.3805131277778835,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,83904,319.8409118652344,2.928945541381836,7982,9782.692105263159,1.2255940998826307,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,695261,324.0319519042969,2.5670652389526367,8056,5125.8,1.5716571071832688,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,386245,381.8100280761719,2.7859504222869873,8226,7005.78947368421,1.1741717376605816,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,69504,352.2740478515625,3.0938942432403564,8210,17631.78157894737,2.1475982434771463,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,681535,364.0436706542969,3.186352491378784,8136,526.9,15.441260201176695,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,696279,371.8330078125,2.6614370346069336,8138,0.0,,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,340223,387.0399169921875,2.7366652488708496,8023,6339.315789473685,1.2655939956993532,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,690943,385.08843994140625,3.105254888534546,8117,2027.3157894736842,4.003816298450116,ThompsonSampling,P15_BayesianBandit
partsupp_yfcc_wiki_1,partsupp_yfcc_wiki_1,thompson_sampling,0.01,0.1,636616,376.94268798828125,2.822864055633545,7950,11112.773684210528,1.3978331678252236,ThompsonSampling,P15_BayesianBandit
