table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,145860,1.3125383853912354,2406.5029296875,8083,7042.894736842105,1.1476815005791579,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,359095,1.258963704109192,2409.85888671875,7820,8019.578947368422,1.0255216045228162,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,286093,1.1250864267349243,2405.38134765625,8399,15501.42105263158,1.8456269856687202,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,781121,1.178353190422058,2411.259765625,8226,10908.947368421053,1.3261545548773466,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,142780,1.2204875946044922,2410.8984375,7714,3132.578947368421,2.462507770627867,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,428790,1.208726167678833,2401.93359375,8022,5967.9473684210525,1.3441807550863825,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,322723,1.201585054397583,2406.197509765625,8006,6458.0526315789475,1.2396925910531935,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,588557,1.3140754699707031,2407.028076171875,7832,9993.77105263158,1.2760177544218054,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,263638,1.2552679777145386,2416.187744140625,7993,1667.35,4.793834527843584,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,693614,1.2929290533065796,2417.404296875,8162,10403.526315789473,1.2746295412631063,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,546912,1.2068768739700317,2409.767578125,7955,6652.18947368421,1.195846875899981,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,444449,1.3171755075454712,2408.00732421875,8048,5171.497368421053,1.5562223910513548,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,663176,1.187335729598999,2406.183349609375,7629,7157.315789473684,1.0659023891638295,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,763999,1.129727840423584,2407.574462890625,8314,2148.55,3.8695864652905443,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,782168,1.2275972366333008,2411.822509765625,7826,9136.073684210525,1.1674001640953904,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,673362,1.3074264526367188,2409.8935546875,8069,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,83904,1.286946177482605,2409.304443359375,7723,7978.981578947368,1.0331453552955288,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,695261,1.3076568841934204,2405.5068359375,7946,15466.663157894736,1.9464715778875832,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,386245,1.115124225616455,2401.354248046875,8371,9634.047368421054,1.1508836899320336,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,69504,1.3274890184402466,2411.21875,8413,8641.705263157895,1.0271847454128011,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,681535,1.190702199935913,2412.25537109375,7730,10604.315789473685,1.3718390413290666,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,696279,1.095173716545105,2413.61572265625,8048,3571.842105263158,2.253179105577249,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,340223,1.2161993980407715,2412.922607421875,8156,7444.792105263157,1.0955309274833944,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,690943,1.192641019821167,2407.89501953125,7933,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,636616,1.1787971258163452,2409.0947265625,8118,4224.473684210527,1.9216595028966545,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,48106,1.2743167877197266,2406.559814453125,8057,9472.244736842105,1.175654056949498,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,352770,1.142919659614563,2418.458251953125,8260,10347.550000000001,1.2527300242130752,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,536954,1.2835737466812134,2408.58056640625,8017,4770.865789473684,1.6804077821028842,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,752067,1.299872636795044,2408.0966796875,8158,16528.052631578947,2.0259932129908,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,602570,1.0824599266052246,2410.68603515625,7810,14170.621052631579,1.814420109171777,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,345404,1.2736424207687378,2404.065185546875,8005,13607.284210526317,1.6998481212400147,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,628777,1.1811281442642212,2407.3017578125,7994,12650.2,1.5824618463847886,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,137071,1.142971158027649,2401.0322265625,7847,4459.526315789473,1.7596039230033873,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,296404,1.184220790863037,2415.55322265625,7640,4518.736842105263,1.690737979873276,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,703153,1.2850453853607178,2406.97998046875,7965,6514.421052631579,1.2226719666488923,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,438962,1.1364035606384277,2409.861572265625,8160,3571.842105263158,2.2845354748397555,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,33248,1.0633318424224854,2401.165771484375,8160,6373.023684210527,1.2803969362638323,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,779894,1.1635044813156128,2414.31591796875,7950,3571.842105263158,2.225742282472556,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,304120,1.1213290691375732,2405.629638671875,8108,4918.736842105263,1.6483906865262796,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,73745,1.1344190835952759,2414.284912109375,8318,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,516733,1.261063575744629,2415.7060546875,8152,15633.78947368421,1.9177857548680337,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,181346,1.2947359085083008,2414.182861328125,7952,8979.105263157895,1.129163136715027,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,620747,1.220629096031189,2405.111328125,8106,10218.242105263158,1.260577609827678,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,738510,1.1800967454910278,2432.443115234375,7983,4148.707894736843,1.924213563005349,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,111011,1.2686152458190918,2407.377197265625,7820,4210.0,1.8574821852731591,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,426052,1.3522268533706665,2410.21630859375,7947,9071.315789473683,1.1414767572006648,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,724169,1.1838191747665405,2405.347900390625,8017,7982.35,1.0043408269494571,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,588630,1.2406305074691772,2406.953369140625,7532,15815.147368421052,2.09972747854767,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,790256,1.2671555280685425,2395.451416015625,7929,4627.736842105263,1.7133644955474427,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,201003,1.251275897026062,2408.2919921875,8054,2811.4736842105262,2.8646898049346663,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,6443,1.1582727432250977,2404.54345703125,8144,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,642763,1.160635232925415,2423.1484375,8074,2430.0,3.3226337448559673,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,193392,1.2071903944015503,2407.107421875,8107,3530.2105263157896,2.296463607359036,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,203755,1.3400602340698242,2410.476318359375,7922,7148.105263157895,1.1082657163473573,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,94462,1.1491119861602783,2412.731689453125,7997,10891.21052631579,1.3619120328017744,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,590890,1.2978947162628174,2401.50048828125,7909,18134.36842105263,2.292877534587512,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,783383,1.150227427482605,2404.126220703125,7901,6186.086842105264,1.2772209963530212,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,737605,1.238210678100586,2415.52734375,8184,8537.0,1.0431329423264908,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,516560,1.197317361831665,2409.31640625,7795,8830.515789473684,1.13284359069579,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,137642,1.2696336507797241,2424.2822265625,8001,13165.613157894737,1.6454959577421244,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,37803,1.3029752969741821,2403.85107421875,7968,3571.842105263158,2.230781698961173,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,254800,1.2096027135849,2425.88623046875,8124,2622.315789473684,3.098025048169557,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,605930,1.2198346853256226,2415.399658203125,7984,4727.315789473684,1.6889076921364077,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,209329,1.1634966135025024,2417.66650390625,7963,3009.8947368421054,2.645607470098622,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,766585,1.2398511171340942,2404.68408203125,8184,7571.178947368422,1.0809412981639512,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,488782,1.1352602243423462,2418.54248046875,8126,4195.105263157895,1.9370193333082413,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,374559,1.1832988262176514,2410.1533203125,7677,6315.0,1.2156769596199526,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,111780,1.1348025798797607,2408.411865234375,7902,0.0,,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,178188,1.2225490808486938,2403.824951171875,7772,6358.55,1.2222912456456267,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,539857,1.2806941270828247,2412.10205078125,8282,12963.994736842105,1.5653217504035384,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,781264,1.0879476070404053,2415.809814453125,8358,8179.760526315789,1.0217903046318755,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,771184,1.167130708694458,2406.342041015625,8113,8611.894736842105,1.0614932499497234,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,140785,1.3031423091888428,2408.97607421875,7734,5716.336842105264,1.3529643570044856,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,2505,1.2243211269378662,2412.2646484375,8099,10029.315789473685,1.238340015986379,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,526089,1.0811984539031982,2408.46533203125,8255,3571.842105263158,2.3111323951963456,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,608072,1.2620729207992554,2418.4697265625,8161,9066.684210526317,1.1109771119380365,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,224837,1.182917833328247,2420.688720703125,7836,3835.0421052631577,2.0432630946205217,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,386133,1.2392237186431885,2405.02490234375,7822,2459.3684210526317,3.180491354220168,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,487850,1.168969750404358,2413.11474609375,8354,3270.0526315789475,2.5546989425568554,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,340195,1.1419676542282104,2412.57275390625,7841,4607.918421052632,1.7016360281414886,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,122774,1.2625014781951904,2412.839599609375,8096,11115.77894736842,1.3729964114832536,HDBSCAN,P1_Cluster
partsupp_deep_fb_1,partsupp_deep_fb_1,hdbscan,0.01,0.1,690833,1.0988819599151611,2404.542236328125,8061,2430.0,3.3172839506172838,HDBSCAN,P1_Cluster
