table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,145860,1.3125383853912354,0.9250347018241882,8124,7524.136842105263,1.079725179177748,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,359095,1.258963704109192,0.9715551733970642,7719,10155.963157894737,1.3157096978746907,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,286093,1.1250864267349243,0.9822829961776733,7998,15642.363157894739,1.9557843408220479,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,781121,1.178353190422058,0.9175419807434082,8380,6235.052631578948,1.3440143163439298,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,142780,1.2204875946044922,0.9015222191810608,7764,10366.352631578948,1.3351819463651402,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,428790,1.208726167678833,0.966674268245697,7987,8302.842105263158,1.0395445230077824,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,322723,1.201585054397583,0.9233744144439697,8189,4353.5605263157895,1.88098912384479,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,588557,1.3140754699707031,0.9262503981590271,7848,6146.034210526315,1.276920975571325,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,263638,1.2552679777145386,0.8366378545761108,8035,3939.4026315789474,2.039649345712982,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,693614,1.2929290533065796,0.9231824278831482,7888,2206.6315789473683,3.5746791966798646,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,546912,1.2068768739700317,0.9469416737556458,7867,8023.613157894738,1.019907608732012,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,444449,1.3171755075454712,0.9797634482383728,7974,3581.6499999999996,2.2263481914759957,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,663176,1.187335729598999,0.9073753356933594,7679,11557.400000000001,1.5050657637713245,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,763999,1.129727840423584,0.9580559730529785,8095,13727.226315789474,1.6957660674230357,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,782168,1.2275972366333008,0.9662438631057739,7790,6005.668421052632,1.2971079077047385,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,673362,1.3074264526367188,0.9244863390922546,7850,8337.526315789473,1.0621052631578947,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,83904,1.286946177482605,0.8740195631980896,7933,12651.48947368421,1.594792572001035,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,695261,1.3076568841934204,0.9317291975021362,8146,10966.105263157895,1.346195097367775,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,386245,1.115124225616455,0.9361832141876221,8444,11325.771052631579,1.3412803236181405,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,69504,1.3274890184402466,0.948208749294281,8050,12683.021052631579,1.5755305655442955,HDBSCAN,P1_Cluster
partsupp_deep_yfcc_pca_1,partsupp_deep_yfcc_pca_1,hdbscan,0.01,0.1,681535,1.190702199935913,0.9449881315231323,7655,6667.010526315789,1.1481907775283169,HDBSCAN,P1_Cluster
