table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,145860,2406.5029296875,2.7791433334350586,8029,6194.273684210527,1.296197166823008,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,359095,2409.85888671875,2.330082654953003,7691,6677.947368421053,1.151701200337324,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,286093,2405.38134765625,2.1552388668060303,8250,2877.2,2.8673710551925486,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,781121,2411.259765625,2.2795467376708984,8070,10223.726315789474,1.2668805843605295,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,142780,2410.8984375,2.7598116397857666,7932,10775.294736842105,1.3584587414072244,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,428790,2401.93359375,2.257038116455078,7824,11635.394736842105,1.4871414540953611,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,322723,2406.197509765625,2.8452041149139404,7874,9362.4,1.189027178054356,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,588557,2407.028076171875,2.8811392784118652,7919,7042.236842105263,1.1245006632910446,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,263638,2416.187744140625,3.1491057872772217,8018,2535.5263157894738,3.162262584327971,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,693614,2417.404296875,2.3145997524261475,7913,2112.7368421052633,3.7453789048876485,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,546912,2409.767578125,3.094848394393921,8231,10129.621052631579,1.2306671185313545,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,444449,2408.00732421875,2.622706890106201,8200,5360.684210526316,1.5296554838836363,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,663176,2406.183349609375,2.3369600772857666,7922,9615.726315789474,1.2138003428161417,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,763999,2407.574462890625,2.7435648441314697,8021,6445.831578947368,1.2443700865839042,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,782168,2411.822509765625,2.321883201599121,7848,5754.4,1.3638259418879466,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,673362,2409.8935546875,2.6439919471740723,8265,8450.947368421053,1.0224981691979496,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,83904,2409.304443359375,2.928945541381836,8164,5048.981578947369,1.6169597516539291,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,695261,2405.5068359375,2.5670652389526367,7936,7236.157894736842,1.0967145984711282,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,386245,2401.354248046875,2.7859504222869873,8211,8224.736842105263,1.0016729804049767,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,69504,2411.21875,3.0938942432403564,8290,8560.157894736843,1.0325884070852647,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,681535,2412.25537109375,3.186352491378784,7899,0.0,,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,696279,2413.61572265625,2.6614370346069336,8161,5494.094736842106,1.4854130463521598,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,340223,2412.922607421875,2.7366652488708496,8076,9929.463157894737,1.2295026198482835,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,690943,2407.89501953125,3.105254888534546,8129,12966.684210526315,1.5951143080977137,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,636616,2409.0947265625,2.822864055633545,8128,10612.349999999999,1.3056532972440944,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,48106,2406.559814453125,2.8765604496002197,8205,14759.105263157895,1.7987940601045576,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,352770,2418.458251953125,3.0234601497650146,8253,7858.097368421052,1.0502542298808772,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,536954,2408.58056640625,2.944667100906372,8137,3608.0,2.2552660753880267,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,752067,2408.0966796875,2.5798802375793457,7934,8001.168421052632,1.0084658962758548,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,602570,2410.68603515625,2.6612396240234375,7796,1204.0,6.475083056478406,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,345404,2404.065185546875,2.7372653484344482,7938,15358.663157894736,1.9348278102664067,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,628777,2407.3017578125,2.7295992374420166,7917,5256.044736842105,1.5062657181180368,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,137071,2401.0322265625,2.437206745147705,8013,10988.189473684211,1.3712953293004133,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,296404,2415.55322265625,3.154475212097168,8099,15228.602631578946,1.8803065355696933,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,703153,2406.97998046875,3.1921608448028564,8130,10275.057894736841,1.2638447595002265,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,438962,2409.861572265625,2.468273162841797,8190,5897.549999999999,1.3887122618714554,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,33248,2401.165771484375,2.1035821437835693,8044,7502.989473684211,1.0721059956452446,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,779894,2414.31591796875,2.428924083709717,7921,20155.707894736843,2.544591326188214,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,304120,2405.629638671875,2.57894229888916,8050,12742.821052631578,1.5829591369728668,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,73745,2414.284912109375,2.5097620487213135,7890,5381.297368421053,1.4661891844707766,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,516733,2415.7060546875,2.8653626441955566,8054,5281.2,1.5250321896538666,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,181346,2414.182861328125,3.1206812858581543,8116,2404.0,3.3760399334442597,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,620747,2405.111328125,2.927414894104004,8052,10894.931578947368,1.3530714827306716,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,738510,2432.443115234375,2.402500629425049,8214,10727.884210526317,1.306048722976177,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,111011,2407.377197265625,2.744110584259033,7850,12791.294736842105,1.6294642976868923,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,426052,2410.21630859375,2.700775384902954,7950,9537.694736842104,1.1997100297914596,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,724169,2405.347900390625,2.68540358543396,8326,11416.557894736841,1.3711935977344272,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,588630,2406.953369140625,2.7094972133636475,7913,5281.2,1.4983337120351436,HDBSCAN,P1_Cluster
partsupp_fb_wiki_1,partsupp_fb_wiki_1,hdbscan,0.01,0.1,790256,2395.451416015625,2.567054033279419,7856,10276.168421052633,1.3080662450423413,HDBSCAN,P1_Cluster
