table,dataset,mode,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,method_user,paradigm
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,145860,1.3125383853912354,2.7791433334350586,8037,3182.565789473684,2.5253209302325583,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,359095,1.258963704109192,2.330082654953003,7881,8721.052631578947,1.1065921369850205,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,286093,1.1250864267349243,2.1552388668060303,7915,16865.75,2.1308591282375238,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,781121,1.178353190422058,2.2795467376708984,8014,5582.092105263158,1.4356624449897344,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,142780,1.2204875946044922,2.7598116397857666,7794,10123.026315789473,1.2988229812406304,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,428790,1.208726167678833,2.257038116455078,7940,14005.092105263158,1.763865504441204,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,322723,1.201585054397583,2.8452041149139404,8045,4796.157894736842,1.677384309809387,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,588557,1.3140754699707031,2.8811392784118652,7889,6032.157894736842,1.307823856348867,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,263638,1.2552679777145386,3.1491057872772217,8219,4137.842105263158,1.9863010213815997,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,693614,1.2929290533065796,2.3145997524261475,7966,7908.46052631579,1.007275685766243,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,546912,1.2068768739700317,3.094848394393921,7969,11334.986842105263,1.4223850975160326,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,444449,1.3171755075454712,2.622706890106201,8089,4243.78947368421,1.9060794721698584,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,663176,1.187335729598999,2.3369600772857666,7724,12258.776315789473,1.5871020605631114,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,763999,1.129727840423584,2.7435648441314697,8003,12056.947368421053,1.5065534635038178,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,782168,1.2275972366333008,2.321883201599121,7710,11948.276315789473,1.549711584408492,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,673362,1.3074264526367188,2.6439919471740723,8112,4714.657894736842,1.7205914365612287,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,83904,1.286946177482605,2.928945541381836,8151,3375.25,2.4149322272424265,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,695261,1.3076568841934204,2.5670652389526367,8055,5788.315789473684,1.3915965011184055,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,386245,1.115124225616455,2.7859504222869873,8410,0.0,,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,69504,1.3274890184402466,3.0938942432403564,8102,0.0,,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,681535,1.190702199935913,3.186352491378784,8021,9953.407894736842,1.2409185755812044,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,696279,1.095173716545105,2.6614370346069336,7966,8847.105263157895,1.1106082429271773,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,340223,1.2161993980407715,2.7366652488708496,7928,2691.5263157894738,2.9455405854631493,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,690943,1.192641019821167,3.105254888534546,8026,1435.25,5.592057132903675,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,636616,1.1787971258163452,2.822864055633545,7882,5161.25,1.5271494308549285,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,48106,1.2743167877197266,2.8765604496002197,8133,7585.252631578947,1.0722121457287617,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,352770,1.142919659614563,3.0234601497650146,8379,5375.1578947368425,1.5588379288735703,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,536954,1.2835737466812134,2.944667100906372,8360,11154.736842105263,1.3342986653235962,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,752067,1.299872636795044,2.5798802375793457,8196,14081.305263157894,1.7180704323033058,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,602570,1.0824599266052246,2.6612396240234375,7938,7386.723684210527,1.074630694115153,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,345404,1.2736424207687378,2.7372653484344482,8014,5745.515789473684,1.394826903910418,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,628777,1.1811281442642212,2.7295992374420166,8001,7084.684210526316,1.1293375628672675,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,137071,1.142971158027649,2.437206745147705,7799,4830.631578947368,1.6144886796975442,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,296404,1.184220790863037,3.154475212097168,7902,9361.894736842105,1.1847500299724254,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,703153,1.2850453853607178,3.1921608448028564,7944,7001.315789473684,1.1346438639353504,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,438962,1.1364035606384277,2.468273162841797,8145,9424.25,1.1570595457335788,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,33248,1.0633318424224854,2.1035821437835693,8072,4793.21052631579,1.6840487092488277,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,779894,1.1635044813156128,2.428924083709717,7941,1786.0,4.4462486002239645,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,304120,1.1213290691375732,2.57894229888916,8182,19364.315789473687,2.366697114333132,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,73745,1.1344190835952759,2.5097620487213135,7818,6294.105263157895,1.2421145934374687,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,516733,1.261063575744629,2.8653626441955566,7727,10002.828947368422,1.2945294354042218,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,181346,1.2947359085083008,3.1206812858581543,8049,5320.934210526316,1.5127042886711128,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,620747,1.220629096031189,2.927414894104004,7982,6579.21052631579,1.2132154713811447,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,738510,1.1800967454910278,2.402500629425049,8018,1786.0,4.48936170212766,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,111011,1.2686152458190918,2.744110584259033,7823,4841.578947368422,1.6157951951299052,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,426052,1.3522268533706665,2.700775384902954,7954,1945.6842105263158,4.088022073144341,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,724169,1.1838191747665405,2.68540358543396,8115,15457.473684210525,1.9048026721146674,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,588630,1.2406305074691772,2.7094972133636475,7848,6900.0,1.137391304347826,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,790256,1.2671555280685425,2.567054033279419,7939,3075.45,2.5814108504446507,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,201003,1.251275897026062,2.689554452896118,8078,12259.75,1.5176714533300322,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,6443,1.1582727432250977,2.4705615043640137,8245,8320.5,1.0091570648878108,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,642763,1.160635232925415,2.4056813716888428,7887,15786.894736842107,2.001634935570192,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,193392,1.2071903944015503,2.846799373626709,8298,7638.25,1.086374496776094,LpBound,P20_PessimisticLP
partsupp_deep_wiki_1,partsupp_deep_wiki_1,lp_bound,0.01,0.1,203755,1.3400602340698242,2.872863292694092,7896,9878.684210526315,1.2510998240281554,LpBound,P20_PessimisticLP
