cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
DEEP_sf10,single,B1,0.01,0.1,0,79727,83116.88311688312,1.0425186337988777,385,385,0.2704989165067673,1.0183920860290527,,
DEEP_sf10,single,B1,0.01,0.1,1,83937,83116.88311688312,1.00986703125,385,385,0.14471076428890228,1.0856069326400757,,
DEEP_sf10,single,B1,0.01,0.1,2,78977,83116.88311688312,1.0524188449407186,385,385,0.12300442904233932,1.0128012895584106,,
DEEP_sf10,single,B1,0.01,0.1,3,79065,62337.66233766235,1.2683343749999998,385,385,0.11571962386369705,0.9148332476615906,,
DEEP_sf10,single,B1,0.01,0.1,4,77764,20779.22077922078,3.7423925,385,385,0.11383090168237686,0.8894184231758118,,
DEEP_sf10,single,B1,0.01,0.1,5,82214,83116.88311688312,1.0109821090919202,385,385,0.1132916659116745,1.079075574874878,,
DEEP_sf10,single,B1,0.01,0.1,6,77136,62337.66233766235,1.2373899999999998,385,385,0.11108815670013428,1.0548489093780518,,
DEEP_sf10,single,B1,0.01,0.1,7,78270,62337.66233766235,1.2555812499999999,385,385,0.11212378740310669,1.0903995037078857,,
DEEP_sf10,single,B1,0.01,0.1,8,80477,20779.22077922078,3.8729556249999995,385,385,0.10904110968112946,1.0711644887924194,,
DEEP_sf10,single,B1,0.01,0.1,9,81521,62337.66233766235,1.3077327083333332,385,385,0.11092517524957657,0.9155985116958618,,
DEEP_sf10,single,B1,0.01,0.1,10,81941,41558.44155844156,1.9717053125,385,385,0.10807439684867859,1.1173633337020874,,
DEEP_sf10,single,B1,0.01,0.1,11,80608,83116.88311688312,1.0311244928156402,385,385,0.10969489812850952,0.6992020606994629,,
DEEP_sf10,single,B1,0.01,0.1,12,77572,83116.88311688312,1.0714804712638983,385,385,0.11013355106115341,0.9112841486930847,,
DEEP_sf10,single,B1,0.01,0.1,13,80021,20779.22077922078,3.851010625,385,385,0.10874029248952866,0.7638264298439026,,
DEEP_sf10,single,B1,0.01,0.1,14,78449,62337.66233766235,1.2584527083333332,385,385,0.11271331459283829,1.055192470550537,,
DEEP_sf10,single,B1,0.01,0.1,15,81671,62337.66233766235,1.3101389583333332,385,385,0.10889209806919098,1.249025583267212,,
