cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
SIFT_sf1,single,B1,0.01,0.1,0,7644,4155.8441558441555,1.8393375,385,385,0.3842422738671303,526.6382446289062,,
SIFT_sf1,single,B1,0.01,0.1,1,8074,6233.766233766233,1.2952041666666667,385,385,0.19083265215158463,421.06646728515625,,
SIFT_sf1,single,B1,0.01,0.1,2,8107,8311.688311688311,1.0252483423816838,385,385,0.17205439507961273,389.113037109375,,
SIFT_sf1,single,B1,0.01,0.1,3,7734,4155.8441558441555,1.8609937500000002,385,385,0.16682129353284836,437.8057861328125,,
SIFT_sf1,single,B1,0.01,0.1,4,8161,6233.766233766233,1.3091604166666668,385,385,0.16403943300247192,406.35699462890625,,
SIFT_sf1,single,B1,0.01,0.1,5,8017,14545.454545454544,1.8143263746357172,385,385,0.16428250819444656,402.9726867675781,,
SIFT_sf1,single,B1,0.01,0.1,6,8163,8311.688311688311,1.0182149101663984,385,385,0.1601092517375946,459.91943359375,,
SIFT_sf1,single,B1,0.01,0.1,7,8010,6233.766233766233,1.2849375,385,385,0.1564742997288704,470.5484924316406,,
SIFT_sf1,single,B1,0.01,0.1,8,8189,8311.688311688311,1.0149820871520712,385,385,0.15941262245178223,473.0179443359375,,
SIFT_sf1,single,B1,0.01,0.1,9,7901,4155.8441558441555,1.9011781250000002,385,385,0.15715323388576508,519.8017578125,,
SIFT_sf1,single,B1,0.01,0.1,10,7797,10389.610389610389,1.3325138373233794,385,385,0.15756022185087204,453.1532287597656,,
SIFT_sf1,single,B1,0.01,0.1,11,8004,4155.8441558441555,1.9259625000000002,385,385,0.15606358647346497,324.2884216308594,,
SIFT_sf1,single,B1,0.01,0.1,12,7820,2077.9220779220777,3.7633750000000004,385,385,0.16033835709095,326.2312927246094,,
SIFT_sf1,single,B1,0.01,0.1,13,7746,2077.9220779220777,3.7277625000000003,385,385,0.15813671052455902,394.3703918457031,,
SIFT_sf1,single,B1,0.01,0.1,14,8276,4155.8441558441555,1.9914125000000003,385,385,0.1562647521495819,399.10015869140625,,
SIFT_sf1,single,B1,0.01,0.1,15,8166,10389.610389610389,1.2723010518748945,385,385,0.1570042222738266,365.4928283691406,,
