cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
multi_join_deep_wiki_1,join,B6,0.01,0.1,145860,8037,11561.06459096459,1.438480103392384,385,385,79.85063828527927,1.3125383853912354,2.7791433334350586,
multi_join_deep_wiki_1,join,B6,0.01,0.1,359095,7881,10052.504661748728,1.275536690997174,386,386,62.245202250778675,1.258963704109192,2.330082654953003,
multi_join_deep_wiki_1,join,B6,0.01,0.1,286093,7915,6454.243415463042,1.2263249912510714,389,389,42.09166392683983,1.1250864267349243,2.1552388668060303,
multi_join_deep_wiki_1,join,B6,0.01,0.1,781121,8014,5593.758844712434,1.4326681257586438,391,391,61.361019499599934,1.178353190422058,2.2795467376708984,
multi_join_deep_wiki_1,join,B6,0.01,0.1,142780,7794,7168.850073991861,1.0872036546385793,385,385,60.916854068636894,1.2204875946044922,2.7598116397857666,
multi_join_deep_wiki_1,join,B6,0.01,0.1,428790,7940,5041.487463924964,1.5749320129853994,393,393,38.417793810367584,1.208726167678833,2.257038116455078,
multi_join_deep_wiki_1,join,B6,0.01,0.1,322723,8045,3341.1694951664876,2.4078395339231733,387,387,59.19310636818409,1.201585054397583,2.8452041149139404,
multi_join_deep_wiki_1,join,B6,0.01,0.1,588557,7889,13132.978073995791,1.66472025275647,388,388,66.65808986872435,1.3140754699707031,2.8811392784118652,
multi_join_deep_wiki_1,join,B6,0.01,0.1,263638,8219,8052.1508224680965,1.0207210695888036,388,388,56.06056656688452,1.2552679777145386,3.1491057872772217,
multi_join_deep_wiki_1,join,B6,0.01,0.1,693614,7966,3142.550151975684,2.534883968356677,385,385,64.35299944132566,1.2929290533065796,2.3145997524261475,
multi_join_deep_wiki_1,join,B6,0.01,0.1,546912,7969,7617.775677860697,1.0461058893031012,385,385,50.094472244381905,1.2068768739700317,3.094848394393921,
multi_join_deep_wiki_1,join,B6,0.01,0.1,444449,8089,5272.2195652173905,1.5342684233725505,385,385,27.906945906579494,1.3171755075454712,2.622706890106201,
multi_join_deep_wiki_1,join,B6,0.01,0.1,663176,7724,6707.550395064138,1.151538124213548,387,387,52.10924334824085,1.187335729598999,2.3369600772857666,
multi_join_deep_wiki_1,join,B6,0.01,0.1,763999,8003,5922.038982555474,1.3513926577610185,387,387,60.78751105815172,1.129727840423584,2.7435648441314697,
multi_join_deep_wiki_1,join,B6,0.01,0.1,782168,7710,4832.356880587484,1.5954947431495732,385,385,59.60620194673538,1.2275972366333008,2.321883201599121,
multi_join_deep_wiki_1,join,B6,0.01,0.1,673362,8112,5429.911538461539,1.493946990211627,390,390,48.310128040611744,1.3074264526367188,2.6439919471740723,
multi_join_deep_wiki_1,join,B6,0.01,0.1,83904,8151,18882.37310770806,2.3165713541538535,389,389,24.250995367765427,1.286946177482605,2.928945541381836,
multi_join_deep_wiki_1,join,B6,0.01,0.1,695261,8055,10696.557000483794,1.3279400373040091,385,385,21.921600215137005,1.3076568841934204,2.5670652389526367,
multi_join_deep_wiki_1,join,B6,0.01,0.1,386245,8410,12048.326668408645,1.4326191044481147,394,394,24.86439049243927,1.115124225616455,2.7859504222869873,
multi_join_deep_wiki_1,join,B6,0.01,0.1,69504,8102,12024.270973744233,1.4841114507213322,385,385,27.68451627343893,1.3274890184402466,3.0938942432403564,
multi_join_deep_wiki_1,join,B6,0.01,0.1,681535,8021,5245.465151515152,1.5291303570443386,385,385,26.714148931205273,1.190702199935913,3.186352491378784,
multi_join_deep_wiki_1,join,B6,0.01,0.1,696279,7966,7171.171829434827,1.1108365814500105,388,388,45.456288382411,1.095173716545105,2.6614370346069336,
multi_join_deep_wiki_1,join,B6,0.01,0.1,340223,7928,6140.609427609427,1.2910770654707497,385,385,68.48391517996788,1.2161993980407715,2.7366652488708496,
multi_join_deep_wiki_1,join,B6,0.01,0.1,690943,8026,5560.310652216549,1.443444530711703,387,387,58.924390003085136,1.192641019821167,3.105254888534546,
multi_join_deep_wiki_1,join,B6,0.01,0.1,636616,7882,2428.5895127118647,3.245505244399507,387,387,55.67370541393757,1.1787971258163452,2.822864055633545,
multi_join_deep_wiki_1,join,B6,0.01,0.1,48106,8133,9606.227990406123,1.1811420128373447,385,385,42.437270283699036,1.2743167877197266,2.8765604496002197,
multi_join_deep_wiki_1,join,B6,0.01,0.1,352770,8379,9481.099953018558,1.1315312033677716,389,389,54.22183312475681,1.142919659614563,3.0234601497650146,
multi_join_deep_wiki_1,join,B6,0.01,0.1,536954,8360,9699.662608734643,1.160246723532852,385,385,65.45473169535398,1.2835737466812134,2.944667100906372,
multi_join_deep_wiki_1,join,B6,0.01,0.1,752067,8196,6854.2375362318835,1.195756633276201,385,385,54.90425042808056,1.299872636795044,2.5798802375793457,
multi_join_deep_wiki_1,join,B6,0.01,0.1,602570,7938,6409.552824729321,1.2384639329866551,387,387,26.66081953793764,1.0824599266052246,2.6612396240234375,
multi_join_deep_wiki_1,join,B6,0.01,0.1,345404,8014,4247.940829346093,1.8865611179507968,385,385,24.938320741057396,1.2736424207687378,2.7372653484344482,
multi_join_deep_wiki_1,join,B6,0.01,0.1,628777,8001,7144.68138746803,1.1198539957336624,390,390,25.275422260165215,1.1811281442642212,2.7295992374420166,
multi_join_deep_wiki_1,join,B6,0.01,0.1,137071,7799,8456.431238289899,1.0842968634812025,385,385,24.835539050400257,1.142971158027649,2.437206745147705,
multi_join_deep_wiki_1,join,B6,0.01,0.1,296404,7902,6103.964937129643,1.294568379961218,385,385,27.380003593862057,1.184220790863037,3.154475212097168,
multi_join_deep_wiki_1,join,B6,0.01,0.1,703153,7944,7416.480248917749,1.0711280463747246,385,385,85.82239504903555,1.2850453853607178,3.1921608448028564,
multi_join_deep_wiki_1,join,B6,0.01,0.1,438962,8145,5955.317016317016,1.3676853772323885,388,388,48.98114036768675,1.1364035606384277,2.468273162841797,
multi_join_deep_wiki_1,join,B6,0.01,0.1,33248,8072,6449.467428481365,1.2515762098981076,392,392,38.416000083088875,1.0633318424224854,2.1035821437835693,
multi_join_deep_wiki_1,join,B6,0.01,0.1,779894,7941,7562.953257027831,1.049986656022351,391,391,37.78055123984814,1.1635044813156128,2.428924083709717,
multi_join_deep_wiki_1,join,B6,0.01,0.1,304120,8182,6269.6927095892615,1.3050081366006878,393,393,55.75722176581621,1.1213290691375732,2.57894229888916,
multi_join_deep_wiki_1,join,B6,0.01,0.1,73745,7818,7671.00402110836,1.019162547495367,391,391,62.9351194947958,1.1344190835952759,2.5097620487213135,
multi_join_deep_wiki_1,join,B6,0.01,0.1,516733,7727,7705.057692307692,1.0028477798049733,385,385,57.81088024377823,1.261063575744629,2.8653626441955566,
multi_join_deep_wiki_1,join,B6,0.01,0.1,181346,8049,9557.943724186262,1.1874697135279242,385,385,52.001322619616985,1.2947359085083008,3.1206812858581543,
multi_join_deep_wiki_1,join,B6,0.01,0.1,620747,7982,6367.288571428572,1.2535948246192254,385,385,40.08742235600948,1.220629096031189,2.927414894104004,
multi_join_deep_wiki_1,join,B6,0.01,0.1,738510,8018,6758.132645009224,1.1864224070714517,388,388,42.12066624313593,1.1800967454910278,2.402500629425049,
multi_join_deep_wiki_1,join,B6,0.01,0.1,111011,7823,8339.551837978594,1.0660298910876382,385,385,42.29957144707441,1.2686152458190918,2.744110584259033,
multi_join_deep_wiki_1,join,B6,0.01,0.1,426052,7954,10931.573728457335,1.3743492240957174,387,387,34.52775254845619,1.3522268533706665,2.700775384902954,
multi_join_deep_wiki_1,join,B6,0.01,0.1,724169,8115,4766.617216117216,1.7024652142322232,386,386,36.22883837670088,1.1838191747665405,2.68540358543396,
multi_join_deep_wiki_1,join,B6,0.01,0.1,588630,7848,9097.517770240996,1.1592148025281597,391,391,35.960011184215546,1.2406305074691772,2.7094972133636475,
multi_join_deep_wiki_1,join,B6,0.01,0.1,790256,7939,7874.879186635717,1.0081424504229983,391,391,27.310453355312347,1.2671555280685425,2.567054033279419,
multi_join_deep_wiki_1,join,B6,0.01,0.1,201003,8078,5955.923435123435,1.356296817444327,386,386,27.50216517597437,1.251275897026062,2.689554452896118,
