cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
SSN_sf10,single,B1,0.01,0.1,0,79242,103896.1038961039,1.3111242005010462,385,385,0.3735404461622238,2327.284423828125,,
SSN_sf10,single,B1,0.01,0.1,1,79759,83116.88311688312,1.0421003663145616,385,385,0.21767336875200272,2340.976806640625,,
SSN_sf10,single,B1,0.01,0.1,2,81451,83116.88311688312,1.0204525802861,385,385,0.1700669527053833,2326.0869140625,,
SSN_sf10,single,B1,0.01,0.1,3,80683,83116.88311688312,1.0301659967636692,385,385,0.15384890139102936,2323.63330078125,,
SSN_sf10,single,B1,0.01,0.1,4,78396,0.0,,385,385,0.14790520071983337,2312.801025390625,,
SSN_sf10,single,B1,0.01,0.1,5,81280,20779.22077922078,3.9115999999999995,385,385,0.14668330550193787,2307.44091796875,,
SSN_sf10,single,B1,0.01,0.1,6,79181,20779.22077922078,3.810585625,385,385,0.14570821076631546,2328.042724609375,,
SSN_sf10,single,B1,0.01,0.1,7,80949,62337.66233766235,1.2985568749999998,385,385,0.14088023453950882,2321.83740234375,,
SSN_sf10,single,B1,0.01,0.1,8,80280,62337.66233766235,1.2878249999999998,385,385,0.141010619699955,2308.29443359375,,
SSN_sf10,single,B1,0.01,0.1,9,80739,103896.1038961039,1.2868143511327104,385,385,0.14058873057365417,2325.923828125,,
SSN_sf10,single,B1,0.01,0.1,10,79199,41558.44155844156,1.9057259374999997,385,385,0.13568159192800522,2320.857177734375,,
SSN_sf10,single,B1,0.01,0.1,11,79780,124675.3246753247,1.562739090941648,385,385,0.13312418013811111,2321.993408203125,,
SSN_sf10,single,B1,0.01,0.1,12,81129,62337.66233766235,1.3014443749999998,385,385,0.1329733058810234,2320.99462890625,,
SSN_sf10,single,B1,0.01,0.1,13,80833,83116.88311688312,1.028254340639134,385,385,0.1323716714978218,2319.29736328125,,
SSN_sf10,single,B1,0.01,0.1,14,76154,41558.44155844156,1.832455625,385,385,0.13294443488121033,2335.480712890625,,
SSN_sf10,single,B1,0.01,0.1,15,79164,103896.1038961039,1.3124160463860328,385,385,0.13347528874874115,2317.94775390625,,
SSN_sf10,single,B1,0.01,0.1,16,79016,83116.88311688312,1.051899401600728,385,385,0.133393332362175,2316.09765625,,
