cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,145860,8141,6735.705852588971,1.2086335386618587,770,770,1.100216992199421,364.46563720703125,2.7791433334350586,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,359095,8021,9186.034744476303,1.1452480668839675,770,770,0.8980389684438705,383.42626953125,2.330082654953003,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,286093,8295,9736.549165120594,1.173785312250825,770,770,0.7597794756293297,385.6861267089844,2.1552388668060303,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,781121,7996,7189.07066959015,1.1122439001501503,770,770,0.7607694715261459,408.2724609375,2.2795467376708984,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,142780,8214,7987.856299544612,1.0283109375,770,770,0.7431693375110626,357.7455749511719,2.7598116397857666,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,428790,8003,12586.270871985156,1.5726940987111278,770,770,0.7212497293949127,373.8810119628906,2.257038116455078,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,322723,8230,5051.779389441727,1.629128939636752,770,770,0.6999466568231583,378.48870849609375,2.8452041149139404,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,588557,8065,11161.410018552875,1.383931806392173,770,770,0.6840676069259644,372.0467529296875,2.8811392784118652,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,263638,8119,6989.374262101536,1.161620439189189,770,770,0.6996430456638336,368.9966125488281,3.1491057872772217,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,693614,7984,4684.769775678866,1.7042459677419357,770,770,0.6861276924610138,392.36932373046875,2.3145997524261475,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,546912,8033,8786.641929499072,1.093818240943492,770,770,0.6803106516599655,361.6460876464844,3.094848394393921,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,444449,8133,8851.408331927812,1.0883325134547908,770,770,0.6854450330138206,391.6747131347656,2.622706890106201,
partsupp_yfcc_wiki_1,4way,B1,0.01,0.1,663176,8132,7253.83707201889,1.1210618489583335,770,770,0.6732689216732979,337.7731628417969,2.3369600772857666,
