cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
SSN_sf1,single,B1,0.01,0.1,0,8172,4155.8441558441555,1.9663875000000002,385,385,0.7292255759239197,2319.66162109375,,
SSN_sf1,single,B1,0.01,0.1,1,7749,6233.766233766233,1.2430687500000002,385,385,0.3779614344239235,2311.0400390625,,
SSN_sf1,single,B1,0.01,0.1,2,8029,10389.610389610389,1.2940105106003723,385,385,0.33942144364118576,2325.772705078125,,
SSN_sf1,single,B1,0.01,0.1,3,8104,6233.766233766233,1.3000166666666668,385,385,0.3423364832997322,2318.34033203125,,
SSN_sf1,single,B1,0.01,0.1,4,8014,4155.8441558441555,1.9283687500000002,385,385,0.3273310139775276,2319.807861328125,,
SSN_sf1,single,B1,0.01,0.1,5,7704,8311.688311688311,1.0788795835524807,385,385,0.3278059884905815,2314.911376953125,,
SSN_sf1,single,B1,0.01,0.1,6,8120,6233.766233766233,1.3025833333333334,385,385,0.3236643970012665,2321.281982421875,,
SSN_sf1,single,B1,0.01,0.1,7,8033,8311.688311688311,1.0346929306222221,385,385,0.3156932070851326,2311.428466796875,,
SSN_sf1,single,B1,0.01,0.1,8,8000,8311.688311688311,1.0389610389610389,385,385,0.30774250626564026,2327.399658203125,,
SSN_sf1,single,B1,0.01,0.1,9,7747,10389.610389610389,1.3411140298967843,385,385,0.3146585077047348,2318.00244140625,,
SSN_sf1,single,B1,0.01,0.1,10,7908,4155.8441558441555,1.9028625000000001,385,385,0.31242985278367996,2330.260009765625,,
SSN_sf1,single,B1,0.01,0.1,11,8033,6233.766233766233,1.2886270833333335,385,385,0.3252597525715828,2312.81787109375,,
SSN_sf1,single,B1,0.01,0.1,12,8129,6233.766233766233,1.3040270833333334,385,385,0.30917488038539886,2331.1630859375,,
SSN_sf1,single,B1,0.01,0.1,13,7920,2077.9220779220777,3.8115000000000006,385,385,0.3067590296268463,2314.01123046875,,
SSN_sf1,single,B1,0.01,0.1,14,8129,8311.688311688311,1.0224736513332895,385,385,0.31612254679203033,2329.386474609375,,
SSN_sf1,single,B1,0.01,0.1,15,8235,6233.766233766233,1.32103125,385,385,0.30198320746421814,2328.434814453125,,
SSN_sf1,single,B1,0.01,0.1,16,7901,4155.8441558441555,1.9011781250000002,385,385,0.3049643710255623,2336.87841796875,,
SSN_sf1,single,B1,0.01,0.1,17,7985,10389.610389610389,1.3011409379599734,385,385,0.3110729157924652,2327.0205078125,,
SSN_sf1,single,B1,0.01,0.1,18,8085,14545.454545454544,1.799066734131669,385,385,0.3080042079091072,2310.194091796875,,
SSN_sf1,single,B1,0.01,0.1,19,7939,6233.766233766233,1.2735479166666668,385,385,0.3081308677792549,2318.360595703125,,
SSN_sf1,single,B1,0.01,0.1,20,7961,4155.8441558441555,1.9156156250000003,385,385,0.3084242343902588,2309.818115234375,,
SSN_sf1,single,B1,0.01,0.1,21,8068,6233.766233766233,1.2942416666666667,385,385,0.32163411378860474,2327.804443359375,,
