cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,wilcoxon_p,significant_05
DEEP_sf1,HDBSCAN,0.01,484,10.15903595554335,-2.426403645833328,0.22866553528115685,False
DEEP_sf1,HDBSCAN,0.05,500,0.4309999782484746,-1.0046418700091735,0.11582274775615148,False
DEEP_sf1,HDBSCAN,0.1,500,-1.4018220980742981,-2.0354066096416847,0.00014074520904189668,True
DEEP_sf1,HDBSCAN,0.3,500,0.002285444139223188,-0.054756249471676885,0.579728997565921,False
DEEP_sf1,HDBSCAN,0.5,500,-0.015040905651227902,-0.2452107129441064,0.4914217934719828,False
DEEP_sf1,MB_partial,0.01,475,16.800044586728493,-1.2944598684210353,0.9087674944992568,False
DEEP_sf1,MB_partial,0.05,500,-0.03763890559560673,-2.139935622258772,0.01059610617898935,True
DEEP_sf1,MB_partial,0.1,500,-0.948126742946967,-0.7465479267189372,0.005645935913782539,True
DEEP_sf1,MB_partial,0.3,500,-0.7330311385946267,-0.7091272536233195,0.0016814787961601763,True
DEEP_sf1,MB_partial,0.5,500,-0.383322656700329,-0.23858558011997516,0.029521582000792832,True
DEEP_sf1,Hilbert,0.01,485,14.412220131279502,-0.9304929642183044,0.9593238932721887,False
DEEP_sf1,Hilbert,0.05,500,0.5683180499580345,-0.789565822877365,0.08854796815496677,False
DEEP_sf1,Hilbert,0.1,500,0.09448969572538206,-1.0131529297139583,0.15158611046425804,False
DEEP_sf1,Hilbert,0.3,500,-0.45341274888239697,-0.3245024337051655,0.02205772619805623,True
DEEP_sf1,Hilbert,0.5,500,-0.2738594243687021,-0.2695785338172587,0.04684132788594982,True
DEEP_sf1,sparse_rp,0.01,484,14.314692495121356,0.42284664859374854,0.7315865696825898,False
DEEP_sf1,sparse_rp,0.05,500,0.5267583912249895,-2.1958509124218404,0.017239200016336494,True
DEEP_sf1,sparse_rp,0.1,500,0.26587094732088085,-0.17232889326945305,0.2564649116055636,False
DEEP_sf1,sparse_rp,0.3,500,0.5403432346365107,0.25673872402733755,0.2423525553556546,False
DEEP_sf1,sparse_rp,0.5,500,0.040980661461421104,-0.30736837888216023,0.6350858621448392,False
DEEP_sf10,HDBSCAN,0.01,477,9.340665441154236,1.0570008771929782,0.5048929678108017,False
DEEP_sf10,HDBSCAN,0.05,500,0.6807312126891124,-1.6767629324463345,0.0446601434716733,True
