cell,method,selectivity,n_seed_negative,n_seed_positive,n_seed_total,sign_consistent
DEEP_sf1,HDBSCAN,0.01,0,5,5,True
DEEP_sf1,HDBSCAN,0.05,3,2,5,False
DEEP_sf1,HDBSCAN,0.1,5,0,5,True
DEEP_sf1,HDBSCAN,0.3,5,0,5,True
DEEP_sf1,HDBSCAN,0.5,5,0,5,True
DEEP_sf1,MB_partial,0.01,0,5,5,True
DEEP_sf1,MB_partial,0.05,4,1,5,False
DEEP_sf1,MB_partial,0.1,5,0,5,True
DEEP_sf1,MB_partial,0.3,5,0,5,True
DEEP_sf1,MB_partial,0.5,5,0,5,True
DEEP_sf1,Hilbert,0.01,0,5,5,True
DEEP_sf1,Hilbert,0.05,3,2,5,False
DEEP_sf1,Hilbert,0.1,4,1,5,False
DEEP_sf1,Hilbert,0.3,5,0,5,True
DEEP_sf1,Hilbert,0.5,5,0,5,True
DEEP_sf1,sparse_rp,0.01,0,5,5,True
DEEP_sf1,sparse_rp,0.05,3,2,5,False
DEEP_sf1,sparse_rp,0.1,5,0,5,True
DEEP_sf1,sparse_rp,0.3,5,0,5,True
DEEP_sf1,sparse_rp,0.5,5,0,5,True
DEEP_sf1,Adaptive,0.01,0,5,5,True
DEEP_sf1,Adaptive,0.05,2,3,5,False
DEEP_sf1,Adaptive,0.1,3,2,5,False
DEEP_sf1,Adaptive,0.3,5,0,5,True
DEEP_sf1,Adaptive,0.5,5,0,5,True
DEEP_sf10,HDBSCAN,0.01,0,5,5,True
DEEP_sf10,HDBSCAN,0.05,4,1,5,False
DEEP_sf10,HDBSCAN,0.1,5,0,5,True
DEEP_sf10,HDBSCAN,0.3,5,0,5,True
DEEP_sf10,HDBSCAN,0.5,5,0,5,True
DEEP_sf10,MB_partial,0.01,0,5,5,True
DEEP_sf10,MB_partial,0.05,4,1,5,False
DEEP_sf10,MB_partial,0.1,5,0,5,True
DEEP_sf10,MB_partial,0.3,5,0,5,True
DEEP_sf10,MB_partial,0.5,5,0,5,True
DEEP_sf10,Hilbert,0.01,0,5,5,True
DEEP_sf10,Hilbert,0.05,3,2,5,False
DEEP_sf10,Hilbert,0.1,4,1,5,False
DEEP_sf10,Hilbert,0.3,5,0,5,True
DEEP_sf10,Hilbert,0.5,5,0,5,True
DEEP_sf10,sparse_rp,0.01,0,5,5,True
DEEP_sf10,sparse_rp,0.05,3,2,5,False
DEEP_sf10,sparse_rp,0.1,4,1,5,False
DEEP_sf10,sparse_rp,0.3,5,0,5,True
DEEP_sf10,sparse_rp,0.5,5,0,5,True
DEEP_sf10,Adaptive,0.01,0,5,5,True
DEEP_sf10,Adaptive,0.05,2,3,5,False
DEEP_sf10,Adaptive,0.1,3,2,5,False
DEEP_sf10,Adaptive,0.3,5,0,5,True
DEEP_sf10,Adaptive,0.5,5,0,5,True
SIFT_sf1,HDBSCAN,0.01,3,2,5,False
SIFT_sf1,HDBSCAN,0.05,5,0,5,True
SIFT_sf1,HDBSCAN,0.1,5,0,5,True
SIFT_sf1,HDBSCAN,0.3,5,0,5,True
SIFT_sf1,HDBSCAN,0.5,5,0,5,True
SIFT_sf1,MB_partial,0.01,2,3,5,False
SIFT_sf1,MB_partial,0.05,5,0,5,True
SIFT_sf1,MB_partial,0.1,5,0,5,True
SIFT_sf1,MB_partial,0.3,5,0,5,True
SIFT_sf1,MB_partial,0.5,5,0,5,True
SIFT_sf1,Hilbert,0.01,3,2,5,False
SIFT_sf1,Hilbert,0.05,5,0,5,True
SIFT_sf1,Hilbert,0.1,5,0,5,True
SIFT_sf1,Hilbert,0.3,5,0,5,True
SIFT_sf1,Hilbert,0.5,5,0,5,True
SIFT_sf1,sparse_rp,0.01,1,4,5,False
SIFT_sf1,sparse_rp,0.05,5,0,5,True
SIFT_sf1,sparse_rp,0.1,5,0,5,True
SIFT_sf1,sparse_rp,0.3,5,0,5,True
SIFT_sf1,sparse_rp,0.5,5,0,5,True
SIFT_sf1,Adaptive,0.01,1,4,5,False
SIFT_sf1,Adaptive,0.05,5,0,5,True
SIFT_sf1,Adaptive,0.1,5,0,5,True
SIFT_sf1,Adaptive,0.3,5,0,5,True
SIFT_sf1,Adaptive,0.5,5,0,5,True
SIFT_sf10,HDBSCAN,0.01,1,4,5,False
SIFT_sf10,HDBSCAN,0.05,5,0,5,True
SIFT_sf10,HDBSCAN,0.1,5,0,5,True
SIFT_sf10,HDBSCAN,0.3,5,0,5,True
SIFT_sf10,HDBSCAN,0.5,5,0,5,True
SIFT_sf10,MB_partial,0.01,1,4,5,False
SIFT_sf10,MB_partial,0.05,5,0,5,True
SIFT_sf10,MB_partial,0.1,5,0,5,True
SIFT_sf10,MB_partial,0.3,5,0,5,True
SIFT_sf10,MB_partial,0.5,5,0,5,True
SIFT_sf10,Hilbert,0.01,0,5,5,True
SIFT_sf10,Hilbert,0.05,5,0,5,True
SIFT_sf10,Hilbert,0.1,5,0,5,True
SIFT_sf10,Hilbert,0.3,5,0,5,True
SIFT_sf10,Hilbert,0.5,5,0,5,True
SIFT_sf10,sparse_rp,0.01,0,5,5,True
SIFT_sf10,sparse_rp,0.05,4,1,5,False
SIFT_sf10,sparse_rp,0.1,5,0,5,True
SIFT_sf10,sparse_rp,0.3,5,0,5,True
SIFT_sf10,sparse_rp,0.5,5,0,5,True
SIFT_sf10,Adaptive,0.01,0,5,5,True
SIFT_sf10,Adaptive,0.05,5,0,5,True
SIFT_sf10,Adaptive,0.1,5,0,5,True
SIFT_sf10,Adaptive,0.3,5,0,5,True
SIFT_sf10,Adaptive,0.5,5,0,5,True
SSN_sf1,HDBSCAN,0.01,0,5,5,True
SSN_sf1,HDBSCAN,0.05,0,5,5,True
SSN_sf1,HDBSCAN,0.1,1,4,5,False
SSN_sf1,HDBSCAN,0.3,2,3,5,False
SSN_sf1,HDBSCAN,0.5,3,2,5,False
SSN_sf1,MB_partial,0.01,0,5,5,True
SSN_sf1,MB_partial,0.05,0,5,5,True
SSN_sf1,MB_partial,0.1,2,3,5,False
SSN_sf1,MB_partial,0.3,2,3,5,False
SSN_sf1,MB_partial,0.5,1,4,5,False
SSN_sf1,Hilbert,0.01,0,5,5,True
SSN_sf1,Hilbert,0.05,0,5,5,True
SSN_sf1,Hilbert,0.1,0,5,5,True
SSN_sf1,Hilbert,0.3,3,2,5,False
SSN_sf1,Hilbert,0.5,2,3,5,False
SSN_sf1,sparse_rp,0.01,0,5,5,True
SSN_sf1,sparse_rp,0.05,0,5,5,True
SSN_sf1,sparse_rp,0.1,0,5,5,True
SSN_sf1,sparse_rp,0.3,3,2,5,False
SSN_sf1,sparse_rp,0.5,4,1,5,False
SSN_sf1,Adaptive,0.01,0,5,5,True
SSN_sf1,Adaptive,0.05,0,5,5,True
SSN_sf1,Adaptive,0.1,1,4,5,False
SSN_sf1,Adaptive,0.3,3,2,5,False
SSN_sf1,Adaptive,0.5,2,3,5,False
SSN_sf10,HDBSCAN,0.01,0,5,5,True
SSN_sf10,HDBSCAN,0.05,0,5,5,True
SSN_sf10,HDBSCAN,0.1,3,2,5,False
SSN_sf10,HDBSCAN,0.3,2,3,5,False
SSN_sf10,HDBSCAN,0.5,2,3,5,False
SSN_sf10,MB_partial,0.01,0,5,5,True
SSN_sf10,MB_partial,0.05,0,5,5,True
SSN_sf10,MB_partial,0.1,1,4,5,False
SSN_sf10,MB_partial,0.3,2,3,5,False
SSN_sf10,MB_partial,0.5,1,4,5,False
SSN_sf10,Hilbert,0.01,0,5,5,True
SSN_sf10,Hilbert,0.05,0,5,5,True
SSN_sf10,Hilbert,0.1,0,5,5,True
SSN_sf10,Hilbert,0.3,2,3,5,False
SSN_sf10,Hilbert,0.5,3,2,5,False
SSN_sf10,sparse_rp,0.01,0,5,5,True
SSN_sf10,sparse_rp,0.05,1,4,5,False
SSN_sf10,sparse_rp,0.1,1,4,5,False
SSN_sf10,sparse_rp,0.3,3,2,5,False
SSN_sf10,sparse_rp,0.5,4,1,5,False
SSN_sf10,Adaptive,0.01,0,5,5,True
SSN_sf10,Adaptive,0.05,0,5,5,True
SSN_sf10,Adaptive,0.1,0,5,5,True
SSN_sf10,Adaptive,0.3,1,4,5,False
SSN_sf10,Adaptive,0.5,1,4,5,False
WIKI_sf1,HDBSCAN,0.01,0,5,5,True
WIKI_sf1,HDBSCAN,0.05,5,0,5,True
WIKI_sf1,HDBSCAN,0.1,5,0,5,True
WIKI_sf1,HDBSCAN,0.3,5,0,5,True
WIKI_sf1,HDBSCAN,0.5,5,0,5,True
WIKI_sf1,MB_partial,0.01,0,5,5,True
WIKI_sf1,MB_partial,0.05,5,0,5,True
WIKI_sf1,MB_partial,0.1,5,0,5,True
WIKI_sf1,MB_partial,0.3,5,0,5,True
WIKI_sf1,MB_partial,0.5,5,0,5,True
WIKI_sf1,Hilbert,0.01,0,5,5,True
WIKI_sf1,Hilbert,0.05,5,0,5,True
WIKI_sf1,Hilbert,0.1,5,0,5,True
WIKI_sf1,Hilbert,0.3,5,0,5,True
WIKI_sf1,Hilbert,0.5,5,0,5,True
WIKI_sf1,sparse_rp,0.01,0,5,5,True
WIKI_sf1,sparse_rp,0.05,5,0,5,True
WIKI_sf1,sparse_rp,0.1,5,0,5,True
WIKI_sf1,sparse_rp,0.3,5,0,5,True
WIKI_sf1,sparse_rp,0.5,5,0,5,True
WIKI_sf1,Adaptive,0.01,0,5,5,True
WIKI_sf1,Adaptive,0.05,5,0,5,True
WIKI_sf1,Adaptive,0.1,5,0,5,True
WIKI_sf1,Adaptive,0.3,5,0,5,True
WIKI_sf1,Adaptive,0.5,5,0,5,True
WIKI_sf10,HDBSCAN,0.01,0,5,5,True
WIKI_sf10,HDBSCAN,0.05,5,0,5,True
WIKI_sf10,HDBSCAN,0.1,5,0,5,True
WIKI_sf10,HDBSCAN,0.3,5,0,5,True
WIKI_sf10,HDBSCAN,0.5,5,0,5,True
WIKI_sf10,MB_partial,0.01,0,5,5,True
WIKI_sf10,MB_partial,0.05,2,3,5,False
WIKI_sf10,MB_partial,0.1,5,0,5,True
WIKI_sf10,MB_partial,0.3,5,0,5,True
WIKI_sf10,MB_partial,0.5,3,2,5,False
WIKI_sf10,Hilbert,0.01,1,4,5,False
WIKI_sf10,Hilbert,0.05,4,1,5,False
WIKI_sf10,Hilbert,0.1,5,0,5,True
WIKI_sf10,Hilbert,0.3,5,0,5,True
WIKI_sf10,Hilbert,0.5,5,0,5,True
WIKI_sf10,sparse_rp,0.01,0,5,5,True
WIKI_sf10,sparse_rp,0.05,4,1,5,False
WIKI_sf10,sparse_rp,0.1,4,1,5,False
WIKI_sf10,sparse_rp,0.3,5,0,5,True
WIKI_sf10,sparse_rp,0.5,5,0,5,True
WIKI_sf10,Adaptive,0.01,0,5,5,True
WIKI_sf10,Adaptive,0.05,2,3,5,False
WIKI_sf10,Adaptive,0.1,4,1,5,False
WIKI_sf10,Adaptive,0.3,5,0,5,True
WIKI_sf10,Adaptive,0.5,5,0,5,True
YFCC_sf1,HDBSCAN,0.01,0,5,5,True
YFCC_sf1,HDBSCAN,0.05,5,0,5,True
YFCC_sf1,HDBSCAN,0.1,5,0,5,True
YFCC_sf1,HDBSCAN,0.3,5,0,5,True
YFCC_sf1,HDBSCAN,0.5,5,0,5,True
YFCC_sf1,MB_partial,0.01,0,5,5,True
YFCC_sf1,MB_partial,0.05,5,0,5,True
YFCC_sf1,MB_partial,0.1,5,0,5,True
YFCC_sf1,MB_partial,0.3,5,0,5,True
YFCC_sf1,MB_partial,0.5,5,0,5,True
YFCC_sf1,Hilbert,0.01,0,5,5,True
YFCC_sf1,Hilbert,0.05,5,0,5,True
YFCC_sf1,Hilbert,0.1,5,0,5,True
YFCC_sf1,Hilbert,0.3,5,0,5,True
YFCC_sf1,Hilbert,0.5,5,0,5,True
YFCC_sf1,sparse_rp,0.01,0,5,5,True
YFCC_sf1,sparse_rp,0.05,5,0,5,True
YFCC_sf1,sparse_rp,0.1,5,0,5,True
YFCC_sf1,sparse_rp,0.3,5,0,5,True
YFCC_sf1,sparse_rp,0.5,5,0,5,True
YFCC_sf1,Adaptive,0.01,0,5,5,True
YFCC_sf1,Adaptive,0.05,5,0,5,True
YFCC_sf1,Adaptive,0.1,5,0,5,True
YFCC_sf1,Adaptive,0.3,5,0,5,True
YFCC_sf1,Adaptive,0.5,5,0,5,True
YFCC_sf10,HDBSCAN,0.01,0,5,5,True
YFCC_sf10,HDBSCAN,0.05,5,0,5,True
YFCC_sf10,HDBSCAN,0.1,5,0,5,True
YFCC_sf10,HDBSCAN,0.3,5,0,5,True
YFCC_sf10,HDBSCAN,0.5,5,0,5,True
YFCC_sf10,MB_partial,0.01,0,5,5,True
YFCC_sf10,MB_partial,0.05,5,0,5,True
YFCC_sf10,MB_partial,0.1,5,0,5,True
YFCC_sf10,MB_partial,0.3,5,0,5,True
YFCC_sf10,MB_partial,0.5,5,0,5,True
YFCC_sf10,Hilbert,0.01,0,5,5,True
YFCC_sf10,Hilbert,0.05,5,0,5,True
YFCC_sf10,Hilbert,0.1,5,0,5,True
YFCC_sf10,Hilbert,0.3,5,0,5,True
YFCC_sf10,Hilbert,0.5,5,0,5,True
YFCC_sf10,sparse_rp,0.01,0,5,5,True
YFCC_sf10,sparse_rp,0.05,5,0,5,True
YFCC_sf10,sparse_rp,0.1,5,0,5,True
YFCC_sf10,sparse_rp,0.3,5,0,5,True
YFCC_sf10,sparse_rp,0.5,5,0,5,True
YFCC_sf10,Adaptive,0.01,0,5,5,True
YFCC_sf10,Adaptive,0.05,4,1,5,False
YFCC_sf10,Adaptive,0.1,5,0,5,True
YFCC_sf10,Adaptive,0.3,5,0,5,True
YFCC_sf10,Adaptive,0.5,5,0,5,True
