method,paradigm,resource_fittime,mean_delta,median_delta,std_delta,n_obs,n_cells,better,better_rate,on_frontier
chao_weighted,P3,11.031807610863133,-6.300595703323289,-6.2174372476248525,2.304064302738708,95,25,95,100.0,True
hilbert_real,P2,40.65610695136221,-6.535873564613522,-5.913867907433754,2.771157704461844,95,25,94,98.94736842105263,False
skilling_hilbert,P2,53.92426646263041,-6.33502581340676,-5.7468461171990795,2.657883811505039,94,24,94,100.0,False
ica_fastica,P4,20.93632427428631,-6.130795109566481,-5.694761920178356,2.4639632772559237,94,24,94,100.0,False
pca1d,P4,15.918399146262635,-6.045144165236646,-5.550670720318167,2.302006583080933,94,24,92,97.87234042553192,False
zorder_morton,P2,24.621921724461494,-5.874809853250594,-4.888541052586724,2.4478428806515815,94,24,93,98.93617021276596,False
hyperloglog,P9,53.22464694474873,-5.7508493331305734,-4.584766238821858,2.69591819831473,95,25,95,100.0,False
cum_sqrtf,P5,15.256070885252445,-5.140315173046878,-4.528344023345685,2.962949180504893,94,24,92,97.87234042553192,False
lavallee_hidiroglou,P5,15.57281415766858,-4.822245991571949,-4.4035784248823475,2.7863769681112176,94,24,89,94.68085106382979,False
sparse_rp,P4,2.9092077782279566,-3.685410700738893,-4.366529391071746,6.096278362648512,95,25,80,84.21052631578947,True
rsvd,P4,6.853334013451922,-4.363907150933298,-4.097624923321339,3.016572051829272,94,24,86,91.48936170212765,False
minibatch_partial,P1,16.989964655105105,14.06202505979283,-3.5788645342733965,119.74130613860534,94,24,75,79.7872340425532,False
rabitq_strat,P6,8.873971956841489,-2.665267836771351,-3.5624306120211022,3.5836375662223547,94,24,79,84.04255319148936,False
mhist2,P6,6.691356286089471,-3.1634372170823393,-3.4144811560450776,2.871539338136895,94,24,83,88.29787234042553,False
faiss_ivf,P2,17.74738883972168,-0.6944476909925557,-2.7014530698626475,7.282460895867187,94,24,65,69.14893617021278,False
gmm,P1,29.573102839449618,4.627382748624189,2.6765872906722077,10.14321727965302,94,24,38,40.42553191489361,False
