sel,cell,type_label,method,paradigm,delta_pct
0.001,A5-scale-sf1,Type 1,chao_weighted,P3,-5.258947407817247
0.001,A5-scale-sf1,Type 1,hilbert_real,P2,-1.2863238952191716
0.001,A5-scale-sf1,Type 1,skilling_hilbert,P2,-7.379334295641695
0.001,A5-scale-sf1,Type 1,ica_fastica,P4,-3.6464649649919907
0.001,A5-scale-sf1,Type 1,pca1d,P4,-5.173395613679452
0.001,A5-scale-sf1,Type 1,zorder_morton,P2,-6.981021805057234
0.001,A5-scale-sf1,Type 1,hyperloglog,P9,-4.90944415816061
0.001,A5-scale-sf1,Type 1,cum_sqrtf,P5,-1.431213129865955
0.001,A5-scale-sf1,Type 1,lavallee_hidiroglou,P5,-2.3551938197815465
0.001,A5-scale-sf1,Type 1,sparse_rp,P4,-5.601129335795642
0.001,A5-scale-sf1,Type 1,rsvd,P4,-0.081577508326389
0.001,A5-scale-sf1,Type 1,minibatch_partial,P1,-0.2107547570091454
0.001,A5-scale-sf1,Type 1,rabitq_strat,P6,-3.549696227427469
0.001,A5-scale-sf1,Type 1,mhist2,P6,3.400966993120337
0.001,A5-scale-sf1,Type 1,faiss_ivf,P2,2.8530593377530904
0.001,A5-scale-sf1,Type 1,gmm,P1,10.709561987033027
0.001,A5-scale-sf1-SIFT,Type 1,chao_weighted,P3,-9.92938982821865
0.001,A5-scale-sf1-SIFT,Type 1,hilbert_real,P2,-8.23630661024358
0.001,A5-scale-sf1-SIFT,Type 1,skilling_hilbert,P2,-9.119751494504296
0.001,A5-scale-sf1-SIFT,Type 1,ica_fastica,P4,-5.681785501876173
0.001,A5-scale-sf1-SIFT,Type 1,pca1d,P4,-5.598386601552102
0.001,A5-scale-sf1-SIFT,Type 1,zorder_morton,P2,-6.0721503012183025
0.001,A5-scale-sf1-SIFT,Type 1,hyperloglog,P9,-4.269507183157001
0.001,A5-scale-sf1-SIFT,Type 1,cum_sqrtf,P5,-2.059177126244786
0.001,A5-scale-sf1-SIFT,Type 1,lavallee_hidiroglou,P5,0.15327974045660878
0.001,A5-scale-sf1-SIFT,Type 1,sparse_rp,P4,-8.148515606467031
0.001,A5-scale-sf1-SIFT,Type 1,rsvd,P4,-3.088932005252035
0.001,A5-scale-sf1-SIFT,Type 1,minibatch_partial,P1,-2.234934985130037
0.001,A5-scale-sf1-SIFT,Type 1,rabitq_strat,P6,-7.334867765580151
0.001,A5-scale-sf1-SIFT,Type 1,mhist2,P6,-4.216451054835602
0.001,A5-scale-sf1-SIFT,Type 1,faiss_ivf,P2,-5.45406191989291
0.001,A5-scale-sf1-SIFT,Type 1,gmm,P1,31.169940412300036
0.001,A5-scale-sf1-SSN,Type 1,chao_weighted,P3,-6.662989434113513
0.001,A5-scale-sf1-SSN,Type 1,hilbert_real,P2,-8.240959738121205
0.001,A5-scale-sf1-SSN,Type 1,skilling_hilbert,P2,-4.452963207153529
0.001,A5-scale-sf1-SSN,Type 1,ica_fastica,P4,-3.9779135779027555
0.001,A5-scale-sf1-SSN,Type 1,pca1d,P4,-7.145713150587004
0.001,A5-scale-sf1-SSN,Type 1,zorder_morton,P2,-8.075634466323642
0.001,A5-scale-sf1-SSN,Type 1,hyperloglog,P9,-3.6714956529689124
0.001,A5-scale-sf1-SSN,Type 1,cum_sqrtf,P5,-3.5036257806719404
0.001,A5-scale-sf1-SSN,Type 1,lavallee_hidiroglou,P5,-4.213458112722315
0.001,A5-scale-sf1-SSN,Type 1,sparse_rp,P4,-4.136976916052489
0.001,A5-scale-sf1-SSN,Type 1,rsvd,P4,-4.78682452036166
0.001,A5-scale-sf1-SSN,Type 1,minibatch_partial,P1,-5.752625557501306
0.001,A5-scale-sf1-SSN,Type 1,rabitq_strat,P6,-6.591949259598815
0.001,A5-scale-sf1-SSN,Type 1,mhist2,P6,-3.5409377728969558
0.001,A5-scale-sf1-SSN,Type 1,faiss_ivf,P2,-4.059492248332289
0.001,A5-scale-sf1-SSN,Type 1,gmm,P1,0.48982982126178704
0.001,A6-WIKI-sf1,Type 1,chao_weighted,P3,-6.831077419930087
0.001,A6-WIKI-sf1,Type 1,hilbert_real,P2,-2.132659392973032
0.001,A6-WIKI-sf1,Type 1,skilling_hilbert,P2,-2.828153633863261
0.001,A6-WIKI-sf1,Type 1,ica_fastica,P4,-7.872799799460337
0.001,A6-WIKI-sf1,Type 1,pca1d,P4,-4.992353382815544
0.001,A6-WIKI-sf1,Type 1,zorder_morton,P2,-7.283392500815131
0.001,A6-WIKI-sf1,Type 1,hyperloglog,P9,-5.276082948633383
0.001,A6-WIKI-sf1,Type 1,cum_sqrtf,P5,-4.972660874083813
0.001,A6-WIKI-sf1,Type 1,lavallee_hidiroglou,P5,-0.32353333392884015
0.001,A6-WIKI-sf1,Type 1,sparse_rp,P4,-6.372406207144518
0.001,A6-WIKI-sf1,Type 1,rsvd,P4,-3.2480176725888206
0.001,A6-WIKI-sf1,Type 1,minibatch_partial,P1,0.4298587758493845
0.001,A6-WIKI-sf1,Type 1,rabitq_strat,P6,-8.293056677259598
0.001,A6-WIKI-sf1,Type 1,mhist2,P6,-5.863338239242713
0.001,A6-WIKI-sf1,Type 1,faiss_ivf,P2,-4.92627243020376
0.001,A6-WIKI-sf1,Type 1,gmm,P1,2.8561348826586412
0.001,A7-YFCC-sf1,Type 1,chao_weighted,P3,-7.207710808287985
0.001,A7-YFCC-sf1,Type 1,hilbert_real,P2,-4.775080303901726
0.001,A7-YFCC-sf1,Type 1,skilling_hilbert,P2,-4.600325012428264
0.001,A7-YFCC-sf1,Type 1,ica_fastica,P4,-7.257050619712286
0.001,A7-YFCC-sf1,Type 1,pca1d,P4,-6.412282284798891
0.001,A7-YFCC-sf1,Type 1,zorder_morton,P2,-3.917346859382306
0.001,A7-YFCC-sf1,Type 1,hyperloglog,P9,-1.7834225399268295
0.001,A7-YFCC-sf1,Type 1,cum_sqrtf,P5,-9.41724448757965
0.001,A7-YFCC-sf1,Type 1,lavallee_hidiroglou,P5,-4.427946388429438
0.001,A7-YFCC-sf1,Type 1,sparse_rp,P4,-5.848594350623471
0.001,A7-YFCC-sf1,Type 1,rsvd,P4,-2.121778661303672
0.001,A7-YFCC-sf1,Type 1,minibatch_partial,P1,1.9140866639055893
0.001,A7-YFCC-sf1,Type 1,rabitq_strat,P6,-2.4057553561674636
0.001,A7-YFCC-sf1,Type 1,mhist2,P6,-1.8593041426256114
0.001,A7-YFCC-sf1,Type 1,faiss_ivf,P2,2.991187153976729
0.001,A7-YFCC-sf1,Type 1,gmm,P1,5.871452471353736
0.001,A5-scale-sf10,Type 2,chao_weighted,P3,-7.917933488080932
0.001,A5-scale-sf10,Type 2,hilbert_real,P2,-4.216828463913449
0.001,A5-scale-sf10,Type 2,skilling_hilbert,P2,-2.280810337256807
0.001,A5-scale-sf10,Type 2,ica_fastica,P4,-7.75489529091309
0.001,A5-scale-sf10,Type 2,pca1d,P4,-4.782842984000732
0.001,A5-scale-sf10,Type 2,zorder_morton,P2,-4.009966344205939
0.001,A5-scale-sf10,Type 2,hyperloglog,P9,-4.584766238821858
0.001,A5-scale-sf10,Type 2,cum_sqrtf,P5,-7.14740823505368
0.001,A5-scale-sf10,Type 2,lavallee_hidiroglou,P5,-5.974842239514214
0.001,A5-scale-sf10,Type 2,sparse_rp,P4,-8.097396540505931
0.001,A5-scale-sf10,Type 2,rsvd,P4,-3.9243292018356613
0.001,A5-scale-sf10,Type 2,minibatch_partial,P1,-7.595195209778656
0.001,A5-scale-sf10,Type 2,rabitq_strat,P6,-2.1149980125139285
0.001,A5-scale-sf10,Type 2,mhist2,P6,1.2765675451531877
0.001,A5-scale-sf10,Type 2,faiss_ivf,P2,-1.276085536771267
0.001,A5-scale-sf10,Type 2,gmm,P1,3.4626490772220095
0.001,A5-scale-sf10-SIFT,Type 2,chao_weighted,P3,-6.2299911123870935
0.001,A5-scale-sf10-SIFT,Type 2,hilbert_real,P2,-7.626701943835888
0.001,A5-scale-sf10-SIFT,Type 2,skilling_hilbert,P2,-3.584871658918755
0.001,A5-scale-sf10-SIFT,Type 2,ica_fastica,P4,-4.68970935419421
0.001,A5-scale-sf10-SIFT,Type 2,pca1d,P4,-8.50170887604177
0.001,A5-scale-sf10-SIFT,Type 2,zorder_morton,P2,-8.14731046179762
0.001,A5-scale-sf10-SIFT,Type 2,hyperloglog,P9,-7.418129240954238
0.001,A5-scale-sf10-SIFT,Type 2,cum_sqrtf,P5,-3.362048784442238
0.001,A5-scale-sf10-SIFT,Type 2,lavallee_hidiroglou,P5,2.197917675532453
0.001,A5-scale-sf10-SIFT,Type 2,sparse_rp,P4,-8.727894282831096
0.001,A5-scale-sf10-SIFT,Type 2,rsvd,P4,0.5716330331293537
0.001,A5-scale-sf10-SIFT,Type 2,minibatch_partial,P1,7.8051160984845485
0.001,A5-scale-sf10-SIFT,Type 2,rabitq_strat,P6,1.6509186246763548
0.001,A5-scale-sf10-SIFT,Type 2,mhist2,P6,-1.5736841307654315
0.001,A5-scale-sf10-SIFT,Type 2,faiss_ivf,P2,5.267379541394506
0.001,A5-scale-sf10-SIFT,Type 2,gmm,P1,24.377428623298066
0.001,A5-scale-sf10-SSN,Type 2,chao_weighted,P3,-6.931895876332457
0.001,A5-scale-sf10-SSN,Type 2,hilbert_real,P2,-8.387511817522604
0.001,A5-scale-sf10-SSN,Type 2,skilling_hilbert,P2,-4.358505975372815
0.001,A5-scale-sf10-SSN,Type 2,ica_fastica,P4,-6.751119413799427
0.001,A5-scale-sf10-SSN,Type 2,pca1d,P4,-6.106240747359992
0.001,A5-scale-sf10-SSN,Type 2,zorder_morton,P2,-8.650737541748077
0.001,A5-scale-sf10-SSN,Type 2,hyperloglog,P9,-2.7840118440124235
