method,paradigm,mean_delta,std_delta,n_obs,n_cells,better,better_rate,mean_size,size_n
pca1d,P4,-8.713599399531397,4.91722048246072,70,24,70,100.0,2150.832926829268,82
sparse_rp,P4,-8.710284525996308,4.891637581474769,70,24,70,100.0,2040.1473684210525,95
zorder_morton,P2,-8.6531105361412,5.640968509407069,70,24,69,98.57142857142858,2065.080487804878,82
hilbert_real,P2,-8.650190152069825,4.991454652069045,70,24,70,100.0,1891.4126315789474,95
ica_fastica,P4,-8.513226412278145,5.660678187361787,70,24,69,98.57142857142858,2178.728048780488,82
skilling_hilbert,P2,-8.476422556957719,5.743055041166408,70,24,66,94.28571428571428,2099.119512195122,82
chao_weighted,P3,-8.387116843014809,5.4624033398099066,70,24,69,98.57142857142858,1851.0873684210526,95
cum_sqrtf,P5,-7.781547036118915,5.244444073917346,70,24,69,98.57142857142858,2035.8963414634147,82
hyperloglog,P9,-7.616007119137713,5.488529318626733,70,24,67,95.71428571428572,1943.3242105263157,95
rsvd,P4,-7.394873301484342,5.086931385411219,70,24,70,100.0,2357.5024390243902,82
lavallee_hidiroglou,P5,-7.353277582183312,5.723977360265134,70,24,65,92.85714285714286,2016.1939024390242,82
mhist2,P6,-5.842881552771224,5.777359329216864,70,24,60,85.71428571428571,2372.8024390243904,82
rabitq_strat,P6,-5.7284826865737815,6.138594273505992,70,24,61,87.14285714285714,2213.125609756097,82
faiss_ivf,P2,-2.0714269192010026,12.977136208993596,70,24,54,77.14285714285715,2447.5548780487807,82
gmm,P1,1.3804300473630375,9.459805725625507,70,24,40,57.14285714285714,2399.332926829268,82
minibatch_partial,P1,3.469098863587485,48.72483750713026,70,24,60,85.71428571428571,2360.3926829268294,82
