sample_selection_method,paradigm,mean_delta,n_cells,std_delta,fit_elapsed
zorder_morton,P2,-11.618100254215143,8,2.9991657422224094,0.1
idistance,P2,-11.12644673425944,8,2.9726526358704453,0.5
skilling_hilbert,P2,-10.87930272315314,8,2.0166311484591692,0.5
neuram,P4,-10.833231131423448,8,1.6797170758079787,0.5
cum_sqrtf,P5,-10.643464779941255,8,2.23196838923569,0.5
ica_fastica,P4,-10.525912569529329,8,3.266533008837816,1.0
lavallee_hidiroglou,P5,-10.489843517967483,8,2.6471088709836015,0.5
pca1d,P4,-10.414972701611509,8,2.3507893376670093,0.5
minibatch,P1,-10.161474775088369,8,2.358387519364086,0.5
chao_weighted,P3,-10.054994386471067,8,3.8965741236418965,0.5
vinecopula,P4,-10.024311054451399,8,2.725765699808045,1.5
hilbert,P2,-9.952812887650294,8,1.6175323327301556,0.1
opq,P6,-9.945422237693778,8,3.086412960177553,2.5
lpm2,P2,-9.930992971031271,8,2.1158504446058193,0.5
thompson_sampling,P3,-9.573604979419462,8,2.7775716817758234,0.5
pq,P6,-9.541575929692183,8,2.590302636115682,1.5
sparse_rp,P4,-8.99819841593569,8,3.0915830413355727,0.1
rsvd,P4,-8.917250250853126,8,2.8186535737170013,0.5
hilbert_real,P2,-8.875336998153282,8,2.941272934427104,0.5
mfmc,P3,-8.621307803525852,8,2.8255124877565563,0.5
lpm1_proper,P2,-8.294815618092175,8,3.8806330714271207,0.5
hyperloglog,P9,-8.232354731720807,8,2.7122394687520215,0.5
minibatch_partial,P1,-7.637935467785066,8,3.0314087742886926,0.5
tucker,P4,-6.431495014417299,8,2.7095529758958885,1.0
factor_join,P4,-5.881585498462915,8,5.467962162275136,0.5
mhist2,P6,-5.752120761095915,8,4.2228946065146395,0.5
coreset,P1,-5.582523263310842,8,3.082992679109294,0.5
hkbu_repsample,P1,-5.276262452976541,8,4.554175119782612,0.5
rabitq_strat,P6,-5.223915361414139,8,4.658286959589388,0.5
faiss_ivf,P2,-4.325382337878217,8,3.9790676432895355,1.0
banditucb1,P1,-4.2631682867249605,8,3.61614796286765,0.5
epsilon_net,P2,-3.714882852607309,8,3.7441810586599105,1.0
idistance_neyman,P2,-3.499703810125442,8,4.4592127609025765,1.0
kmeans_neyman,P1,-2.512049402348793,8,7.183646432088098,0.5
gmm,P1,2.539106757933198,8,6.181715487263398,0.8
cocluster_nystrom,P6,17.473641159814203,8,3.669285984937957,1.5
lp_bound,P5,17.476944931711593,8,23.967202005599315,0.5
wavelet_hist,P6,59.32484134009276,8,14.638294502826048,0.5
