sel,cell,type_group,method,paradigm,delta_pct
0.001,A5-scale-sf1,Type 1,sparse_rp,P4,-7.045324122383566
0.001,A5-scale-sf1,Type 1,chao_weighted,P3,-6.585434608106193
0.001,A5-scale-sf1,Type 1,hilbert_real,P2,-6.61667276206838
0.001,A5-scale-sf1,Type 1,hyperloglog,P9,-6.095196620766206
0.001,A5-scale-sf1,Type 1,pca1d,P4,-4.264814472990123
0.001,A5-scale-sf1,Type 1,zorder_morton,P2,-6.191957630419033
0.001,A5-scale-sf1,Type 1,skilling_hilbert,P2,-4.82459616680261
0.001,A5-scale-sf1,Type 1,faiss_ivf,P2,0.12521907104391755
0.001,A5-scale-sf1,Type 1,ica_fastica,P4,-4.531704948612916
0.001,A5-scale-sf1,Type 1,rsvd,P4,-4.9553815815945494
0.001,A5-scale-sf1,Type 1,cum_sqrtf,P5,-5.668050831543885
0.001,A5-scale-sf1,Type 1,lavallee_hidiroglou,P5,-4.258614512943341
0.001,A5-scale-sf1,Type 1,rabitq_strat,P6,-6.529309628864709
0.001,A5-scale-sf1,Type 1,mhist2,P6,1.200972544808708
0.001,A5-scale-sf1,Type 1,minibatch_partial,P1,-0.07787976514025921
0.001,A5-scale-sf1,Type 1,gmm,P1,5.496147206788534
0.001,A5-scale-sf1-SIFT,Type 1,sparse_rp,P4,-30.081607370013835
0.001,A5-scale-sf1-SIFT,Type 1,chao_weighted,P3,-31.485286514219343
0.001,A5-scale-sf1-SIFT,Type 1,hilbert_real,P2,-30.51468210002644
0.001,A5-scale-sf1-SIFT,Type 1,hyperloglog,P9,-34.95984356186038
0.001,A5-scale-sf1-SIFT,Type 1,pca1d,P4,-32.51254332302199
0.001,A5-scale-sf1-SIFT,Type 1,zorder_morton,P2,-34.77211819624985
0.001,A5-scale-sf1-SIFT,Type 1,skilling_hilbert,P2,-33.51875275088237
0.001,A5-scale-sf1-SIFT,Type 1,faiss_ivf,P2,-28.87425282706069
0.001,A5-scale-sf1-SIFT,Type 1,ica_fastica,P4,-31.62069452144227
0.001,A5-scale-sf1-SIFT,Type 1,rsvd,P4,-32.13823383875059
0.001,A5-scale-sf1-SIFT,Type 1,cum_sqrtf,P5,-28.560460951186492
0.001,A5-scale-sf1-SIFT,Type 1,lavallee_hidiroglou,P5,-30.951898791472882
0.001,A5-scale-sf1-SIFT,Type 1,rabitq_strat,P6,-33.02375205555352
0.001,A5-scale-sf1-SIFT,Type 1,mhist2,P6,-31.66678049744163
0.001,A5-scale-sf1-SIFT,Type 1,minibatch_partial,P1,-30.584298625927573
0.001,A5-scale-sf1-SIFT,Type 1,gmm,P1,-0.5264437413040935
0.001,A5-scale-sf1-SSN,Type 1,sparse_rp,P4,-6.716238579831668
0.001,A5-scale-sf1-SSN,Type 1,chao_weighted,P3,-1.660357973423028
0.001,A5-scale-sf1-SSN,Type 1,hilbert_real,P2,-2.4788913037103613
0.001,A5-scale-sf1-SSN,Type 1,hyperloglog,P9,-2.975972226049461
0.001,A5-scale-sf1-SSN,Type 1,pca1d,P4,-4.860147652362049
0.001,A5-scale-sf1-SSN,Type 1,zorder_morton,P2,-4.7497949164267
0.001,A5-scale-sf1-SSN,Type 1,skilling_hilbert,P2,-3.0807175662678548
0.001,A5-scale-sf1-SSN,Type 1,faiss_ivf,P2,-4.029580368495877
0.001,A5-scale-sf1-SSN,Type 1,ica_fastica,P4,-1.5489540729812041
0.001,A5-scale-sf1-SSN,Type 1,rsvd,P4,-6.3990042991822875
0.001,A5-scale-sf1-SSN,Type 1,cum_sqrtf,P5,-2.869869525856234
