sel,qid,true_card,pg_default,est_b1,est_caseB_median
0.001,0,7603.0,2666666.6666666665,0.0,3456.7763157894733
0.001,1,8013.0,2666666.6666666665,4155.844155844156,5792.174709501025
0.001,2,8090.0,2666666.6666666665,10389.610389610392,8514.576247436775
0.001,3,7246.0,2666666.6666666665,4155.844155844156,4948.384577922078
0.001,4,7141.0,2666666.6666666665,6233.766233766235,7842.119301093644
0.01,0,79727.0,2666666.6666666665,76883.11688311689,76704.71857313739
0.01,1,83937.0,2666666.6666666665,68571.4285714286,74367.63810150378
0.01,2,78977.0,2666666.6666666665,108051.94805194806,99183.85323650035
0.01,3,79065.0,2666666.6666666665,74805.19480519483,75096.21463943951
0.01,4,77764.0,2666666.6666666665,87272.72727272726,82160.68968899522
0.1,0,788333.0,2666666.6666666665,822857.142857143,791586.432612782
0.1,1,807643.0,2666666.6666666665,716883.116883117,763971.2951520848
0.1,2,807648.0,2666666.6666666665,754285.7142857143,784142.8854323309
0.1,3,795615.0,2666666.6666666665,683636.3636363636,752344.5318181819
0.1,4,797968.0,2666666.6666666665,816623.3766233766,817153.798838004
