cell,query,qid,true_card,D,기본엔진,베이스라인,결합13평균,정답주입,n_caseb,speedup_정답
Q3·질의0,q3,0,7603.0,0.8612,7242.238642620998,1018.0815099290787,989.3889498577271,999.9758604054267,13,7.242413471545933
Q3·질의1,q3,1,8013.0,0.9569,6819.946761135585,936.7580147854125,949.5467610806006,935.4200064688205,13,7.290785651336086
Q3·질의2,q3,2,8090.0,0.8783,8119.325303212883,1217.4733545129689,1126.8295903081216,1097.054929114305,13,7.401019846625118
Q9·질의0,q9,0,7603.0,0.8612,2691.3302009298395,894.6436603123752,906.0163332911252,912.2588514672735,13,2.9501826116579903
Q9·질의1,q9,1,8013.0,0.9569,2417.0675044342015,860.9142776292103,831.9973389104217,825.9000381669746,13,2.926586018567947
Q9·질의2,q9,2,8090.0,0.8783,2650.9714973732257,915.287542828502,903.6518545248186,894.4372242907635,13,2.9638429901833425
Q10·질의0,q10,0,7603.0,0.8612,6303.010772224157,973.8501815411908,989.0703111997192,959.9889850136466,13,6.565711555674317
Q10·질의1,q10,1,8013.0,0.9569,6703.672568591383,1065.42534493089,1047.241652417465,1042.215746227437,13,6.432135182045578
Q10·질의2,q10,2,8090.0,0.8783,6609.147774548126,1060.1873403647915,1060.0573351991102,1065.0455661637423,13,6.205507054833391
Q12·질의0,q12,0,7603.0,0.8612,5965.83036121984,952.6424227783887,983.0222986790093,987.5461851389936,13,6.041064662084812
Q12·질의1,q12,1,8013.0,0.9569,5364.983943058178,899.2288649046363,889.6417756421635,901.6655968376793,13,5.95008167315493
Q12·질의2,q12,2,8090.0,0.8783,5313.890977529809,830.220381075588,850.103892815112,867.1943497342559,13,6.127681734963107
