trial,query,q_idx,threshold,true_card,wall_ms
0,q12,0,1.08,2265,3186.7470741271973
0,q19,0,1.2,8070,61.667442321777344
0,q20,0,1.08,2265,60.245513916015625
0,q42,0,1.2,8070,63.036203384399414
0,q72,0,1.08,2265,61.93828582763672
0,q98,0,1.3,18920,63.86899948120117
0,q07,1,1.08,996,62.00838088989258
0,q12,1,1.08,996,61.9511604309082
0,q19,1,1.2,5556,62.00051307678223
0,q20,1,1.08,996,61.99073791503906
0,q42,1,1.2,5556,62.10660934448242
0,q72,1,1.08,996,62.012672424316406
0,q98,1,1.3,19951,64.92137908935547
0,q07,2,1.08,2500,62.58583068847656
0,q12,2,1.08,2500,62.54458427429199
0,q19,2,1.2,10812,63.79866600036621
0,q20,2,1.08,2500,62.53552436828613
0,q42,2,1.2,10812,64.23521041870117
0,q72,2,1.08,2500,63.03977966308594
0,q98,2,1.3,32334,67.15559959411621
0,q07,3,1.08,5258,63.40813636779785
0,q12,3,1.08,5258,63.620805740356445
0,q19,3,1.2,13020,64.9712085723877
0,q20,3,1.08,5258,63.7667179107666
0,q42,3,1.2,13020,65.36173820495605
0,q72,3,1.08,5258,64.01443481445312
0,q98,3,1.3,29494,67.6417350769043
0,q07,4,1.08,6110,64.43166732788086
0,q12,4,1.08,6110,64.24403190612793
0,q19,4,1.2,15015,63.63797187805176
0,q20,4,1.08,6110,64.62526321411133
0,q42,4,1.2,15015,65.8254623413086
0,q72,4,1.08,6110,65.1712417602539
0,q98,4,1.3,32393,69.00405883789062
0,q07,5,1.08,1044,64.43119049072266
0,q12,5,1.08,1044,65.0179386138916
0,q19,5,1.2,3489,65.05632400512695
0,q20,5,1.08,1044,61.772823333740234
0,q42,5,1.2,3489,65.70029258728027
0,q72,5,1.08,1044,65.13500213623047
0,q98,5,1.3,11402,65.14382362365723
0,q07,6,1.08,1619,65.0179386138916
0,q12,6,1.08,1619,62.03722953796387
0,q19,6,1.2,10117,67.08121299743652
0,q20,6,1.08,1619,62.93892860412598
0,q42,6,1.2,10117,66.67089462280273
0,q72,6,1.08,1619,66.09296798706055
0,q98,6,1.3,28850,69.5183277130127
0,q07,7,1.08,795,65.98520278930664
0,q12,7,1.08,795,66.04480743408203
0,q19,7,1.2,7736,66.97559356689453
0,q20,7,1.08,795,66.18595123291016
0,q42,7,1.2,7736,63.88974189758301
0,q72,7,1.08,795,61.91301345825195
0,q98,7,1.3,32279,70.71781158447266
0,q07,8,1.08,1170,66.85948371887207
0,q12,8,1.08,1170,66.56455993652344
0,q19,8,1.2,5188,67.38591194152832
0,q20,8,1.08,1170,66.64633750915527
0,q42,8,1.2,5188,66.42556190490723
0,q72,8,1.08,1170,61.81621551513672
0,q98,8,1.3,13809,67.79623031616211
0,q07,9,1.08,6535,66.97988510131836
0,q12,9,1.08,6535,63.225746154785156
0,q19,9,1.2,14522,67.76237487792969
0,q20,9,1.08,6535,66.6952133178711
0,q42,9,1.2,14522,68.08900833129883
0,q72,9,1.08,6535,62.84594535827637
0,q98,9,1.3,28099,64.62502479553223
0,q07,10,1.08,404,65.11354446411133
0,q12,10,1.08,404,64.67819213867188
0,q19,10,1.2,5747,65.25492668151855
0,q20,10,1.08,404,64.28980827331543
0,q42,10,1.2,5747,65.23871421813965
0,q72,10,1.08,404,64.35799598693848
0,q98,10,1.3,28847,68.13931465148926
0,q07,11,1.08,3040,64.50271606445312
0,q12,11,1.08,3040,64.44263458251953
0,q19,11,1.2,4308,69.17238235473633
0,q20,11,1.08,3040,64.28122520446777
0,q42,11,1.2,4308,64.00609016418457
0,q72,11,1.08,3040,63.78674507141113
0,q98,11,1.3,9705,61.930179595947266
0,q07,12,1.08,3183,55.37128448486328
0,q12,12,1.08,3183,49.31974411010742
0,q19,12,1.2,6469,48.94399642944336
0,q20,12,1.08,3183,48.36845397949219
0,q42,12,1.2,6469,47.49798774719238
0,q72,12,1.08,3183,48.29907417297363
0,q98,12,1.3,17436,49.97873306274414
0,q07,13,1.08,10443,47.09577560424805
0,q12,13,1.08,10443,49.008846282958984
0,q19,13,1.2,19511,50.31585693359375
0,q20,13,1.08,10443,49.336910247802734
0,q42,13,1.2,19511,50.11606216430664
0,q72,13,1.08,10443,48.92730712890625
0,q98,13,1.3,33554,51.928043365478516
0,q07,14,1.08,1184,47.76120185852051
0,q12,14,1.08,1184,47.681570053100586
0,q19,14,1.2,3407,48.02083969116211
0,q20,14,1.08,1184,47.52469062805176
0,q42,14,1.2,3407,47.61362075805664
0,q72,14,1.08,1184,47.12057113647461
0,q98,14,1.3,10794,46.212196350097656
0,q07,15,1.08,206,46.45586013793945
0,q12,15,1.08,206,46.80180549621582
0,q19,15,1.2,578,44.270992279052734
0,q20,15,1.08,206,44.29197311401367
0,q42,15,1.2,578,44.54612731933594
0,q72,15,1.08,206,47.01828956604004
0,q98,15,1.3,2364,47.545671463012695
0,q07,16,1.08,1377,47.14083671569824
0,q12,16,1.08,1377,47.2569465637207
0,q19,16,1.2,11253,48.86269569396973
0,q20,16,1.08,1377,47.43075370788574
0,q42,16,1.2,11253,48.73847961425781
0,q72,16,1.08,1377,47.45125770568848
0,q98,16,1.3,34220,53.22146415710449
0,q07,17,1.08,1780,50.02403259277344
0,q12,17,1.08,1780,52.3838996887207
0,q19,17,1.2,8750,61.630964279174805
0,q20,17,1.08,1780,63.66682052612305
0,q42,17,1.2,8750,52.29067802429199
0,q72,17,1.08,1780,55.741310119628906
0,q98,17,1.3,26453,64.31126594543457
0,q07,18,1.08,4640,65.57464599609375
0,q12,18,1.08,4640,63.22836875915527
0,q19,18,1.2,13812,67.94071197509766
0,q20,18,1.08,4640,63.890933990478516
0,q42,18,1.2,13812,65.50741195678711
0,q72,18,1.08,4640,64.37540054321289
0,q98,18,1.3,34628,49.84760284423828
0,q07,19,1.08,224,35.51673889160156
0,q12,19,1.08,224,33.03074836730957
0,q19,19,1.2,3397,33.07962417602539
0,q20,19,1.08,224,33.09321403503418
0,q42,19,1.2,3397,33.188819885253906
0,q72,19,1.08,224,33.0808162689209
0,q98,19,1.3,21063,34.53707695007324
1,q12,0,1.08,2265,93.27435493469238
1,q19,0,1.2,8070,53.835391998291016
1,q20,0,1.08,2265,55.83524703979492
1,q42,0,1.2,8070,59.14711952209473
1,q72,0,1.08,2265,69.98920440673828
1,q98,0,1.3,18920,72.16405868530273
