mode,sel,diff_1m_mean,diff_1m_lo,diff_1m_hi,diff_8m_mean,diff_8m_lo,diff_8m_hi,same_sign,ratio_8m_1m
equal,0.01,3.393,-6.708,13.039,0.073,-4.216,5.197,True,0.021
equal,0.05,-4.246,-5.941,-2.55,-0.89,-3.202,1.344,True,0.21
equal,0.1,-3.21,-4.818,-2.107,-0.087,-1.307,0.85,True,0.027
equal,0.3,-1.921,-2.49,-1.371,-0.091,-0.709,0.587,True,0.047
equal,0.5,-0.992,-1.321,-0.664,0.231,-0.143,0.605,False,-0.233
proportional,0.01,-6.073,-12.695,0.295,-6.275,-10.563,-1.987,True,1.033
proportional,0.05,-4.856,-6.763,-2.585,0.493,-1.735,2.945,False,-0.102
proportional,0.1,-4.399,-5.835,-2.962,0.455,-0.283,1.049,False,-0.104
proportional,0.3,-1.991,-2.698,-1.362,-0.587,-1.298,0.048,True,0.295
proportional,0.5,-0.934,-1.249,-0.494,0.153,-0.473,0.779,False,-0.164
neyman,0.01,-2.248,-10.047,5.246,-3.139,-9.249,3.563,True,1.396
neyman,0.05,-4.342,-6.009,-1.987,-1.507,-3.163,-0.23,True,0.347
neyman,0.1,-3.536,-4.618,-2.455,-0.233,-2.359,2.156,True,0.066
neyman,0.3,-1.647,-2.114,-1.229,-0.551,-1.293,0.09,True,0.335
neyman,0.5,-0.973,-1.484,-0.539,-0.131,-0.456,0.358,True,0.135
anti_neyman,0.01,-1.178,-7.344,4.898,-4.528,-10.068,0.498,True,3.845
anti_neyman,0.05,-5.686,-7.58,-2.394,0.603,-0.812,2.073,False,-0.106
anti_neyman,0.1,-3.324,-5.157,-1.516,0.237,-1.549,2.063,False,-0.071
anti_neyman,0.3,-1.975,-2.807,-1.23,-0.252,-0.853,0.302,True,0.128
anti_neyman,0.5,-1.231,-1.539,-0.829,-0.034,-0.49,0.49,True,0.028
