scale,sel,mode,n_cells,mean_q_error,median_q_error,std_q_error
1M,0.01,bernoulli,500,1.7034,1.2987,0.7805
1M,0.01,equal,500,1.6541,1.4072,0.7283
1M,0.01,proportional,500,1.6268,1.3049,0.7323
1M,0.01,neyman,500,1.607,1.3541,0.6958
1M,0.01,anti_neyman,500,1.6339,1.3749,0.7208
1M,0.05,bernoulli,500,1.2545,1.2031,0.2397
1M,0.05,equal,500,1.1896,1.1426,0.1768
1M,0.05,proportional,500,1.1798,1.1349,0.1666
1M,0.05,neyman,500,1.1835,1.1405,0.189
1M,0.05,anti_neyman,500,1.1668,1.1224,0.1578
1M,0.1,bernoulli,500,1.1639,1.1324,0.1414
1M,0.1,equal,500,1.1213,1.0968,0.0991
1M,0.1,proportional,500,1.1105,1.0849,0.1017
1M,0.1,neyman,500,1.1163,1.0922,0.0972
1M,0.1,anti_neyman,500,1.1135,1.0927,0.0931
1M,0.3,bernoulli,500,1.0814,1.0649,0.0643
1M,0.3,equal,500,1.0562,1.046,0.0444
1M,0.3,proportional,500,1.0538,1.0453,0.0449
1M,0.3,neyman,500,1.0577,1.0489,0.0433
1M,0.3,anti_neyman,500,1.0548,1.0449,0.0442
1M,0.5,bernoulli,500,1.0507,1.0405,0.0409
1M,0.5,equal,500,1.0373,1.0309,0.0294
1M,0.5,proportional,500,1.0362,1.0318,0.0276
1M,0.5,neyman,500,1.0375,1.0311,0.0291
1M,0.5,anti_neyman,500,1.0336,1.0287,0.025
8M,0.01,bernoulli,500,1.6299,1.3436,0.7197
8M,0.01,equal,500,1.6646,1.4175,0.8412
8M,0.01,proportional,500,1.6564,1.3274,0.7637
8M,0.01,neyman,500,1.5985,1.3166,0.7058
8M,0.01,anti_neyman,500,1.6321,1.3329,0.7379
8M,0.05,bernoulli,500,1.2272,1.181,0.252
8M,0.05,equal,500,1.2163,1.148,0.2191
8M,0.05,proportional,500,1.214,1.1629,0.2012
8M,0.05,neyman,500,1.2072,1.1618,0.1843
8M,0.05,anti_neyman,500,1.22,1.1569,0.2259
8M,0.1,bernoulli,500,1.1407,1.1062,0.1325
8M,0.1,equal,500,1.1397,1.1117,0.1217
8M,0.1,proportional,500,1.1354,1.1095,0.1191
8M,0.1,neyman,500,1.1381,1.1107,0.1166
8M,0.1,anti_neyman,500,1.1296,1.1008,0.1098
8M,0.3,bernoulli,500,1.0675,1.0572,0.0542
8M,0.3,equal,500,1.072,1.0571,0.0588
8M,0.3,proportional,500,1.0673,1.0516,0.0561
8M,0.3,neyman,500,1.0669,1.0581,0.0517
8M,0.3,anti_neyman,500,1.0655,1.0544,0.0522
8M,0.5,bernoulli,500,1.0456,1.0379,0.0359
8M,0.5,equal,500,1.0411,1.033,0.0342
8M,0.5,proportional,500,1.0426,1.0358,0.034
8M,0.5,neyman,500,1.0434,1.0374,0.0338
8M,0.5,anti_neyman,500,1.0432,1.0361,0.0329
