stratum_id,N_i,sigma_pc1,mean_pc1,N_i_share,sigma_share,proportional_alloc_share,neyman_alloc_share,alloc_diff
0,100000,0.047837954,-0.423844,0.1,0.15312858,0.1,0.15312858922995443,0.05312858922995442
1,100000,0.030140132,-0.3034077,0.1,0.09647811,0.1,0.09647811958794594,-0.0035218804120540625
2,100000,0.028592046,-0.20097756,0.1,0.091522716,0.1,0.0915227210486283,-0.008477278951371708
3,100000,0.022694532,-0.111734405,0.1,0.07264486,0.1,0.07264486355384216,-0.02735513644615785
4,100000,0.01952779,-0.039634548,0.1,0.062508166,0.1,0.0625081668601592,-0.03749183313984081
5,100000,0.020275887,0.028401086,0.1,0.06490281,0.1,0.06490281725582099,-0.035097182744179015
6,100000,0.024233509,0.10490627,0.1,0.0775711,0.1,0.07757110644710871,-0.022428893552891294
7,100000,0.028217308,0.19599023,0.1,0.09032318,0.1,0.09032318979986921,-0.009676810200130795
8,100000,0.033164058,0.30140916,0.1,0.10615765,0.1,0.10615766290630778,0.006157662906307773
9,100000,0.05772059,0.44889152,0.1,0.18476275,0.1,0.1847627633103633,0.08476276331036328
