,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.827,0.687,0.556,0.59,0.602,0.679,0.609,0.848,0.659,0.838,0.897,0.845,0.845,0.756,0.306
minibatch_partial,0.827,1.0,0.691,0.564,0.598,0.607,0.68,0.618,0.86,0.668,0.85,0.91,0.858,0.858,0.77,0.306
random_proj,0.687,0.691,1.0,0.47,0.476,0.489,0.563,0.527,0.722,0.536,0.704,0.759,0.713,0.713,0.612,0.233
pca1d,0.556,0.564,0.47,1.0,0.581,0.505,0.469,0.43,0.577,0.44,0.555,0.604,0.574,0.573,0.548,0.205
hilbert,0.59,0.598,0.476,0.581,1.0,0.718,0.499,0.45,0.599,0.462,0.588,0.637,0.605,0.605,0.627,0.22
zorder,0.602,0.607,0.489,0.505,0.718,1.0,0.502,0.453,0.605,0.475,0.595,0.648,0.614,0.614,0.646,0.22
hybrid,0.679,0.68,0.563,0.469,0.499,0.502,1.0,0.517,0.702,0.538,0.676,0.732,0.707,0.713,0.617,0.248
kdtree,0.609,0.618,0.527,0.43,0.45,0.453,0.517,1.0,0.629,0.476,0.614,0.661,0.628,0.628,0.556,0.199
pq,0.848,0.86,0.722,0.577,0.599,0.605,0.702,0.629,1.0,0.67,0.872,0.939,0.879,0.878,0.787,0.298
lsh,0.659,0.668,0.536,0.44,0.462,0.475,0.538,0.476,0.67,1.0,0.709,0.732,0.688,0.687,0.608,0.232
spectral,0.838,0.85,0.704,0.555,0.588,0.595,0.676,0.614,0.872,0.709,1.0,0.939,0.877,0.877,0.782,0.298
birch,0.897,0.91,0.759,0.604,0.637,0.648,0.732,0.661,0.939,0.732,0.939,1.0,0.936,0.936,0.835,0.334
gmm,0.845,0.858,0.713,0.574,0.605,0.614,0.707,0.628,0.879,0.688,0.877,0.936,1.0,0.9,0.78,0.317
hdbscan,0.845,0.858,0.713,0.573,0.605,0.614,0.713,0.628,0.878,0.687,0.877,0.936,0.9,1.0,0.78,0.318
sobol,0.756,0.77,0.612,0.548,0.627,0.646,0.617,0.556,0.787,0.608,0.782,0.835,0.78,0.78,1.0,0.258
sparse_rp,0.306,0.306,0.233,0.205,0.22,0.22,0.248,0.199,0.298,0.232,0.298,0.334,0.317,0.318,0.258,1.0
