,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.619,0.502,0.428,0.456,0.46,0.524,0.476,0.582,0.445,0.625,0.634,0.62,0.627,0.525,0.26
minibatch_partial,0.619,1.0,0.502,0.428,0.453,0.455,0.521,0.48,0.584,0.447,0.627,0.638,0.623,0.63,0.523,0.261
random_proj,0.502,0.502,1.0,0.331,0.345,0.35,0.409,0.385,0.462,0.346,0.508,0.519,0.504,0.51,0.404,0.185
pca1d,0.428,0.428,0.331,1.0,0.563,0.495,0.369,0.328,0.386,0.283,0.428,0.439,0.434,0.437,0.505,0.161
hilbert,0.456,0.453,0.345,0.563,1.0,0.727,0.392,0.343,0.408,0.303,0.455,0.461,0.459,0.463,0.606,0.168
zorder,0.46,0.455,0.35,0.495,0.727,1.0,0.395,0.346,0.415,0.303,0.457,0.465,0.462,0.467,0.599,0.167
hybrid,0.524,0.521,0.409,0.369,0.392,0.395,1.0,0.404,0.5,0.357,0.522,0.532,0.53,0.534,0.447,0.206
kdtree,0.476,0.48,0.385,0.328,0.343,0.346,0.404,1.0,0.442,0.324,0.478,0.488,0.478,0.483,0.392,0.177
pq,0.582,0.584,0.462,0.386,0.408,0.415,0.5,0.442,1.0,0.405,0.59,0.603,0.585,0.592,0.484,0.218
lsh,0.445,0.447,0.346,0.283,0.303,0.303,0.357,0.324,0.405,1.0,0.462,0.465,0.449,0.453,0.363,0.175
spectral,0.625,0.627,0.508,0.428,0.455,0.457,0.522,0.478,0.59,0.462,1.0,0.649,0.632,0.64,0.533,0.259
birch,0.634,0.638,0.519,0.439,0.461,0.465,0.532,0.488,0.603,0.465,0.649,1.0,0.643,0.647,0.54,0.268
gmm,0.62,0.623,0.504,0.434,0.459,0.462,0.53,0.478,0.585,0.449,0.632,0.643,1.0,0.641,0.535,0.26
hdbscan,0.627,0.63,0.51,0.437,0.463,0.467,0.534,0.483,0.592,0.453,0.64,0.647,0.641,1.0,0.535,0.264
sobol,0.525,0.523,0.404,0.505,0.606,0.599,0.447,0.392,0.484,0.363,0.533,0.54,0.535,0.535,1.0,0.196
sparse_rp,0.26,0.261,0.185,0.161,0.168,0.167,0.206,0.177,0.218,0.175,0.259,0.268,0.26,0.264,0.196,1.0
