dataset,selectivity,n_bern,qerr_bernoulli_mean,qerr_bernoulli_p50,qerr_bernoulli_p90,qerr_km20_mean,qerr_km20_p50,km20_to_bern_ratio
DEEP_sf1,0.01,500,1.6379387168716004,1.3153070502102024,2.2001241958711537,1.5818885245443277,1.37785324367866,0.9657800430810217
DEEP_sf1,0.05,500,1.2295008127257443,1.1815862297163027,1.4881520326905948,1.1743005793356516,1.1289021811785567,0.9551035405436484
DEEP_sf1,0.1,500,1.1462305454102348,1.1216150041436719,1.2970960469504564,1.1113439752599743,1.0886624305644044,0.9695640896240689
DEEP_sf1,0.3,500,1.074983949397205,1.0653745319294856,1.1527433093086068,1.055834553150164,1.047884872780997,0.9821863421702445
DEEP_sf1,0.5,500,1.046341899230778,1.0376219676919654,1.1001174469221764,1.0381594822463114,1.0327103596541414,0.9921799777009006
DEEP_sf10,0.01,500,1.675749008839767,1.3132773847795676,2.7065542072928377,1.6289152683498296,1.39188959270106,0.9720520553836618
DEEP_sf10,0.05,500,1.2481299423050032,1.1898998389478654,1.568505418027014,1.1968559504323462,1.1466637982406969,0.9589193479502895
DEEP_sf10,0.1,500,1.152070479908515,1.1238322247276749,1.3135690675240135,1.1162291776698476,1.0923619487196743,0.9688896618186819
DEEP_sf10,0.3,500,1.0764183167743882,1.0641533887736876,1.1505300711318007,1.0549808125418978,1.044196402869195,0.9800844115169554
DEEP_sf10,0.5,500,1.0493497368465177,1.0392556030405404,1.1020415449999998,1.03557594933483,1.030003005523763,0.9868739782095144
SIFT_sf1,0.01,500,2.0338231666943107,1.8236527765113522,3.7961000000000005,1.6415941635480178,1.3819587070473043,0.8071469488747121
SIFT_sf1,0.05,500,1.8544041865269092,1.7248272740397397,2.4125363281250003,1.3062632118432125,1.1864333134808187,0.704411272005213
SIFT_sf1,0.1,500,1.7612193963900409,1.6699793478260871,2.3931359375000003,1.1542589033370525,1.1010604733442881,0.6553748531857694
SIFT_sf1,0.3,500,1.4882948680732078,1.4764558788162443,1.7697428269230768,1.0545440552746848,1.0437774845975296,0.7085585510618133
SIFT_sf1,0.5,500,1.3124481878395586,1.350459003413299,1.4988576164938614,1.037855261167686,1.0311967577811296,0.7907780823531904
SIFT_sf10,0.01,500,1.7622485254480187,1.5278464336085475,3.738301875,1.6664785215968194,1.4136693050347295,0.945654655136198
SIFT_sf10,0.05,500,1.3470038912326567,1.2799549583333332,1.720164376040834,1.1919192349689254,1.147903084906931,0.8848669574949692
SIFT_sf10,0.1,500,1.2823821310798607,1.2477922483454011,1.53626242,1.1101490066298345,1.0839179055238524,0.8656928225403506
SIFT_sf10,0.3,500,1.1941850760774222,1.1887689899651719,1.343217005357902,1.0497473914174098,1.0405894591560938,0.8790491628530048
SIFT_sf10,0.5,500,1.1298786084541375,1.13585993903571,1.2255696221126555,1.03015925517158,1.0245576910372618,0.9117433036288826
SSN_sf1,0.01,500,1.658147274207794,1.3096533979567089,2.565843634621467,1.6418247032455957,1.3348894797633009,0.9901561391945738
SSN_sf1,0.05,500,1.2162586249246152,1.1831369113954695,1.4710850000000002,1.2130647781294184,1.1616492955241782,0.997374039756228
SSN_sf1,0.1,500,1.1400844163728316,1.1065450000000001,1.310860677534362,1.1323015942858983,1.1026200751944273,0.9931734685825333
SSN_sf1,0.3,500,1.0689077834798653,1.0559243119266055,1.1466457858910892,1.062948606163493,1.049016190400653,0.994424984635277
SSN_sf1,0.5,500,1.043203227436458,1.0359832247166523,1.0889511868733461,1.0425097487683006,1.0367749311266805,0.9993352410633721
SSN_sf10,0.01,500,1.640363157487426,1.3151279166666665,2.098985685875176,1.6302639931526297,1.367915818306487,0.9938433362827623
SSN_sf10,0.05,500,1.2078051379561225,1.1465522618294077,1.475579875,1.203666162855998,1.155860599704691,0.9965731433241551
SSN_sf10,0.1,500,1.1393729069715637,1.1139777251388558,1.2994981796354845,1.1337916548689675,1.1098437805635364,0.9951014702311721
SSN_sf10,0.3,500,1.066010586982584,1.0559689217335597,1.140359920700017,1.0661241469623097,1.0541393173874756,1.0001065280036732
SSN_sf10,0.5,500,1.0409878767331857,1.034195145839458,1.0833625626706023,1.040895626996653,1.034368027115923,0.9999113825063725
WIKI_sf1,0.01,500,1.8067805950442193,1.3386770833333335,3.7879187500000002,1.682580808087148,1.3937163371327137,0.9312590652690558
WIKI_sf1,0.05,500,1.3774416471758695,1.286814375,1.9048110078245113,1.2146384691346805,1.1739953191399883,0.8818075681282181
WIKI_sf1,0.1,500,1.276445904742179,1.2019389536853957,1.6109222135416668,1.1316855090487152,1.101702089882246,0.8865910453739887
WIKI_sf1,0.3,500,1.1696661867108091,1.1512486562500002,1.326704468390805,1.0616191313725771,1.0496768550301008,0.9076257341061824
WIKI_sf1,0.5,500,1.11914968075196,1.1084376795977013,1.2187747626582282,1.0400617869043478,1.0336552277100535,0.9293321570761894
YFCC_sf1,0.01,500,1.7287239311118499,1.550881613450108,2.6257427069673245,1.6376481389178208,1.403079089241714,0.9473161731870904
YFCC_sf1,0.05,500,1.296908835076795,1.2105994140625,1.6174438802316058,1.1854424130410965,1.1312837393756443,0.9140522301792338
YFCC_sf1,0.1,500,1.2044766841683294,1.1634202844626709,1.424325324074074,1.1135651705809786,1.076873069332666,0.9245219813863614
YFCC_sf1,0.3,500,1.1307901000943474,1.1190862906472137,1.262281916022979,1.049396498950633,1.039213704967402,0.9280205927369515
YFCC_sf1,0.5,500,1.0911162146694182,1.0820752064548333,1.1761695595363897,1.0329828520477722,1.029113123473786,0.9467211999601169
