dataset,sel,n_pairs,med_anti_neyman,med_proportional,delta_pct,delta_ci_low,delta_ci_high,p_wilcoxon,w_stat,cohens_d,ci_excludes_0,p_BH_005
DEEP,0.01,487,1.3733261876256952,1.3053,5.211536629563729,1.3601541877286119,9.15688247066707,0.685640503903806,57677.5,-0.004389519225106072,True,False
DEEP,0.05,500,1.1224381055251595,1.1349297188950156,-1.1006508299049624,-2.499995429890339,0.029060590560720696,0.3242962453617917,59439.0,-0.05707421831213302,False,False
DEEP,0.1,500,1.0926962077725038,1.0848583699992491,0.7224756696360343,-0.6768898564807513,2.431624291936574,0.3770933203774818,59770.0,0.02167791679390849,False,False
DEEP,0.3,500,1.0448693454988487,1.0453407517438555,-0.04509594065097411,-0.6945477388771655,0.779949954587694,0.8457087248253086,61996.0,0.015174258427139523,False,False
DEEP,0.5,500,1.0287323066926513,1.0318023181154676,-0.2975387212177998,-0.6839460340622078,0.0942390836046681,0.19254540199994818,58413.0,-0.07157049846570183,False,False
SIFT,0.01,475,1.4255595905771214,1.3020034147869675,9.489696754011213,4.663593311754331,11.753268085937503,0.8536281332262092,55267.0,0.02988992991216281,True,False
SIFT,0.05,500,1.1598894238768223,1.143327108661612,1.448606885093307,-1.8631629278500224,2.5470407662474988,0.4112481969371875,59969.0,0.027540205120706745,False,False
SIFT,0.1,500,1.093698715442064,1.0895283555395843,0.3827674499039974,-0.5793584878331556,1.6918542583664438,0.20508430654847132,58529.0,0.06468913083504556,False,False
SIFT,0.3,500,1.042951640536097,1.0468868421971058,-0.37589560804393896,-1.05127382844772,0.2777093339137445,0.9943226071084724,62602.0,-0.006635236590738847,False,False
SIFT,0.5,500,1.0255240901775868,1.0255387854625906,-0.0014329331286210907,-0.2631009408853938,0.4413101792588244,0.8302377705869042,61932.0,-0.007071201070989011,False,False
