method,sel,pair,delta_DEEP_1M,delta_DEEP_8M,delta_diff,cohen_DEEP_1M,cohen_DEEP_8M,ci_consistent,sign_consistent,delta_SIFT_1M,delta_SIFT_8M,cohen_SIFT_1M,cohen_SIFT_8M,delta_SIFT_1.5M,cohen_SIFT_1.5M
minibatch,0.1,DEEP_1M_vs_DEEP_8M,-0.392,-2.129,-1.737,-0.101,-0.228,False,True,,,,,,
minibatch,0.3,DEEP_1M_vs_DEEP_8M,-0.983,-0.841,0.142,-0.169,-0.164,True,True,,,,,,
minibatch_partial,0.1,DEEP_1M_vs_DEEP_8M,-2.263,-1.976,0.287,-0.236,-0.208,True,True,,,,,,
minibatch_partial,0.3,DEEP_1M_vs_DEEP_8M,-1.36,-1.14,0.22,-0.226,-0.214,True,True,,,,,,
random_proj,0.1,DEEP_1M_vs_DEEP_8M,6.003,2.503,-3.5,0.225,0.088,True,True,,,,,,
random_proj,0.3,DEEP_1M_vs_DEEP_8M,3.349,1.438,-1.911,0.273,0.134,True,True,,,,,,
pca1d,0.1,DEEP_1M_vs_DEEP_8M,-1.49,-1.306,0.184,-0.174,-0.162,True,True,,,,,,
pca1d,0.3,DEEP_1M_vs_DEEP_8M,-1.421,-0.605,0.816,-0.23,-0.122,True,True,,,,,,
hilbert,0.1,DEEP_1M_vs_DEEP_8M,-0.971,-2.207,-1.236,-0.142,-0.236,True,True,,,,,,
hilbert,0.3,DEEP_1M_vs_DEEP_8M,-1.037,-1.113,-0.076,-0.178,-0.211,True,True,,,,,,
zorder,0.1,DEEP_1M_vs_DEEP_8M,-1.387,-1.187,0.2,-0.174,-0.152,False,True,,,,,,
zorder,0.3,DEEP_1M_vs_DEEP_8M,-1.475,-0.921,0.554,-0.241,-0.177,True,True,,,,,,
hybrid,0.1,DEEP_1M_vs_DEEP_8M,-2.773,-1.728,1.045,-0.263,-0.199,True,True,,,,,,
hybrid,0.3,DEEP_1M_vs_DEEP_8M,-1.304,-1.025,0.279,-0.215,-0.192,True,True,,,,,,
kdtree,0.1,DEEP_1M_vs_DEEP_8M,-0.675,-1.591,-0.916,-0.118,-0.184,False,True,,,,,,
kdtree,0.3,DEEP_1M_vs_DEEP_8M,-0.614,-0.641,-0.027,-0.122,-0.127,True,True,,,,,,
pq,0.1,DEEP_1M_vs_DEEP_8M,3.023,1.783,-1.24,0.098,0.042,True,True,,,,,,
pq,0.3,DEEP_1M_vs_DEEP_8M,0.201,0.153,-0.048,-0.021,-0.015,True,True,,,,,,
lsh,0.1,DEEP_1M_vs_DEEP_8M,2.609,1.329,-1.28,0.076,0.017,True,True,,,,,,
lsh,0.3,DEEP_1M_vs_DEEP_8M,1.16,1.078,-0.082,0.091,0.106,True,True,,,,,,
kde_pilot,0.1,DEEP_1M_vs_DEEP_8M,1.128,6.657,5.529,0.004,0.262,True,True,,,,,,
kde_pilot,0.3,DEEP_1M_vs_DEEP_8M,-0.193,1.065,1.258,-0.065,0.101,False,False,,,,,,
distance_shell,0.1,DEEP_1M_vs_DEEP_8M,7.587,6.141,-1.446,0.286,0.252,True,True,,,,,,
distance_shell,0.3,DEEP_1M_vs_DEEP_8M,6.8,6.33,-0.47,0.413,0.423,True,True,,,,,,
spectral,0.1,DEEP_1M_vs_DEEP_8M,2.302,0.779,-1.523,0.062,-0.017,False,True,,,,,,
spectral,0.3,DEEP_1M_vs_DEEP_8M,-0.017,0.382,0.399,-0.045,0.017,True,False,,,,,,
birch,0.1,DEEP_1M_vs_DEEP_8M,-1.009,-1.278,-0.269,-0.143,-0.164,False,True,,,,,,
birch,0.3,DEEP_1M_vs_DEEP_8M,-1.015,-0.581,0.434,-0.173,-0.125,True,True,,,,,,
gmm,0.1,DEEP_1M_vs_DEEP_8M,-1.487,-1.627,-0.14,-0.175,-0.182,True,True,,,,,,
gmm,0.3,DEEP_1M_vs_DEEP_8M,-0.889,-0.483,0.406,-0.162,-0.108,False,True,,,,,,
hdbscan,0.1,DEEP_1M_vs_DEEP_8M,-2.421,-2.131,0.29,-0.237,-0.233,True,True,,,,,,
hdbscan,0.3,DEEP_1M_vs_DEEP_8M,-1.259,-1.253,0.006,-0.213,-0.227,True,True,,,,,,
sobol,0.1,DEEP_1M_vs_DEEP_8M,1.65,2.223,0.573,0.022,0.072,True,True,,,,,,
sobol,0.3,DEEP_1M_vs_DEEP_8M,-0.173,1.582,1.755,-0.063,0.162,False,False,,,,,,
sparse_rp,0.1,DEEP_1M_vs_DEEP_8M,0.129,-0.94,-1.069,-0.068,-0.138,True,False,,,,,,
sparse_rp,0.3,DEEP_1M_vs_DEEP_8M,-0.475,-0.394,0.081,-0.103,-0.096,True,True,,,,,,
minibatch,0.01,SIFT_1M_vs_SIFT_8M,,,2.649,,,True,True,11.478,14.127,-0.036,0.016,,
minibatch,0.05,SIFT_1M_vs_SIFT_8M,,,0.182,,,True,True,-2.131,-1.949,-0.209,-0.195,,
minibatch,0.1,SIFT_1M_vs_SIFT_8M,,,2.362,,,True,True,-4.65,-2.288,-0.405,-0.239,,
minibatch,0.3,SIFT_1M_vs_SIFT_8M,,,-0.05,,,True,True,-2.519,-2.569,-0.409,-0.398,,
minibatch,0.5,SIFT_1M_vs_SIFT_8M,,,-0.984,,,True,True,-1.226,-2.21,-0.309,-0.516,,
minibatch_partial,0.01,SIFT_1M_vs_SIFT_8M,,,-0.872,,,True,True,14.045,13.173,-0.002,0.0,,
minibatch_partial,0.05,SIFT_1M_vs_SIFT_8M,,,2.912,,,False,False,-2.112,0.8,-0.203,-0.063,,
minibatch_partial,0.1,SIFT_1M_vs_SIFT_8M,,,1.499,,,True,True,-3.598,-2.099,-0.325,-0.22,,
minibatch_partial,0.3,SIFT_1M_vs_SIFT_8M,,,0.145,,,True,True,-2.508,-2.363,-0.395,-0.382,,
minibatch_partial,0.5,SIFT_1M_vs_SIFT_8M,,,-0.964,,,True,True,-1.03,-1.994,-0.258,-0.47,,
random_proj,0.01,SIFT_1M_vs_SIFT_8M,,,-81.793,,,True,True,613.397,531.604,0.301,0.314,,
random_proj,0.05,SIFT_1M_vs_SIFT_8M,,,-532.621,,,True,True,627.973,95.352,0.115,0.158,,
random_proj,0.1,SIFT_1M_vs_SIFT_8M,,,-17.401,,,True,True,49.19,31.789,0.193,0.636,,
random_proj,0.3,SIFT_1M_vs_SIFT_8M,,,-0.428,,,True,True,12.097,11.669,0.586,0.648,,
random_proj,0.5,SIFT_1M_vs_SIFT_8M,,,-1.324,,,True,True,7.596,6.272,0.688,0.6,,
pca1d,0.01,SIFT_1M_vs_SIFT_8M,,,-0.95,,,True,True,15.615,14.665,0.018,0.027,,
pca1d,0.05,SIFT_1M_vs_SIFT_8M,,,1.234,,,True,False,-0.317,0.917,-0.134,-0.063,,
pca1d,0.1,SIFT_1M_vs_SIFT_8M,,,2.23,,,False,True,-3.197,-0.967,-0.288,-0.144,,
pca1d,0.3,SIFT_1M_vs_SIFT_8M,,,-0.084,,,True,True,-2.078,-2.162,-0.333,-0.341,,
pca1d,0.5,SIFT_1M_vs_SIFT_8M,,,-1.081,,,True,True,-0.734,-1.815,-0.183,-0.4,,
hilbert,0.01,SIFT_1M_vs_SIFT_8M,,,3.309,,,True,True,12.327,15.636,-0.029,0.04,,
hilbert,0.05,SIFT_1M_vs_SIFT_8M,,,1.753,,,True,False,-1.361,0.392,-0.182,-0.083,,
hilbert,0.1,SIFT_1M_vs_SIFT_8M,,,1.06,,,True,True,-3.697,-2.637,-0.331,-0.258,,
hilbert,0.3,SIFT_1M_vs_SIFT_8M,,,0.419,,,True,True,-2.716,-2.297,-0.427,-0.356,,
hilbert,0.5,SIFT_1M_vs_SIFT_8M,,,-0.834,,,True,True,-1.165,-1.999,-0.295,-0.437,,
zorder,0.01,SIFT_1M_vs_SIFT_8M,,,1.179,,,True,True,12.155,13.334,-0.015,0.013,,
zorder,0.05,SIFT_1M_vs_SIFT_8M,,,1.989,,,False,True,-2.586,-0.597,-0.229,-0.126,,
zorder,0.1,SIFT_1M_vs_SIFT_8M,,,2.945,,,True,True,-4.345,-1.4,-0.375,-0.168,,
zorder,0.3,SIFT_1M_vs_SIFT_8M,,,0.195,,,True,True,-2.626,-2.431,-0.41,-0.38,,
zorder,0.5,SIFT_1M_vs_SIFT_8M,,,-0.911,,,True,True,-1.039,-1.95,-0.265,-0.443,,
hybrid,0.01,SIFT_1M_vs_SIFT_8M,,,-2.951,,,True,True,15.133,12.182,0.014,0.001,,
hybrid,0.05,SIFT_1M_vs_SIFT_8M,,,-0.537,,,True,True,-0.136,-0.673,-0.118,-0.132,,
hybrid,0.1,SIFT_1M_vs_SIFT_8M,,,0.645,,,True,True,-3.277,-2.632,-0.295,-0.265,,
hybrid,0.3,SIFT_1M_vs_SIFT_8M,,,-0.309,,,True,True,-2.492,-2.801,-0.399,-0.445,,
hybrid,0.5,SIFT_1M_vs_SIFT_8M,,,-1.056,,,True,True,-0.929,-1.985,-0.233,-0.439,,
kdtree,0.01,SIFT_1M_vs_SIFT_8M,,,-4.735,,,True,True,18.058,13.323,0.04,0.0,,
kdtree,0.05,SIFT_1M_vs_SIFT_8M,,,2.088,,,True,False,-1.135,0.953,-0.166,-0.055,,
