method,sel,mean_q_error_1M,mean_q_error_8M,std_q_error_1M,std_q_error_8M,delta_8M_minus_1M,delta_pct,n_1M,n_8M
hilbert,0.1,1.1313,1.1175,0.1074,0.0956,-0.0137,-1.21,1000,500
hilbert,0.3,1.0628,1.0549,0.0518,0.0408,-0.0078,-0.74,1000,500
lsh,0.1,1.1721,1.1576,0.1552,0.1397,-0.0144,-1.23,1000,500
lsh,0.3,1.0865,1.0784,0.0725,0.0635,-0.008,-0.74,1000,500
minibatch,0.1,1.1376,1.1185,0.1186,0.1009,-0.0191,-1.68,1000,500
minibatch,0.3,1.0632,1.0579,0.0517,0.0445,-0.0053,-0.5,1000,500
random_proj,0.1,1.2118,1.1713,0.2118,0.1488,-0.0405,-3.34,1000,500
random_proj,0.3,1.1101,1.0818,0.1022,0.0659,-0.0283,-2.55,1000,500
zorder,0.1,1.127,1.1289,0.1036,0.1116,0.0019,0.17,500,500
zorder,0.3,1.058,1.057,0.0474,0.044,-0.001,-0.09,500,500
