method,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
minibatch,0.01,478,14.138,7.921,20.519,True,-0.0259,1.4115,1.3446
minibatch,0.05,500,-0.879,-2.662,0.892,False,-0.1466,1.151,1.1821
minibatch,0.1,500,-2.129,-3.25,-0.985,True,-0.2277,1.0942,1.129
minibatch,0.3,500,-0.841,-1.418,-0.272,True,-0.1641,1.0475,1.0551
minibatch,0.5,500,-0.683,-1.058,-0.339,True,-0.1856,1.0303,1.0383
hilbert,0.01,480,10.054,4.694,15.538,True,-0.0648,1.3491,1.3461
hilbert,0.05,500,-2.44,-4.219,-0.671,True,-0.2183,1.1236,1.1821
hilbert,0.1,500,-2.207,-3.324,-1.142,True,-0.2357,1.0966,1.129
hilbert,0.3,500,-1.113,-1.614,-0.546,True,-0.2109,1.0464,1.0551
hilbert,0.5,500,-0.484,-0.837,-0.149,True,-0.1419,1.031,1.0383
random_proj,0.01,481,37.508,27.392,49.464,True,0.1801,1.5116,1.3446
random_proj,0.05,500,5.035,2.761,7.442,True,0.0857,1.1999,1.1821
random_proj,0.1,500,2.503,0.994,3.892,True,0.0879,1.1304,1.129
random_proj,0.3,500,1.438,0.722,2.206,True,0.1338,1.0643,1.0551
random_proj,0.5,500,0.76,0.291,1.221,True,0.1221,1.0407,1.0383
lsh,0.01,479,18.506,10.903,27.369,True,0.0446,1.4348,1.3446
lsh,0.05,500,3.909,1.756,6.078,True,0.0482,1.1981,1.1821
lsh,0.1,500,1.329,0.007,2.623,True,0.0171,1.1262,1.129
lsh,0.3,500,1.078,0.418,1.764,True,0.1065,1.0627,1.0551
lsh,0.5,500,0.504,0.102,0.893,True,0.0893,1.0416,1.0383
kde_pilot,0.01,481,127.613,104.19,153.018,True,0.4503,2.2136,1.3446
kde_pilot,0.05,500,35.753,31.197,41.03,True,0.6085,1.4813,1.1821
kde_pilot,0.1,500,13.199,11.086,15.447,True,0.4996,1.2372,1.129
kde_pilot,0.3,500,1.69,0.974,2.385,True,0.1728,1.0669,1.0551
kde_pilot,0.5,500,0.094,-0.311,0.48,False,-0.002,1.0363,1.0383
kdtree,0.01,482,13.634,7.527,19.977,True,-0.0084,1.4358,1.3446
kdtree,0.05,500,-0.313,-2.071,1.448,False,-0.114,1.144,1.1821
kdtree,0.1,500,-1.591,-2.723,-0.439,True,-0.1844,1.0995,1.129
kdtree,0.3,500,-0.641,-1.238,0.008,False,-0.1271,1.0486,1.0551
kdtree,0.5,500,-0.474,-0.842,-0.109,True,-0.1314,1.0297,1.0383
pca1d,0.01,485,13.636,7.918,19.533,True,-0.0212,1.3463,1.3446
pca1d,0.05,500,-0.771,-2.572,1.011,False,-0.1418,1.1466,1.1821
pca1d,0.1,500,-1.306,-2.497,-0.095,True,-0.1617,1.0985,1.129
pca1d,0.3,500,-0.605,-1.225,-0.004,True,-0.1224,1.0512,1.0551
pca1d,0.5,500,-0.487,-0.863,-0.123,True,-0.1383,1.0314,1.0383
zorder,0.01,479,16.101,10.277,22.169,True,0.0028,1.3581,1.3436
zorder,0.05,500,-0.121,-2.073,1.987,False,-0.1068,1.1617,1.1821
zorder,0.1,500,-1.187,-2.326,0.069,False,-0.1519,1.0991,1.129
zorder,0.3,500,-0.921,-1.501,-0.34,True,-0.1774,1.0482,1.0551
zorder,0.5,500,-0.459,-0.841,-0.09,True,-0.13,1.0318,1.0383
hybrid,0.01,482,12.544,6.716,19.174,True,-0.0185,1.3684,1.3453
hybrid,0.05,500,-1.917,-3.586,-0.128,True,-0.195,1.1422,1.1821
hybrid,0.1,500,-1.728,-2.861,-0.588,True,-0.1988,1.0966,1.129
hybrid,0.3,500,-1.025,-1.585,-0.462,True,-0.1923,1.0465,1.0551
hybrid,0.5,500,-0.524,-0.863,-0.177,True,-0.1503,1.0312,1.0383
minibatch_partial,0.01,480,13.151,7.637,19.086,True,-0.007,1.4012,1.3441
minibatch_partial,0.05,500,-2.072,-3.739,-0.357,True,-0.1914,1.1375,1.1821
minibatch_partial,0.1,500,-1.976,-3.112,-0.798,True,-0.2076,1.0902,1.129
minibatch_partial,0.3,500,-1.14,-1.685,-0.587,True,-0.2138,1.0455,1.0551
minibatch_partial,0.5,500,-0.539,-0.91,-0.188,True,-0.1539,1.0309,1.0383
pq,0.01,454,39.437,27.15,54.259,True,0.1802,1.4877,1.3418
pq,0.05,500,5.208,2.864,7.503,True,0.0982,1.2076,1.1821
pq,0.1,500,1.783,0.308,3.3,True,0.0415,1.1202,1.129
pq,0.3,500,0.153,-0.516,0.784,False,-0.0154,1.0561,1.0551
pq,0.5,500,0.348,-0.032,0.733,False,0.0555,1.0406,1.0383
spectral,0.01,465,40.943,26.443,55.386,True,0.1731,1.4489,1.3456
spectral,0.05,500,3.468,1.031,6.22,True,0.0302,1.1722,1.1821
spectral,0.1,500,0.779,-0.565,2.186,False,-0.0168,1.1198,1.129
spectral,0.3,500,0.382,-0.225,1.039,False,0.0169,1.0553,1.0551
spectral,0.5,500,0.507,0.069,0.925,True,0.0809,1.0406,1.0383
birch,0.01,479,20.273,13.143,28.31,True,0.0596,1.4612,1.3446
birch,0.05,500,0.174,-1.735,2.056,False,-0.0951,1.1609,1.1821
