,minibatch,hilbert,random_proj,lsh,kde_pilot,kdtree,pca1d,zorder,hybrid,minibatch_partial,pq,spectral,birch,distance_shell,sobol,sparse_rp,gmm,hdbscan
minibatch,1.0,0.05711985344306351,0.05514697422580793,0.054086307625130406,0.06283648285398456,0.05094625871179667,0.054545158588288026,0.05498638657392662,0.05383865137249087,0.05654886013494547,0.05475937462316528,0.052672125908358736,0.05588100064504867,0.02352939221905085,0.05420984449228322,0.048336567476677035,0.0515503057340324,0.06263713244932424
hilbert,0.057119853443063924,1.0,0.05066725121300302,0.04640602143479885,0.07023501976348152,0.04285645713254511,0.05740223433473705,0.05804427752626808,0.05494616638749476,0.05082653201768332,0.04996295622243813,0.04513972134505279,0.05100741202105305,0.02069289818485145,0.0462932756285364,0.04757088238253609,0.04545423731734009,0.06329126540465205
random_proj,0.05514697422580837,0.050667251213003014,1.0,0.046210494264238434,0.05938284704186342,0.041237934267996684,0.04310999288009445,0.04553251156992548,0.04347319003653048,0.04966056213166565,0.053094518888195885,0.04651274627263107,0.05005025532926302,0.01882076955480577,0.04285459283804929,0.047274289560654055,0.04392817775515636,0.05341198913620278
lsh,0.05408630762512941,0.046406021434796704,0.04621049426423561,1.0,0.0720348361652207,0.050138585075737346,0.049955121423893606,0.0511394675553252,0.047524370570822275,0.05340058410077928,0.0521481062666918,0.04132186560951625,0.04972552559508914,0.01787205355927055,0.04679944059561827,0.0446838316777043,0.045530676489035235,0.052659571587374124
kde_pilot,0.06283648285398626,0.07023501976348304,0.05938284704186487,0.07203483616522104,1.0,0.057691739173519434,0.06681962258747687,0.06865988832039784,0.06235873278849227,0.06800732612026916,0.07313801576662782,0.05863088066071854,0.07162142245759374,0.028865296771715388,0.06284748652856141,0.0647720121596817,0.06269543292262696,0.06761129895456303
kdtree,0.0509462587117981,0.04285645713254157,0.0412379342679989,0.050138585075735986,0.05769173917352284,1.0,0.05281549389031433,0.050155745060603524,0.047216649952557525,0.05250164405471322,0.04364692384086345,0.044538596286439115,0.04747251805576206,0.016644153139433012,0.044437444242220646,0.04798997093313937,0.04633939669059653,0.04644771264278157
pca1d,0.05454515858829087,0.05740223433473972,0.04310999288009327,0.04995512142389401,0.06681962258747576,0.0528154938903133,1.0,0.05019315743534789,0.053154758939789264,0.0574377477216562,0.05781489736606543,0.05332780190123523,0.053137590664027505,0.018936854062199332,0.045491824436529556,0.04908219424218731,0.05006721022245417,0.05305077967822454
zorder,0.054986386573928465,0.05804427752626401,0.04553251156992738,0.05113946755532493,0.0686598883203988,0.05015574506060393,0.050193157435347156,1.0,0.047712153899186836,0.05192997532492866,0.052924052240646946,0.04939309648204435,0.05435808355865067,0.02003984835183349,0.04977520943949946,0.05261406971032623,0.047581046369796244,0.059033694367113324
hybrid,0.05383865137248944,0.054946166387493535,0.04347319003652712,0.04752437057082306,0.06235873278849226,0.04721664995255178,0.053154758939793094,0.04771215389918763,1.0,0.04690385312170795,0.048695375195463596,0.04883274274986578,0.051713702386586444,0.024652012195886697,0.04135902300817295,0.05253515572242897,0.04787635051116951,0.05723154519878414
minibatch_partial,0.056548860134941904,0.050826532017681954,0.04966056213166544,0.05340058410078159,0.06800732612026494,0.05250164405471527,0.057437747721658015,0.05192997532492597,0.04690385312170873,1.0,0.05620989422959223,0.050068851252678855,0.05723859916912345,0.02160411906595887,0.04796111822976823,0.05230335922382947,0.04794321507700656,0.05588858154736987
pq,0.05475937462315761,0.04996295622243672,0.053094518888197606,0.05214810626669523,0.07313801576662943,0.04364692384085932,0.057814897366063295,0.05292405224064258,0.04869537519546179,0.05620989422959103,1.0,0.05213931044934857,0.051688792219393806,0.017694278021150003,0.047277514656762464,0.04766810426483885,0.05441509896913565,0.055919886813865935
spectral,0.05267212590836125,0.0451397213450527,0.04651274627262977,0.041321865609518664,0.05863088066071693,0.04453859628644341,0.05332780190124058,0.049393096482039996,0.048832742749873786,0.05006885125267901,0.05213931044935147,1.0,0.052454782679451153,0.02133982307114479,0.04309969156955224,0.04779291664586359,0.04901052531351659,0.058222519831253726
birch,0.05588100064504698,0.051007412021055284,0.05005025532926107,0.049725525595088756,0.07162142245759684,0.04747251805576161,0.05313759066402959,0.05435808355864777,0.05171370238658921,0.05723859916912552,0.051688792219390635,0.05245478267944323,1.0,0.020076416990015812,0.051631919007940834,0.048122527611569994,0.04686257573503664,0.05489067496815983
distance_shell,0.023529392219043287,0.020692898184850247,0.018820769554804107,0.01787205355927517,0.028865296771715523,0.01664415313943339,0.018936854062200314,0.02003984835183162,0.02465201219588614,0.02160411906596173,0.01769427802114494,0.02133982307114193,0.02007641699001333,1.0,0.015750373078524296,0.01954194305763998,0.022870824703143812,0.02087007453689231
sobol,0.054209844492285955,0.046293275628539986,0.04285459283804697,0.04679944059562078,0.06284748652856027,0.04443744424222229,0.045491824436526516,0.04977520943950384,0.04135902300817139,0.04796111822977546,0.04727751465676815,0.0430996915695536,0.051631919007943144,0.015750373078529206,1.0,0.04723865984742904,0.046623346831684044,0.050164615284112986
sparse_rp,0.048336567476678874,0.04757088238254133,0.04727428956065376,0.04468383167770221,0.06477201215967678,0.04798997093314211,0.049082194242181104,0.05261406971032499,0.05253515572243154,0.05230335922382122,0.047668104264837446,0.04779291664586509,0.048122527611569973,0.019541943057642275,0.04723865984742071,1.0,0.04837832885859288,0.05488223957450943
gmm,0.051550305734032395,0.0454542373173401,0.04392817775515728,0.0455306764890357,0.06269543292262869,0.04633939669059235,0.050067210222455916,0.04758104636980149,0.04787635051116837,0.04794321507700471,0.05441509896913617,0.049010525313514484,0.04686257573503946,0.02287082470314684,0.046623346831683725,0.04837832885858869,1.0,0.050026022005908284
hdbscan,0.06263713244932224,0.06329126540464601,0.05341198913620092,0.052659571587375414,0.0676112989545652,0.04644771264278224,0.053050779678225995,0.059033694367110645,0.057231545198781174,0.05588858154736982,0.055919886813871195,0.0582225198312558,0.054890674968158006,0.02087007453689471,0.05016461528411308,0.05488223957451248,0.050026022005898674,1.0
