,minibatch,minibatch_partial,random_proj,pca1d,hilbert,zorder,hybrid,kdtree,pq,lsh,spectral,birch,gmm,hdbscan,sobol,sparse_rp
minibatch,1.0,0.028,0.026,0.016,0.032,0.031,0.03,0.018,0.029,0.014,0.035,0.003,0.026,0.036,0.034,0.004
minibatch_partial,0.028,1.0,0.022,0.008,0.014,0.014,0.022,0.02,0.022,0.011,0.031,0.003,0.02,0.03,0.015,0.006
random_proj,0.026,0.022,1.0,0.011,0.013,0.013,0.017,0.015,0.021,0.012,0.025,0.002,0.015,0.023,0.015,0.007
pca1d,0.016,0.008,0.011,1.0,0.467,0.387,0.021,0.011,0.009,0.001,0.017,0.001,0.026,0.025,0.331,0.0
hilbert,0.032,0.014,0.013,0.467,1.0,0.717,0.026,0.013,0.014,0.003,0.032,0.001,0.039,0.04,0.522,-0.0
zorder,0.031,0.014,0.013,0.387,0.717,1.0,0.025,0.012,0.013,0.003,0.03,0.002,0.038,0.04,0.494,0.0
hybrid,0.03,0.022,0.017,0.021,0.026,0.025,1.0,0.011,0.026,0.01,0.028,0.002,0.025,0.029,0.029,0.008
kdtree,0.018,0.02,0.015,0.011,0.013,0.012,0.011,1.0,0.02,0.013,0.018,0.002,0.012,0.019,0.014,-0.0
pq,0.029,0.022,0.021,0.009,0.014,0.013,0.026,0.02,1.0,0.013,0.027,0.002,0.02,0.028,0.016,0.004
lsh,0.014,0.011,0.012,0.001,0.003,0.003,0.01,0.013,0.013,1.0,0.017,0.001,0.008,0.009,0.003,0.002
spectral,0.035,0.031,0.025,0.017,0.032,0.03,0.028,0.018,0.027,0.017,1.0,0.005,0.029,0.041,0.034,0.008
birch,0.003,0.003,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.005,1.0,0.002,0.004,0.002,0.0
gmm,0.026,0.02,0.015,0.026,0.039,0.038,0.025,0.012,0.02,0.008,0.029,0.002,1.0,0.034,0.043,0.005
hdbscan,0.036,0.03,0.023,0.025,0.04,0.04,0.029,0.019,0.028,0.009,0.041,0.004,0.034,1.0,0.042,0.005
sobol,0.034,0.015,0.015,0.331,0.522,0.494,0.029,0.014,0.016,0.003,0.034,0.002,0.043,0.042,1.0,0.0
sparse_rp,0.004,0.006,0.007,0.0,-0.0,0.0,0.008,-0.0,0.004,0.002,0.008,0.0,0.005,0.005,0.0,1.0
